date,price
12/01/2015,2.71
11/30/2015,2.69
11/27/2015,2.63
11/26/2015,2.84
11/25/2015,2.94
11/24/2015,2.92
11/23/2015,2.85
11/20/2015,3.25
11/19/2015,3.21
11/18/2015,3.17
11/17/2015,3.21
11/16/2015,3.11
11/13/2015,3.27
11/12/2015,3.37
11/11/2015,3.29
11/10/2015,3.37
11/09/2015,3.36
11/06/2015,3.35
11/05/2015,3.19
11/04/2015,3.17
11/03/2015,2.91
11/02/2015,2.81
10/30/2015,2.88
10/29/2015,2.84
10/28/2015,2.79
10/27/2015,2.97
10/26/2015,2.96
10/23/2015,2.98
10/22/2015,2.92
10/20/2015,2.97
10/19/2015,3.03
10/16/2015,3.06
10/15/2015,2.84
10/14/2015,2.73
10/13/2015,2.81
10/12/2015,2.83
10/09/2015,2.64
10/08/2015,2.7
10/07/2015,2.68
10/06/2015,2.44
10/05/2015,2.51
10/02/2015,2.31
09/30/2015,2.19
09/29/2015,2.14
09/25/2015,2.25
09/24/2015,2.25
09/23/2015,2.28
09/22/2015,2.19
09/21/2015,2.18
09/18/2015,2.23
09/17/2015,2.15
09/16/2015,2.16
09/15/2015,2.04
09/14/2015,2.03
09/11/2015,2.09
09/10/2015,2.09
09/09/2015,2.19
09/08/2015,2.03
09/07/2015,1.88
09/04/2015,1.91
09/02/2015,1.88
09/01/2015,1.97
08/31/2015,2.03
08/28/2015,2.2
08/27/2015,2.13
08/26/2015,1.92
08/25/2015,1.91
08/24/2015,1.91
08/21/2015,2.18
08/20/2015,2.29
08/19/2015,2.49
08/18/2015,2.5
08/17/2015,2.69
08/14/2015,2.69
08/13/2015,2.69
08/12/2015,2.69
08/11/2015,2.82
08/10/2015,2.92
08/07/2015,2.6
08/06/2015,2.53
08/05/2015,2.54
08/04/2015,2.55
08/03/2015,2.58
07/31/2015,2.7
07/30/2015,2.72
07/29/2015,2.78
07/28/2015,2.71
07/27/2015,2.71
07/24/2015,3.04
07/23/2015,3.23
07/22/2015,3.22
07/21/2015,3.36
07/20/2015,3.4
07/17/2015,3.48
07/16/2015,3.34
07/15/2015,3.25
07/14/2015,3.49
07/13/2015,3.69
07/10/2015,3.69
07/09/2015,3.71
07/08/2015,2.76
07/07/2015,3.29
07/06/2015,3.8
07/03/2015,4.4
07/02/2015,4.7
06/30/2015,5.05
06/29/2015,4.83
06/26/2015,5.18
06/25/2015,5.52
06/24/2015,5.68
06/23/2015,5.067
06/22/2015,4.987
06/19/2015,5.033
06/18/2015,5.1
06/17/2015,5.133
06/16/2015,4.987
06/15/2015,5.127
06/12/2015,4.913
06/11/2015,4.74
06/10/2015,4.54
06/09/2015,4.68
06/08/2015,4.993
06/05/2015,5.02
06/04/2015,5.033
06/03/2015,4.887
06/02/2015,4.927
06/01/2015,5
05/29/2015,4.96
05/28/2015,4.833
05/27/2015,5.06
05/26/2015,5.187
05/22/2015,4.9
05/21/2015,4.513
05/20/2015,4.58
05/19/2015,4.533
05/18/2015,4.38
05/15/2015,4.467
05/14/2015,4.407
05/13/2015,4.407
05/12/2015,4.46
05/11/2015,4.613
05/08/2015,4.6
05/07/2015,4.033
05/06/2015,4.167
05/05/2015,4.133
05/04/2015,4.493
04/30/2015,4.273
04/29/2015,3.967
04/28/2015,3.867
04/27/2015,3.933
04/24/2015,3.673
04/23/2015,3.753
04/22/2015,3.74
04/21/2015,3.427
04/20/2015,3.097
04/17/2015,3.34
04/16/2015,3.487
04/15/2015,3.29
04/14/2015,3.313
04/13/2015,3.633
04/10/2015,3.297
04/09/2015,3.213
04/08/2015,2.987
04/02/2015,2.42
04/01/2015,2.407
03/31/2015,2.3
03/30/2015,2.337
03/27/2015,2.187
03/26/2015,2.187
