date,price
10/12/2015,111.856
10/09/2015,112.12
10/08/2015,109.5
10/07/2015,110.78
10/06/2015,111.31
10/05/2015,110.78
10/02/2015,110.38
10/01/2015,109.58
09/30/2015,110.3
09/29/2015,109.06
09/28/2015,112.44
09/25/2015,114.71
09/24/2015,115
09/23/2015,114.32
09/22/2015,113.4
09/21/2015,115.21
09/18/2015,113.45
09/17/2015,113.92
09/16/2015,116.41
09/15/2015,116.28
09/14/2015,115.31
09/11/2015,114.21
09/10/2015,112.57
09/09/2015,110.15
09/08/2015,112.31
09/04/2015,109.27
09/03/2015,110.37
09/02/2015,112.34
09/01/2015,107.72
08/31/2015,112.76
08/28/2015,113.29
08/27/2015,112.92
08/26/2015,109.69
08/25/2015,103.74
08/24/2015,103.12
08/21/2015,105.76
08/20/2015,112.65
08/19/2015,115.01
08/18/2015,116.5
08/17/2015,117.16
08/14/2015,115.96
08/13/2015,115.15
08/12/2015,115.24
08/11/2015,113.49
08/10/2015,119.72
08/07/2015,115.52
08/06/2015,115.13
08/05/2015,115.4
08/04/2015,114.64
08/03/2015,118.44
07/31/2015,121.3
07/30/2015,122.37
07/29/2015,122.99
07/28/2015,123.38
07/27/2015,122.77
07/24/2015,124.5
07/23/2015,125.16
07/22/2015,125.22
07/21/2015,130.75
07/20/2015,132.07
07/17/2015,129.62
07/16/2015,128.51
07/15/2015,126.82
07/14/2015,125.61
07/13/2015,125.66
07/10/2015,123.28
07/09/2015,120.07
07/08/2015,122.57
07/07/2015,125.69
07/06/2015,126
07/02/2015,126.44
07/01/2015,126.6
06/30/2015,125.425
06/29/2015,124.53
06/26/2015,126.75
06/25/2015,127.5
06/24/2015,128.11
06/23/2015,127.03
06/22/2015,127.61
06/19/2015,126.6
06/18/2015,127.88
06/17/2015,127.3
06/16/2015,127.6
06/15/2015,126.92
06/12/2015,127.17
06/11/2015,128.59
06/10/2015,128.88
06/09/2015,127.42
06/08/2015,127.8
06/05/2015,128.65
06/04/2015,129.36
06/03/2015,130.12
06/02/2015,129.96
06/01/2015,130.535
05/29/2015,130.28
05/28/2015,131.78
05/27/2015,132.045
05/26/2015,129.62
05/22/2015,132.54
05/21/2015,131.39
05/20/2015,130.06
05/19/2015,130.07
05/18/2015,130.19
05/15/2015,128.77
05/14/2015,128.95
05/13/2015,126.01
05/12/2015,125.865
05/11/2015,126.32
05/08/2015,127.62
05/07/2015,125.26
05/06/2015,125.01
05/05/2015,125.8
05/04/2015,128.7
05/01/2015,128.95
04/30/2015,125.15
04/29/2015,128.64
04/28/2015,130.56
04/27/2015,132.65
04/24/2015,130.28
04/23/2015,129.67
04/22/2015,128.62
04/21/2015,126.91
04/20/2015,127.6
04/17/2015,124.75
04/16/2015,126.17
04/15/2015,126.78
04/14/2015,126.3
04/13/2015,126.85
04/10/2015,127.1
04/09/2015,126.56
04/08/2015,125.6
04/07/2015,126.01
04/06/2015,127.35
04/02/2015,125.32
04/01/2015,124.25
03/31/2015,124.43
03/30/2015,126.37
03/27/2015,123.25
03/26/2015,124.24
03/25/2015,123.38
03/24/2015,126.69
03/23/2015,127.21
03/20/2015,125.9
03/19/2015,127.495
03/18/2015,128.47
03/17/2015,127.04
03/16/2015,124.95
03/13/2015,123.59
03/12/2015,124.45
03/11/2015,122.24
03/10/2015,124.51
03/09/2015,127.14
03/06/2015,126.6
03/05/2015,126.41
03/04/2015,128.54
03/03/2015,129.36
03/02/2015,129.09
02/27/2015,128.46
02/26/2015,130.415
02/25/2015,128.79
02/24/2015,132.17
02/23/2015,133
02/20/2015,129.495
02/19/2015,128.45
02/18/2015,128.715
02/17/2015,127.83
02/13/2015,127.08
02/12/2015,126.46
02/11/2015,124.88
02/10/2015,122.02
02/09/2015,119.72
02/06/2015,118.93
02/05/2015,119.94
02/04/2015,119.56
02/03/2015,118.65
02/02/2015,118.63
01/30/2015,117.16
01/29/2015,118.9
01/28/2015,115.31
01/27/2015,109.14
01/26/2015,113.1
01/23/2015,112.98
01/22/2015,112.4
01/21/2015,109.55
01/20/2015,108.72
01/16/2015,105.99
01/15/2015,106.82
01/14/2015,109.8
01/13/2015,110.22
01/12/2015,109.25
01/09/2015,112.01
01/08/2015,111.89
01/07/2015,107.75
01/06/2015,106.26
01/05/2015,106.25
01/02/2015,109.33
12/31/2014,110.38
12/30/2014,112.52
12/29/2014,113.91
12/26/2014,113.99
12/24/2014,112.01
12/23/2014,112.54
12/22/2014,112.94
12/19/2014,111.78
12/18/2014,112.65
12/17/2014,109.41
12/16/2014,106.745
12/15/2014,108.225
12/12/2014,109.73
12/11/2014,111.62
12/10/2014,111.95
12/09/2014,114.12
12/08/2014,112.4
12/05/2014,115
12/04/2014,115.49
12/03/2014,115.93
12/02/2014,114.63
12/01/2014,115.07
11/28/2014,118.93
11/26/2014,119
11/25/2014,117.6
11/24/2014,118.625
11/21/2014,116.47
11/20/2014,116.31
11/19/2014,114.67
11/18/2014,115.47
11/17/2014,113.99
11/14/2014,114.18
11/13/2014,112.82
11/12/2014,111.25
11/11/2014,109.7
11/10/2014,108.83
11/07/2014,109.01
11/06/2014,108.7
11/05/2014,108.86
11/04/2014,108.6
11/03/2014,109.4
10/31/2014,108
10/30/2014,106.98
10/29/2014,107.34
10/28/2014,106.74
10/27/2014,105.11
10/24/2014,105.22
10/23/2014,104.83
10/22/2014,102.99
10/21/2014,102.47
10/20/2014,99.76
10/17/2014,97.67
10/16/2014,96.26
10/15/2014,97.54
10/14/2014,98.75
10/13/2014,99.81
10/10/2014,100.73
10/09/2014,101.02
10/08/2014,100.8
10/07/2014,98.75
10/06/2014,99.62
10/03/2014,99.62
10/02/2014,99.9
10/01/2014,99.18
09/30/2014,100.75
09/29/2014,100.11
09/26/2014,100.75
09/25/2014,97.87
09/24/2014,101.75
09/23/2014,102.64
09/22/2014,101.06
09/19/2014,100.96
09/18/2014,101.79
09/17/2014,101.58
09/16/2014,100.86
09/15/2014,101.63
09/12/2014,101.66
09/11/2014,101.43
09/10/2014,101
09/09/2014,97.99
09/08/2014,98.36
09/05/2014,98.97
09/04/2014,98.12
09/03/2014,98.94
09/02/2014,103.3
08/29/2014,102.5
08/28/2014,102.25
08/27/2014,102.13
08/26/2014,100.889
08/25/2014,101.54
08/22/2014,101.32
08/21/2014,100.58
08/20/2014,100.57
08/19/2014,100.53
08/18/2014,99.16
08/15/2014,97.98
08/14/2014,97.5
08/13/2014,97.24
08/12/2014,95.97
08/11/2014,95.99
08/08/2014,94.74
08/07/2014,94.48
08/06/2014,94.96
08/05/2014,95.12
08/04/2014,95.59
08/01/2014,96.13
07/31/2014,95.6
07/30/2014,98.15
07/29/2014,98.38
07/28/2014,99.02
07/25/2014,97.671
07/24/2014,97.03
07/23/2014,97.19
07/22/2014,94.72
07/21/2014,93.939
07/18/2014,94.43
07/17/2014,93.0899
07/16/2014,94.78
07/15/2014,95.32
07/14/2014,96.45
07/11/2014,95.22
07/10/2014,95.035
07/09/2014,95.39
07/08/2014,95.35
07/07/2014,95.968
07/03/2014,94.03
07/02/2014,93.48
07/01/2014,93.52
06/30/2014,92.93
06/27/2014,91.98
06/26/2014,90.9
06/25/2014,90.36
06/24/2014,90.28
06/23/2014,90.83
06/20/2014,90.91
06/19/2014,91.86
06/18/2014,92.18
06/17/2014,92.08
06/16/2014,92.2
06/13/2014,91.28
06/12/2014,92.29
06/11/2014,93.86
06/10/2014,94.25
06/09/2014,93.7
06/06/2014,92.2243
06/05/2014,92.4786
06/04/2014,92.1171
06/03/2014,91.0771
06/02/2014,89.8071
05/30/2014,90.4286
05/29/2014,90.7686
05/28/2014,89.1443
