date,price
12/09/2015,9.175
12/04/2015,10.04
11/27/2015,13.14
11/20/2015,12.78
11/13/2015,12.33
11/06/2015,13.46
10/30/2015,12.99
10/23/2015,12.96
10/16/2015,13.04
10/09/2015,12.95
10/02/2015,11.95
09/25/2015,12.79
09/18/2015,13.26
09/11/2015,12.49
09/04/2015,15.85
08/28/2015,15.67
08/21/2015,16.38
08/14/2015,17.8
08/07/2015,17.15
07/31/2015,17.2208
07/24/2015,17.7907
07/17/2015,18.7732
07/10/2015,17.5614
07/03/2015,17.0243
06/26/2015,17.057
06/19/2015,17.5811
06/12/2015,16.9391
06/05/2015,16.1662
05/29/2015,15.4064
05/22/2015,15.1181
05/15/2015,14.4631
05/08/2015,14.8103
05/01/2015,14.8692
04/24/2015,15.1705
04/17/2015,15.164
04/10/2015,14.5941
04/03/2015,15.3016
03/27/2015,15.2361
03/20/2015,15.1312
03/13/2015,15.4391
03/06/2015,16.1007
02/27/2015,16.3103
02/20/2015,16.1465
02/13/2015,16.0548
02/06/2015,15.8452
01/30/2015,15.3867
01/23/2015,15.7666
01/16/2015,15.0788
01/09/2015,16.2448
01/02/2015,15.3933
12/26/2014,15.3867
12/19/2014,14.9871
12/12/2014,14.8234
12/05/2014,14.8234
11/28/2014,15.3016
11/21/2014,15.3867
11/14/2014,14.8758
11/07/2014,14.6924
10/31/2014,14.2928
10/24/2014,13.5133
10/17/2014,12.0198
10/10/2014,12.2229
10/03/2014,13.3168
09/26/2014,13.3954
09/19/2014,13.9325
09/12/2014,15.354
09/05/2014,15.5308
08/29/2014,15.6291
08/22/2014,14.8889
08/15/2014,14.771
08/08/2014,14.5876
08/01/2014,13.5919
07/25/2014,14.4762
07/18/2014,14.509
07/11/2014,14.7186
07/04/2014,14.9347
06/27/2014,15.3409
06/20/2014,13.5592
06/13/2014,13.5985
06/06/2014,12.9041
05/30/2014,11.8823
05/23/2014,11.0307
05/16/2014,10.8408
05/09/2014,10.8735
05/02/2014,10.9259
04/25/2014,10.8015
04/18/2014,10.7229
04/11/2014,11.8561
04/04/2014,11.843
03/28/2014,13.1858
03/21/2014,13.7164
03/14/2014,14.1159
03/07/2014,13.8867
02/28/2014,12.5504
02/21/2014,11.5875
02/14/2014,10.7687
02/07/2014,9.6683
01/31/2014,8.8298
01/24/2014,9.7665
01/17/2014,9.9434
01/10/2014,10.6181
01/03/2014,9.6159
12/27/2013,9.7207
12/20/2013,9.5635
12/13/2013,9.2229
12/06/2013,9.4521
11/29/2013,10.9914
11/22/2013,10.3561
11/15/2013,10.3168
11/08/2013,9.5897
11/01/2013,9.4259
10/25/2013,9.6879
10/18/2013,9.2425
10/11/2013,9.0591
10/04/2013,9.439
09/27/2013,8.4761
09/20/2013,8.6464
09/13/2013,8.8495
09/06/2013,8.8298
08/30/2013,8.9543
08/23/2013,9.1639
08/16/2013,11.4893
08/09/2013,12.0526
08/02/2013,11.7447
07/26/2013,12.0591
07/19/2013,11.8233
07/12/2013,11.0111
07/05/2013,11.581
06/28/2013,10.4543
06/21/2013,12.426
06/14/2013,12.688
06/07/2013,14.7513
05/31/2013,14.7382
05/24/2013,14.5155
05/17/2013,13.1006
05/10/2013,15.2688
05/03/2013,12.1443
04/26/2013,11.8888
04/19/2013,11.1224
04/12/2013,11.6465
04/05/2013,10.939
03/29/2013,10.7753
03/22/2013,10.8735
03/15/2013,10.5133
03/08/2013,10.9325
03/01/2013,10.2382
02/22/2013,8.8495
02/15/2013,8.5351
02/08/2013,9.4194
02/01/2013,8.7054
01/25/2013,8.6268
01/18/2013,8.5678
01/11/2013,8.3582
01/04/2013,8.7447
12/28/2012,9.8058
12/21/2012,9.9041
12/14/2012,10.343
12/07/2012,9.6355
11/30/2012,9.3997
11/23/2012,10.0154
11/16/2012,9.2884
