date,price
10/12/2015,133.24
10/09/2015,133.03
10/02/2015,129.83
09/25/2015,129.64
09/18/2015,129.1
09/11/2015,131.37
09/04/2015,129.64
08/28/2015,135.74
08/21/2015,134.22
08/14/2015,142.57
08/07/2015,143.55
07/31/2015,142.74
07/24/2015,141.25
07/17/2015,143.88
07/10/2015,139.73
07/03/2015,137.39
06/26/2015,139.78
06/19/2015,140.96
06/12/2015,140.29
06/05/2015,140.76
05/29/2015,143
05/22/2015,144.6
05/15/2015,145.26
05/08/2015,148.31
05/01/2015,143.36
04/24/2015,142.09
04/17/2015,140.7
04/10/2015,143.5
04/03/2015,143.56
03/27/2015,143.89
03/20/2015,145.53
03/13/2015,143.97
03/06/2015,145.28
02/27/2015,147.41
02/20/2015,148.72
02/13/2015,148.34
02/06/2015,150.18
01/30/2015,143.91
01/23/2015,149.12
01/16/2015,149.21
01/09/2015,149.47
01/02/2015,149.17
12/26/2014,151.35
12/19/2014,151.56
12/12/2014,146.46
12/05/2014,150.68
11/28/2014,148.69
11/21/2014,146.7
11/14/2014,145.52
11/07/2014,143.61
10/31/2014,140.16
10/24/2014,139.4
10/17/2014,137.09
10/10/2014,136.76
10/03/2014,139.5
09/26/2014,138.68
09/19/2014,140.56
09/12/2014,137.09
09/05/2014,138.07
08/29/2014,137.25
08/22/2014,135.75
08/15/2014,134.34
08/08/2014,130.9
08/01/2014,125.83
07/25/2014,127.55
07/18/2014,128.28
07/11/2014,128.63
07/04/2014,129.3
06/27/2014,127.32
06/20/2014,126.74
06/13/2014,126.54
06/06/2014,128.65
05/30/2014,128.34
05/23/2014,126.8
05/16/2014,126.86
05/09/2014,127.34
05/02/2014,128.09
04/25/2014,127.26
04/18/2014,127.18
04/11/2014,121.7
04/04/2014,123.9
03/28/2014,123.53
03/21/2014,125.2
03/14/2014,122.51
03/07/2014,122.67
02/28/2014,115.78
02/21/2014,113.18
02/14/2014,114.95
02/07/2014,112.61
01/31/2014,111.6
01/24/2014,111.81
01/17/2014,115.07
01/10/2014,114.97
01/03/2014,117.57
12/27/2013,118
12/20/2013,115.6
12/13/2013,114.06
12/06/2013,116.66
11/29/2013,116.53
11/22/2013,116.96
11/15/2013,116.3
11/08/2013,115.88
11/01/2013,115.27
10/25/2013,117.03
10/18/2013,116.97
10/11/2013,115.81
10/04/2013,113.75
09/27/2013,114.85
09/20/2013,117.9
09/13/2013,113.54
09/06/2013,111.86
08/30/2013,111.22
08/23/2013,114.27
08/16/2013,115.24
08/09/2013,116.71
08/02/2013,117.82
07/26/2013,117.34
07/19/2013,118.9
07/12/2013,117.12
07/05/2013,114.96
06/28/2013,111.92
06/21/2013,112.38
06/14/2013,114.16
06/07/2013,115.31
05/31/2013,114.07
05/24/2013,110.83
05/17/2013,113.02
05/10/2013,111.82
05/03/2013,108.64
04/26/2013,107.1
04/19/2013,105.28
04/12/2013,107.04
04/05/2013,104.15
03/29/2013,104.2
03/22/2013,102.57
03/15/2013,102.79
03/08/2013,103.63
