date,price
11/30/2015,40.93
11/27/2015,41.65
11/25/2015,41.61
11/24/2015,41.55
11/23/2015,41.59
11/20/2015,40.85
11/19/2015,41.1
11/18/2015,40.93
11/17/2015,39.36
11/16/2015,39.77
11/13/2015,38.84
11/12/2015,39.21
11/11/2015,40.89
11/10/2015,41.15
11/09/2015,41.32
11/06/2015,40.69
11/05/2015,41.26
11/04/2015,41.02
11/03/2015,40.96
11/02/2015,40.91
10/30/2015,40.55
10/29/2015,40.7
10/28/2015,40.44
10/27/2015,40.52
10/26/2015,41.37
10/23/2015,41.28
10/22/2015,42.39
10/21/2015,41.3
10/20/2015,41.07
10/19/2015,41.59
10/16/2015,41.69
10/15/2015,41.33
10/14/2015,40.72
10/13/2015,41.51
10/12/2015,42.04
10/09/2015,41.76
10/08/2015,41.77
10/07/2015,40.94
10/06/2015,41.91
10/05/2015,42.36
10/02/2015,41.83
10/01/2015,40.91
09/30/2015,40.51
09/29/2015,40.06
09/28/2015,40.42
09/25/2015,41.53
09/24/2015,41.07
09/23/2015,39.5
09/22/2015,39.4
09/21/2015,42.4
09/18/2015,42.22
09/17/2015,42.75
09/16/2015,42.48
09/15/2015,41.86
09/14/2015,41.34
09/11/2015,41.67
09/10/2015,41.15
09/09/2015,41.13
09/08/2015,41.74
09/04/2015,41.23
09/03/2015,41.72
09/02/2015,41.1
09/01/2015,40.87
08/31/2015,41.68
08/28/2015,41.73
08/27/2015,41.9
08/26/2015,41.79
08/25/2015,40.34
08/24/2015,41.49
08/21/2015,42.99
08/20/2015,43.95
08/19/2015,44.53
08/18/2015,44.84
08/17/2015,45.13
08/14/2015,45.25
08/13/2015,44.44
08/12/2015,44.69
08/11/2015,44.97
08/10/2015,44.99
08/07/2015,45.15
08/06/2015,44.97
08/05/2015,44.75
08/04/2015,44.17
08/03/2015,44.07
07/31/2015,44.06
07/30/2015,44.44
07/29/2015,44.13
07/28/2015,43.94
07/27/2015,43.53
07/24/2015,43.67
07/23/2015,44
07/22/2015,44.16
07/21/2015,44.02
07/20/2015,44.29
07/17/2015,44.44
07/16/2015,44.62
07/15/2015,44.43
07/14/2015,44.72
07/13/2015,44.72
07/10/2015,44.83
07/09/2015,44.52
07/08/2015,44.65
07/07/2015,45.49
07/06/2015,44.62
07/02/2015,44.56
07/01/2015,44.6
06/30/2015,43.72
06/29/2015,43.43
06/26/2015,44
06/25/2015,43.85
06/24/2015,43.86
06/23/2015,43.39
06/22/2015,43.06
06/19/2015,43.37
06/18/2015,39.12
06/17/2015,38.8
06/16/2015,38.62
06/15/2015,38.04
06/12/2015,38.11
06/11/2015,38.2
06/10/2015,38.03
06/09/2015,37.96
06/08/2015,37.69
06/05/2015,37.42
06/04/2015,37.91
06/03/2015,38.33
06/02/2015,38.16
06/01/2015,38.87
05/29/2015,38.61
05/28/2015,38.7
05/27/2015,38.7
05/26/2015,38.44
05/22/2015,38.85
05/21/2015,38.88
05/20/2015,38.9
05/19/2015,38.53
05/18/2015,38.52
05/15/2015,38.49
05/14/2015,37.93
05/13/2015,37.46
05/12/2015,37.68
05/11/2015,37.37
05/08/2015,37.51
05/07/2015,37.36
05/06/2015,37.2
05/05/2015,37.01
05/04/2015,37.12
05/01/2015,36.56
04/30/2015,36.15
04/29/2015,36.41
04/28/2015,36.99
04/27/2015,37.35
04/24/2015,37.52
04/23/2015,37.51
04/22/2015,37.52
04/21/2015,37.61
04/20/2015,37.65
04/17/2015,37.3
04/16/2015,37.38
04/15/2015,37.57
04/14/2015,37.79
04/13/2015,37.6
04/10/2015,37.85
04/09/2015,37.89
04/08/2015,37.92
04/07/2015,37.96
04/06/2015,38.04
04/02/2015,37.82
04/01/2015,36.86
03/31/2015,36.53
03/30/2015,36.9
03/27/2015,36.76
03/26/2015,34.75
03/25/2015,34.94
03/24/2015,34.63
03/23/2015,35.05
03/20/2015,34.96
03/19/2015,34.36
03/18/2015,34.55
03/17/2015,34.49
03/16/2015,34.43
03/13/2015,33.94
03/12/2015,34.17
03/11/2015,33.58
03/10/2015,33.91
03/09/2015,34.34
03/06/2015,34.26
03/05/2015,34.86
03/04/2015,34.52
03/03/2015,34.96
03/02/2015,35.1
02/27/2015,34.98
02/26/2015,34.67
02/25/2015,34.74
02/24/2015,34.71
02/23/2015,34.53
02/20/2015,34.52
02/19/2015,34.47
02/18/2015,33.57
02/17/2015,33.76
02/13/2015,34.83
02/12/2015,36.42
02/11/2015,36.17
02/10/2015,36.43
02/09/2015,36.16
02/06/2015,36.44
02/05/2015,36.45
02/04/2015,36.26
02/03/2015,35.98
02/02/2015,35.75
01/30/2015,35.43
01/29/2015,36.47
01/28/2015,36.53
01/27/2015,36.66
01/26/2015,36.94
01/23/2015,36.76
01/22/2015,37.17
01/21/2015,36.24
01/20/2015,36.27
01/16/2015,36.23
01/15/2015,36.34
01/14/2015,35.51
01/13/2015,35.82
01/12/2015,35.68
01/09/2015,36.24
01/08/2015,36.69
01/07/2015,35.91
01/06/2015,35.08
01/05/2015,35.43
01/02/2015,35.82
12/31/2014,36.28
12/30/2014,36.81
12/29/2014,36.93
12/26/2014,36.86
12/24/2014,36.86
12/23/2014,36.93
12/22/2014,36.86
12/19/2014,36.86
12/18/2014,36.58
12/17/2014,37.1
12/16/2014,36.55
12/15/2014,36.66
12/12/2014,36.73
12/11/2014,37.29
12/10/2014,36.8
12/09/2014,36.98
12/08/2014,37.04
12/05/2014,36.99
12/04/2014,36.51
12/03/2014,36.65
12/02/2014,36.82
12/01/2014,36.41
11/28/2014,36.52
11/26/2014,35.85
11/25/2014,35.51
11/24/2014,35.45
11/21/2014,35.51
11/20/2014,35.54
11/19/2014,35.57
11/18/2014,35.65
11/17/2014,34.95
11/14/2014,34.73
11/13/2014,34.73
11/12/2014,34.65
11/11/2014,34.2
11/10/2014,34.53
11/07/2014,34.62
11/06/2014,34.75
11/05/2014,34.37
11/04/2014,34.35
11/03/2014,34.45
10/31/2014,34.35
10/30/2014,33.93
10/29/2014,33.57
10/28/2014,34.32
10/27/2014,34.06
10/24/2014,34.2
