date,price
10/16/2015,69.68
10/09/2015,71.3
10/02/2015,65.7
09/25/2015,64.98
09/18/2015,71.86
09/11/2015,72.63
09/04/2015,73.1
08/28/2015,75.95
08/21/2015,75
08/14/2015,78.49
08/07/2015,77.29
07/31/2015,78.63
07/24/2015,76.1
07/17/2015,83.16
07/10/2015,82.15
07/03/2015,84.38
06/26/2015,86.82
06/19/2015,87.52
06/12/2015,87.85
06/05/2015,86.05
05/29/2015,85.32
05/22/2015,88.63
05/15/2015,88.43
05/08/2015,87.31
05/01/2015,87.37
04/24/2015,84.6
04/17/2015,83.28
04/10/2015,82.6
04/03/2015,80.24
03/27/2015,79.67
03/20/2015,81.19
03/13/2015,79.23
03/06/2015,80.06
02/27/2015,82.9
02/20/2015,84.44
02/13/2015,85.13
02/06/2015,83.21
01/30/2015,79.97
01/23/2015,85.61
01/16/2015,83.86
01/09/2015,87.65
01/02/2015,91.88
12/26/2014,94.23
12/19/2014,91.71
12/12/2014,90.5
12/05/2014,98.78
11/28/2014,100.6
11/21/2014,106.45
11/14/2014,101.34
11/07/2014,101.76
10/31/2014,101.41
10/24/2014,99.44
10/17/2014,95.05
10/10/2014,93.13
10/03/2014,97.39
09/26/2014,100.38
09/19/2014,102.51
09/12/2014,105.02
09/05/2014,108.54
08/29/2014,109.07
08/22/2014,107.31
08/15/2014,105.74
08/08/2014,103.28
08/01/2014,100.52
07/25/2014,104.85
07/18/2014,110.17
07/11/2014,109.96
07/04/2014,111.08
06/27/2014,108.78
06/20/2014,109.38
06/13/2014,106.77
06/06/2014,108.18
05/30/2014,102.23
05/23/2014,104.03
05/16/2014,106.03
05/09/2014,105.06
05/02/2014,105.01
04/25/2014,104.69
04/18/2014,102.83
04/11/2014,101.45
04/04/2014,102.17
03/28/2014,99.39
03/21/2014,97.39
03/14/2014,95.39
03/07/2014,97.05
02/28/2014,96.97
02/21/2014,97.5
02/14/2014,96.55
02/07/2014,94.87
01/31/2014,93.91
01/24/2014,86.17
01/17/2014,91.44
01/10/2014,90.51
01/03/2014,89.82
12/27/2013,90.87
12/20/2013,88.93
12/13/2013,86.05
12/06/2013,85.5
11/29/2013,84.6
11/22/2013,82.88
11/15/2013,83.74
11/08/2013,84.24
11/01/2013,83.59
10/25/2013,84.77
10/18/2013,87.34
10/11/2013,85.61
10/04/2013,84.2
09/27/2013,83.8
09/20/2013,84.75
09/13/2013,87.01
09/06/2013,83.39
08/30/2013,82.54
08/23/2013,83.89
08/16/2013,85.16
08/09/2013,84.51
08/02/2013,84.3
07/26/2013,82.06
07/19/2013,85.65
07/12/2013,87.17
07/05/2013,82.14
06/28/2013,82.49
06/21/2013,83.12
06/14/2013,83.87
06/07/2013,84.65
05/31/2013,85.8
05/24/2013,86.21
05/17/2013,87.67
05/10/2013,88.62
05/03/2013,86.98
04/26/2013,84.68
04/19/2013,80.43
04/12/2013,85.05
04/05/2013,84.6
03/29/2013,86.97
03/22/2013,87.48
03/15/2013,88.83
03/08/2013,90.51
03/01/2013,91.36
