date,price
12/09/2015,553.81
12/08/2015,542.24
12/07/2015,551.75
12/04/2015,561.2
12/03/2015,565.31
12/02/2015,574.66
12/01/2015,580.74
11/30/2015,579.55
11/27/2015,576.62
11/25/2015,580.83
11/24/2015,577.79
11/23/2015,559.29
11/20/2015,536.19
11/19/2015,611.51
11/18/2015,594
11/17/2015,583.58
11/16/2015,588.74
11/13/2015,592.89
11/12/2015,614.68
11/11/2015,621.84
11/10/2015,628.88
11/09/2015,609.29
11/06/2015,612.4
11/05/2015,617.23
11/04/2015,614.98
11/03/2015,623.16
11/02/2015,624
10/30/2015,640.23
10/29/2015,648.2
10/28/2015,654.89
10/27/2015,656.55
10/26/2015,659.69
10/23/2015,649.72
10/22/2015,650.62
10/21/2015,665.67
10/20/2015,705.63
10/19/2015,718.64
10/16/2015,722.7
10/15/2015,723.81
10/14/2015,718.56
10/13/2015,750.42
10/12/2015,747.82
10/09/2015,732.93
10/08/2015,734.77
10/07/2015,720.16
10/06/2015,713.25
10/05/2015,728.08
10/02/2015,724.45
10/01/2015,724.43
09/30/2015,720.25
09/29/2015,708.54
09/28/2015,708.03
09/25/2015,730.28
09/24/2015,731.17
09/23/2015,731.57
09/22/2015,726.97
09/21/2015,731.19
09/18/2015,729.48
09/17/2015,730.2
09/16/2015,730.01
09/15/2015,732.08
09/14/2015,726.8
09/11/2015,729.06
09/10/2015,723.19
09/09/2015,718.83
09/08/2015,732.14
09/04/2015,719.23
09/03/2015,724.99
09/02/2015,723.87
09/01/2015,706.71
08/31/2015,710.01
08/28/2015,721.2
08/27/2015,727.17
08/26/2015,707.64
08/25/2015,695.39
08/24/2015,704.25
08/21/2015,720.01
08/20/2015,735.15
08/19/2015,745.28
08/18/2015,745.92
08/17/2015,754.03
08/14/2015,748.34
08/13/2015,743.6
08/12/2015,745.98
08/11/2015,745.66
08/10/2015,744.24
08/07/2015,749.12
08/06/2015,749.6
08/05/2015,757.77
08/04/2015,748.09
08/03/2015,743.04
07/31/2015,742.23
07/30/2015,744.16
07/29/2015,738.42
07/28/2015,730.78
07/27/2015,731.44
07/24/2015,728.79
07/23/2015,725.94
07/22/2015,725.82
07/21/2015,673.07
07/20/2015,678
07/17/2015,661.95
07/16/2015,658.46
07/15/2015,661.19
07/14/2015,655.46
07/13/2015,658
07/10/2015,639.42
07/09/2015,627.16
07/08/2015,612.85
07/07/2015,620.56
07/06/2015,607.17
07/02/2015,609.56
07/01/2015,606.57
06/30/2015,604.99
06/29/2015,600.05
06/26/2015,609.46
06/25/2015,607.38
06/24/2015,610.53
06/23/2015,615.4
06/22/2015,619.25
06/19/2015,615.31
06/18/2015,606.2
06/17/2015,606.84
06/16/2015,600.62
06/15/2015,604.17
06/12/2015,609.76
06/11/2015,605.86
06/10/2015,608.67
06/09/2015,605.79
06/08/2015,608.12
06/05/2015,613.8
06/04/2015,611.57
06/03/2015,610.89
