date,price
10/16/2015,212
10/15/2015,212.57
10/14/2015,211.63
10/13/2015,214.82
10/12/2015,215.82
10/09/2015,214.31
10/08/2015,210.87
10/07/2015,217.46
10/06/2015,206.69
10/05/2015,198.83
10/02/2015,195.15
10/01/2015,191
09/30/2015,193.38
09/29/2015,193.7
09/28/2015,192.39
09/25/2015,189.13
09/24/2015,185.31
09/23/2015,173.23
09/22/2015,170.43
09/21/2015,169.27
09/18/2015,166.35
09/17/2015,171.18
09/16/2015,165
09/15/2015,164.6
09/14/2015,164.31
09/11/2015,163.05
09/10/2015,162
09/09/2015,160.79
09/08/2015,165.27
09/04/2015,157.35
09/03/2015,163.2
09/02/2015,159.31
09/01/2015,154.14
08/31/2015,154.23
08/28/2015,157.56
08/27/2015,155.83
08/26/2015,161.8
08/25/2015,160.55
08/24/2015,155.55
08/21/2015,154.15
08/20/2015,158.62
08/19/2015,161.25
08/18/2015,164.7
08/17/2015,166.32
08/14/2015,162.85
08/13/2015,160.57
08/12/2015,160.86
08/11/2015,162.26
08/10/2015,162.52
08/07/2015,163.28
08/06/2015,162.11
08/05/2015,165.77
08/04/2015,165
08/03/2015,160.24
07/31/2015,162
07/30/2015,159.48
07/29/2015,155
07/28/2015,156.91
07/27/2015,157.51
07/24/2015,151.62
07/23/2015,147.94
07/22/2015,152.79
07/21/2015,152.62
07/20/2015,155
07/17/2015,162.2
07/16/2015,154.35
07/15/2015,172.06
07/14/2015,170.92
07/13/2015,168.43
07/10/2015,164.35
07/09/2015,154.08
07/08/2015,153.47
07/07/2015,152.94
07/06/2015,154.74
07/02/2015,153.33
07/01/2015,155.41
06/30/2015,151.07
06/29/2015,149.63
06/26/2015,148.98
06/25/2015,145.53
06/24/2015,143.32
06/23/2015,144.25
06/22/2015,144.49
06/19/2015,137.21
06/18/2015,133.13
06/17/2015,130.44
06/16/2015,124.74
06/15/2015,122.98
06/12/2015,123
06/11/2015,123.89
06/10/2015,122.41
06/09/2015,121.71
06/08/2015,123.02
06/05/2015,123.85
06/04/2015,124.31
06/03/2015,124.02
06/02/2015,123.28
06/01/2015,122.5
05/29/2015,113.57
05/28/2015,112.53
05/27/2015,113.55
05/26/2015,113
05/22/2015,113
05/21/2015,114.4
05/20/2015,115.43
05/19/2015,113.87
05/18/2015,113.08
05/15/2015,112.52
05/14/2015,112.47
05/13/2015,111.77
05/12/2015,111.26
05/11/2015,113.16
05/08/2015,113.2
05/07/2015,113
05/06/2015,113.26
05/05/2015,112.25
05/04/2015,112.32
05/01/2015,111.51
04/30/2015,113
04/29/2015,111.46
04/28/2015,113.95
04/27/2015,114.01
04/24/2015,113.36
04/23/2015,113.04
04/22/2015,114.19
04/21/2015,114.73
04/20/2015,113.7
04/17/2015,111.32
04/16/2015,115.05
04/15/2015,115.11
04/14/2015,115.3
04/13/2015,115.07
04/10/2015,115.86
04/09/2015,114.51
04/08/2015,116
04/07/2015,115.71
04/06/2015,115.43
04/02/2015,114.52
04/01/2015,114
03/31/2015,113.06
03/30/2015,113.57
03/27/2015,111.57
03/26/2015,106.97
03/25/2015,106.88
03/24/2015,108.88
03/23/2015,107.39
03/20/2015,107.59
03/19/2015,106.77
03/18/2015,107
03/17/2015,106.17
03/16/2015,107.9
03/13/2015,106.65
03/12/2015,106.48
03/11/2015,103.64
03/10/2015,104.84
03/09/2015,105.68
03/06/2015,102.01
03/05/2015,101.41
03/04/2015,104.24
03/03/2015,106.37
03/02/2015,105.65
02/27/2015,104.39
02/26/2015,103.8
02/25/2015,103.59
02/24/2015,103.38
02/23/2015,102.76
02/20/2015,102.24
02/19/2015,101.79
02/18/2015,102.94
02/17/2015,100.32
02/13/2015,100.77
02/12/2015,100.29
02/11/2015,99.52
02/10/2015,100.15
02/09/2015,99.68
02/06/2015,100.5
02/05/2015,101.92
02/04/2015,101.58
02/03/2015,98.54
02/02/2015,97.28
01/30/2015,97.54
01/29/2015,98.69
01/28/2015,101.03
01/27/2015,103.93
01/26/2015,105.07
01/23/2015,104.01
01/22/2015,102.85
01/21/2015,99.4
01/20/2015,98.47
01/16/2015,95.99
01/15/2015,93.86
01/14/2015,91.6
01/13/2015,91.3
01/12/2015,90.23
01/09/2015,90.22
01/08/2015,90.18
01/07/2015,89.13
01/06/2015,88.59
01/05/2015,89.2
01/02/2015,89.87
12/31/2014,88.03
12/30/2014,88.31
12/29/2014,87.94
12/26/2014,88.55
12/24/2014,88.19
12/23/2014,87.74
12/22/2014,87.64
12/19/2014,86.74
12/18/2014,88.72
12/17/2014,87.2
12/16/2014,83.81
12/15/2014,82.66
12/12/2014,84.57
12/11/2014,88.42
12/10/2014,85.13
12/09/2014,86.48
12/08/2014,86.03
12/05/2014,89.34
12/04/2014,88.16
12/03/2014,87.29
12/02/2014,88.22
12/01/2014,86.35
11/28/2014,94.56
11/26/2014,93.37
11/25/2014,92.39
11/24/2014,93.43
11/21/2014,92.49
11/20/2014,92.46
11/19/2014,91.68
11/18/2014,91.49
11/17/2014,90.62
11/14/2014,91.68
11/13/2014,90.08
11/12/2014,91.19
11/11/2014,90.27
11/10/2014,88.96
11/07/2014,90
11/06/2014,90.82
11/05/2014,90.65
11/04/2014,91.41
11/03/2014,91.31
10/31/2014,90.44
10/30/2014,89.29
10/29/2014,86.96
10/28/2014,87.05
10/27/2014,83.08
10/24/2014,82.61
10/23/2014,81.98
10/22/2014,81.63
10/21/2014,81.28
10/20/2014,81.32
10/17/2014,81.51
10/16/2014,82.03
10/15/2014,82.84
10/14/2014,82.55
10/13/2014,80.55
10/10/2014,78.59
10/09/2014,77.02
10/08/2014,78.69
10/07/2014,75.75
10/06/2014,76.06
10/03/2014,76.06
10/02/2014,73.87
10/01/2014,74.13
09/30/2014,74.63
09/29/2014,74.97
09/26/2014,75.74
09/25/2014,75.51
09/24/2014,76.85
09/23/2014,77.02
09/22/2014,77.12
09/19/2014,77.41
09/18/2014,75.39
09/17/2014,76.18
09/16/2014,76.85
09/15/2014,76.26
09/12/2014,76.45
09/11/2014,76.04
09/10/2014,75.62
09/09/2014,75.01
09/08/2014,75.33
09/05/2014,74.61
09/04/2014,75.91
09/03/2014,75.59
09/02/2014,76.51
08/29/2014,74.36
08/28/2014,73.25
08/27/2014,73.39
08/26/2014,73.74
08/25/2014,74.1
08/22/2014,74.6
08/21/2014,75.17
08/20/2014,75.24
08/19/2014,75.9
08/18/2014,75.1
08/15/2014,74.25
08/14/2014,73.9
08/13/2014,74.25
08/12/2014,74.17
08/11/2014,74.15
08/08/2014,73.28
08/07/2014,72.16
08/06/2014,71.68
08/05/2014,70.63
08/04/2014,70.56
08/01/2014,69.28
07/31/2014,69.82
07/30/2014,70.08
07/29/2014,70.7
07/28/2014,70.83
07/25/2014,70.88
07/24/2014,70.76
07/23/2014,72.11
07/22/2014,72.45
07/21/2014,72.6
07/18/2014,72.54
07/17/2014,72.25
07/16/2014,72.43
07/15/2014,72.15
07/14/2014,72.54
07/11/2014,72.64
07/10/2014,72.51
07/09/2014,73.42
07/08/2014,74.24
07/07/2014,74.52
07/03/2014,75.61
07/02/2014,74.63
07/01/2014,74.46
06/30/2014,73.67
06/27/2014,74.56
06/26/2014,73.6
06/25/2014,73.76
06/24/2014,74.15
06/23/2014,75.11
06/20/2014,75
06/19/2014,73.98
06/18/2014,74.09
06/17/2014,73.75
06/16/2014,74.3
06/13/2014,74.76
06/12/2014,74.74
06/11/2014,75.11
06/10/2014,75.89
06/09/2014,76.23
06/06/2014,76.33
06/05/2014,75.67
06/04/2014,75.07
06/03/2014,75.98
06/02/2014,75.26
05/30/2014,75.26
05/29/2014,76.36
05/28/2014,75.61
05/27/2014,77.93
05/23/2014,76.46
05/22/2014,76.53
05/21/2014,75.84
05/20/2014,75.37
05/19/2014,75.65
05/16/2014,76.3
05/15/2014,76.02
05/14/2014,75.61
05/13/2014,77.63
05/12/2014,78.32
05/09/2014,77.49
05/08/2014,77.27
05/07/2014,78.26
05/06/2014,80.35
05/05/2014,82.22
05/02/2014,82.99
05/01/2014,82.14
04/30/2014,82.23
04/29/2014,83.34
04/28/2014,82.97
04/25/2014,82.41
04/24/2014,82.4
04/23/2014,81.3
04/22/2014,81.04
04/21/2014,81.25
04/17/2014,80.71
04/16/2014,81.07
04/15/2014,80.78
04/14/2014,81.2
04/11/2014,81.06
04/10/2014,81.45
04/09/2014,81.95
04/08/2014,81.5
04/07/2014,80.23
04/04/2014,79.15
04/03/2014,82.4
04/02/2014,83.25
04/01/2014,85.01
03/31/2014,84.98
03/28/2014,85.25
03/27/2014,85.7
03/26/2014,86.44
03/25/2014,87.9
03/24/2014,87.01
03/21/2014,88.04
03/20/2014,88.41
03/19/2014,88.55
03/18/2014,88.46
03/17/2014,88.5
03/14/2014,88.42
03/13/2014,87.59
03/12/2014,87.61
03/11/2014,87.16
03/10/2014,87.34
03/07/2014,86.57
03/06/2014,86.09
03/05/2014,85.46
03/04/2014,84.34
03/03/2014,79.96
02/28/2014,75.64
02/27/2014,75.56
02/26/2014,75
02/25/2014,75.17
02/24/2014,75.66
02/21/2014,74.65
02/20/2014,73.51
02/19/2014,72.43
02/18/2014,73.13
02/14/2014,72.27
02/13/2014,71.94
02/12/2014,69.39
02/11/2014,69.47
02/10/2014,68.73
02/07/2014,67.94
02/06/2014,66.86
02/05/2014,66.53
02/04/2014,66.15
02/03/2014,66.1
01/31/2014,68.28
01/30/2014,68.68
01/29/2014,68.35
01/28/2014,68.89
01/27/2014,69.46
01/24/2014,70.31
01/23/2014,71.9
01/22/2014,72.13
01/21/2014,72.1
01/17/2014,72.3
01/16/2014,72.85
01/15/2014,72.98
01/14/2014,71.64
01/13/2014,71.68
01/10/2014,72.47
01/09/2014,72.91
01/08/2014,72.72
01/07/2014,73.6
01/06/2014,71.67
01/03/2014,72.26
01/02/2014,71.24
12/31/2013,73.19
12/30/2013,73.5
12/27/2013,72.98
12/26/2013,72.16
12/24/2013,72.18
12/23/2013,72.62
12/20/2013,72.24
12/19/2013,70.95
12/18/2013,71.17
12/17/2013,69.43
12/16/2013,71.56
12/13/2013,69.66
12/12/2013,69.07
12/11/2013,69.06
12/10/2013,70.08
12/09/2013,70.38
12/06/2013,69.35
12/05/2013,69.1
12/04/2013,68.83
12/03/2013,68.76
12/02/2013,67.55
11/29/2013,67.9
11/27/2013,68.69
11/26/2013,67.94
11/25/2013,66.55
11/22/2013,66.35
11/21/2013,66
11/20/2013,65.9
11/19/2013,65.06
11/18/2013,64.92
11/15/2013,64.98
11/14/2013,65.07
11/13/2013,65.01
11/12/2013,65.06
11/11/2013,64.72
11/08/2013,64.32
11/07/2013,63.06
11/06/2013,63.24
11/05/2013,63.71
11/04/2013,63.56
11/01/2013,63.55
10/31/2013,63.32
10/30/2013,64.03
10/29/2013,63.9
10/28/2013,63.97
10/25/2013,63.64
10/24/2013,63.89
10/23/2013,63.26
10/22/2013,63.56
10/21/2013,63.6
10/18/2013,63.62
10/17/2013,63.46
10/16/2013,62.62
10/15/2013,61.98
10/14/2013,61.9
10/11/2013,61.98
10/10/2013,61.99
10/09/2013,60.22
10/08/2013,59.22
10/07/2013,60.06
10/04/2013,60.98
10/03/2013,61.12
10/02/2013,62.09
10/01/2013,62.22
09/30/2013,62.56
09/27/2013,63.36
09/26/2013,63.74
09/25/2013,63.21
09/24/2013,63.7
09/23/2013,63.79
09/20/2013,63.86
09/19/2013,63.98
09/18/2013,64.09
09/17/2013,64
09/16/2013,64.11
09/13/2013,63.7
09/12/2013,63.7
09/11/2013,63.8
09/10/2013,64
09/09/2013,63.99
09/06/2013,63.41
09/05/2013,63.61
09/04/2013,63.97
09/03/2013,63.88
08/30/2013,62.84
08/29/2013,63.72
08/28/2013,63.75
08/27/2013,63.07
08/26/2013,64.01
08/23/2013,64.12
08/22/2013,63.66
08/21/2013,63.38
08/20/2013,64.31
08/19/2013,63.09
08/16/2013,63.48
08/15/2013,62.76
08/14/2013,64.09
08/13/2013,64.63
08/12/2013,64.46
08/09/2013,62.19
08/08/2013,62.31
08/07/2013,62.89
08/06/2013,64.26
08/05/2013,64.59
08/02/2013,63.95
08/01/2013,63.94
07/31/2013,63.86
07/30/2013,64.73
07/29/2013,64.64
07/26/2013,65.08
07/25/2013,65.39
07/24/2013,64.61
07/23/2013,64.87
07/22/2013,64.99
07/19/2013,64.86
07/18/2013,64.57
07/17/2013,63.99
07/16/2013,63.26
07/15/2013,63.36
07/12/2013,62.79
07/11/2013,63.27
07/10/2013,62.92
07/09/2013,62.38
07/08/2013,62.4
07/05/2013,61.54
07/03/2013,61.12
07/02/2013,61.61
07/01/2013,61.22
06/28/2013,61.15
06/27/2013,62.03
06/26/2013,61.84
06/25/2013,61.13
06/24/2013,60.38
06/21/2013,59.72
06/20/2013,60.13
06/19/2013,60.3
06/18/2013,61.2
06/17/2013,61.61
06/14/2013,61.01
06/13/2013,62.19
06/12/2013,61.77
06/11/2013,61.61
06/10/2013,61.49
06/07/2013,61.18
06/06/2013,61.27
06/05/2013,60.91
06/04/2013,61.07
06/03/2013,61.08
05/31/2013,59.79
05/30/2013,60.08
05/29/2013,60.42
05/28/2013,61.25
05/24/2013,61.04
05/23/2013,60.75
05/22/2013,61.02
05/21/2013,61.16
05/20/2013,61.08
05/17/2013,61.38
05/16/2013,61.11
05/15/2013,61.14
05/14/2013,61.2
05/13/2013,61.38
05/10/2013,61.05
05/09/2013,61.06
05/08/2013,61.65
05/07/2013,61.74
05/06/2013,61.11
05/03/2013,61.23
05/02/2013,60.41
05/01/2013,59.75
04/30/2013,61.5
04/29/2013,61.42
04/26/2013,60.94
04/25/2013,61.17
04/24/2013,60.78
04/23/2013,61.03
04/22/2013,60.76
04/19/2013,60.94
04/18/2013,60.55
04/17/2013,60.56
04/16/2013,60.56
04/15/2013,58.01
04/12/2013,60.35
04/11/2013,60.38
04/10/2013,60.51
04/09/2013,60.14
04/08/2013,60.54
04/05/2013,61.48
04/04/2013,61.68
04/03/2013,60.61
04/02/2013,61.29
04/01/2013,60.98
03/28/2013,60.32
03/27/2013,60.09
03/26/2013,60.5
03/25/2013,60.59
03/22/2013,60.74
03/21/2013,60.8
03/20/2013,62.56
03/19/2013,62.02
03/18/2013,62.72
03/15/2013,62.8
03/14/2013,62.76
03/13/2013,62.94
03/12/2013,62.38
03/11/2013,62.5
03/08/2013,62.6
03/07/2013,62.44
03/06/2013,64.18
03/05/2013,64.52
03/04/2013,65.97
03/01/2013,65.33
02/28/2013,65.43
02/27/2013,64.71
02/26/2013,64.29
02/25/2013,63.97
02/22/2013,64.17
02/21/2013,63.04
02/20/2013,62.89
02/19/2013,62.85
02/15/2013,64.13
02/14/2013,63.64
02/13/2013,63.65
02/12/2013,63.16
02/11/2013,63.04
02/08/2013,63.41
02/07/2013,63.21
02/06/2013,63.99
02/05/2013,64.29
02/04/2013,63.91
02/01/2013,64.99
01/31/2013,64.73
01/30/2013,64.51
01/29/2013,65.41
01/28/2013,65.45
01/25/2013,64.26
01/24/2013,64.5
01/23/2013,64.97
01/22/2013,65.6
01/18/2013,65.96
01/17/2013,66.47
01/16/2013,65.98
01/15/2013,66.15
01/14/2013,66.09
01/11/2013,66.46
01/10/2013,66.68
01/09/2013,66.82
01/08/2013,66.5
01/07/2013,67.52
01/04/2013,68.7
01/03/2013,68.62
01/02/2013,69.33
12/31/2012,66.5
12/28/2012,65.58
12/27/2012,66.46
12/26/2012,65.7
12/24/2012,68.03
12/21/2012,68.35
12/20/2012,68.49
12/19/2012,67.26
