date,price
11/30/2015,22.03
11/27/2015,21.75
11/25/2015,21.99
11/24/2015,21.89
11/23/2015,22.02
11/20/2015,21.91
11/19/2015,21.875
11/18/2015,21.77
11/17/2015,21.77
11/16/2015,21.72
11/13/2015,21.69
11/12/2015,21.8701
11/11/2015,21.91
11/10/2015,21.9
11/09/2015,22.27
11/06/2015,22.5756
11/05/2015,22.6
11/04/2015,22.9
11/03/2015,22.88
11/02/2015,22.72
10/30/2015,23.08
10/29/2015,22.97
10/28/2015,22.79
10/27/2015,22.99
10/26/2015,23.19
10/23/2015,22.9
10/22/2015,22.85
10/21/2015,22.94
10/20/2015,22.9
10/19/2015,22.69
10/16/2015,22.93
10/15/2015,22.87
10/14/2015,23.05
10/13/2015,23.3
10/12/2015,23.13
10/09/2015,23.21
10/08/2015,23.6699
10/07/2015,23.8701
10/06/2015,23.99
10/05/2015,23.764
10/02/2015,23.5392
10/01/2015,23.56
09/30/2015,23.56
09/29/2015,23.54
09/28/2015,23.46
09/25/2015,23.6
09/24/2015,23.21
09/23/2015,23.29
09/22/2015,23.17
09/21/2015,23.4
09/18/2015,23.01
09/17/2015,23.15
09/16/2015,23.44
09/15/2015,23.65
09/14/2015,23.8
09/11/2015,23.51
09/10/2015,22.81
09/09/2015,22.48
09/08/2015,22.47
09/04/2015,22.16
09/03/2015,22.15
09/02/2015,22.3868
09/01/2015,22.45
08/31/2015,22.91
08/28/2015,22.84
08/27/2015,22.91
08/26/2015,22.75
08/25/2015,22.94
08/24/2015,23.22
08/21/2015,22.99
08/20/2015,23.25
08/19/2015,23.03
08/18/2015,23.01
08/17/2015,22.9
08/14/2015,22.94
08/13/2015,22.94
08/12/2015,22.57
08/11/2015,23.4691
08/10/2015,24.17
08/07/2015,23.24
08/06/2015,23.0799
08/05/2015,23.23
08/04/2015,22.99
08/03/2015,22.91
07/31/2015,23.14
07/30/2015,23.31
07/29/2015,22.88
07/28/2015,23.34
07/27/2015,23.17
07/24/2015,24.16
07/23/2015,24.76
07/22/2015,24.77
07/21/2015,25.02
07/20/2015,24.97
07/17/2015,25.73
07/16/2015,26.2
07/15/2015,26.32
07/14/2015,26.23
07/13/2015,26.985
07/10/2015,26.58
07/09/2015,26.29
07/08/2015,26.06
07/07/2015,26.01
07/06/2015,26.21
07/02/2015,26.21
07/01/2015,26.03
06/30/2015,25.85
06/29/2015,24.34
06/26/2015,24.4
06/25/2015,24.05
06/24/2015,23.36
06/23/2015,23.449
06/22/2015,23.03
06/19/2015,22.7
06/18/2015,23
06/17/2015,23.07
06/16/2015,22.7
06/15/2015,22.41
06/12/2015,22.77
06/11/2015,22.99
06/10/2015,23.06
06/09/2015,23.49
06/08/2015,23.46
06/05/2015,23.18
06/04/2015,23.34
06/03/2015,23.1
06/02/2015,23.05
06/01/2015,22.67
05/29/2015,22.6299
05/28/2015,22.76
05/27/2015,22.55
05/26/2015,22.85
05/22/2015,23.18
05/21/2015,23.39
05/20/2015,23.09
05/19/2015,23.29
05/18/2015,23.63
05/15/2015,23.47
05/14/2015,23.62
05/13/2015,23.21
05/12/2015,23.07
05/11/2015,23.0946
05/08/2015,23.34
05/07/2015,23.1799
05/06/2015,23.48
05/05/2015,23.25
05/04/2015,23.22
05/01/2015,23.36
04/30/2015,23.52
04/29/2015,23.68
04/28/2015,23.5
04/27/2015,23.5
04/24/2015,23.84
04/23/2015,24.25
04/22/2015,24.44
04/21/2015,24.48
04/20/2015,24.68
04/17/2015,24.81
04/16/2015,24.61
04/15/2015,24.59
04/14/2015,24.48
04/13/2015,24.3199
04/10/2015,24.7501
04/09/2015,24.84
04/08/2015,24.89
04/07/2015,25.14
04/06/2015,25.25
04/02/2015,25.37
04/01/2015,25.05
03/31/2015,24.74
03/30/2015,25.91
03/27/2015,25.64
03/26/2015,25.65
03/25/2015,25.87
03/24/2015,25.839
03/23/2015,25.61
03/20/2015,25.27
03/19/2015,24.67
03/18/2015,24.7399
03/17/2015,24.46
03/16/2015,24.96
03/13/2015,25
03/12/2015,25.54
03/11/2015,25.68
03/10/2015,25.49
03/09/2015,25.57
03/06/2015,25.37
03/05/2015,25.62
03/04/2015,25.61
03/03/2015,25.72
03/02/2015,25.58
02/27/2015,25.8
02/26/2015,25.6
02/25/2015,25.33
02/24/2015,25.39
02/23/2015,25.44
02/20/2015,25.87
02/19/2015,26.14
02/18/2015,25.78
02/17/2015,26.15
02/13/2015,26.02
02/12/2015,25.69
02/11/2015,25.855
02/10/2015,26.04
02/09/2015,26.25
02/06/2015,25.91
02/05/2015,25.84
02/04/2015,25.75
02/03/2015,25.8
02/02/2015,24.95
01/30/2015,24.98
01/29/2015,25.14
01/28/2015,25.19
01/27/2015,25.62
01/26/2015,25.83
01/23/2015,26
01/22/2015,25.84
01/21/2015,25.98
01/20/2015,26.1
01/16/2015,25.87
01/15/2015,25.51
01/14/2015,25.62
01/13/2015,25.86
01/12/2015,26.83
01/09/2015,26.65
01/08/2015,26.38
01/07/2015,26.52
01/06/2015,27.05
01/05/2015,27.12
01/02/2015,26.48
12/31/2014,26.64
12/30/2014,27.15
12/29/2014,27.56
12/26/2014,27.71
12/24/2014,27.28
12/23/2014,27.61
12/22/2014,27.5
12/19/2014,27.55
12/18/2014,27.5
12/17/2014,27.27
12/16/2014,27.16
12/15/2014,27.34
12/12/2014,27.25
12/11/2014,26.68
12/10/2014,26.43
12/09/2014,26.55
12/08/2014,26.29
12/05/2014,26.55
12/04/2014,26.16
12/03/2014,25.73
12/02/2014,25.7399
12/01/2014,26.23
11/28/2014,26.2
11/26/2014,26.329
11/25/2014,26.12
11/24/2014,25.71
11/21/2014,25.86
11/20/2014,26.02
11/19/2014,25.43
11/18/2014,26.05
11/17/2014,26.41
11/14/2014,26.61
11/13/2014,26.86
11/12/2014,26.43
11/11/2014,26.15
11/10/2014,25.85
11/07/2014,25.73
11/06/2014,25.97
11/05/2014,25.87
11/04/2014,25.55
11/03/2014,26.07
10/31/2014,26.27
10/30/2014,26.1
10/29/2014,26.25
10/28/2014,25.55
10/27/2014,25.47
10/24/2014,24.9
10/23/2014,25.34
10/22/2014,24.94
10/21/2014,25.15
10/20/2014,24.59
10/17/2014,24.545
10/16/2014,24.82
10/15/2014,24.64
10/14/2014,25.09
10/13/2014,24.52
10/10/2014,23.78
10/09/2014,24.33
10/08/2014,24.3
10/07/2014,24.2
10/06/2014,23.7
10/03/2014,23.1
10/02/2014,23.02
10/01/2014,22.88
09/30/2014,22.78
09/29/2014,23.14
09/26/2014,22.99
09/25/2014,23.215
09/24/2014,23.42
09/23/2014,23.08
09/22/2014,23.35
09/19/2014,23.54
09/18/2014,23.98
09/17/2014,24.15
09/16/2014,24.35
09/15/2014,24.3
09/12/2014,23.97
09/11/2014,24.19
09/10/2014,24.48
09/09/2014,24.39
09/08/2014,24.61
09/05/2014,25.15
09/04/2014,24.51
09/03/2014,24.82
09/02/2014,25.63
08/29/2014,25.75
08/28/2014,25.99
08/27/2014,25.78
08/26/2014,25.78
08/25/2014,25.89
08/22/2014,26.21
08/21/2014,26.03
08/20/2014,25.96
08/19/2014,26.2
08/18/2014,26.18
08/15/2014,26.595
08/14/2014,26.38
08/13/2014,26.08
08/12/2014,26.01
08/11/2014,25.94
08/08/2014,25.79
08/07/2014,26.2
08/06/2014,26.43
08/05/2014,25.99
08/04/2014,26.18
08/01/2014,25.6
07/31/2014,26.01
07/30/2014,26.31
07/29/2014,26.24
07/28/2014,26.5
07/25/2014,26.21
07/24/2014,26.11
07/23/2014,26.155
07/22/2014,25.99
