date,price
11/30/2015,67.34
10/30/2015,63.4
09/30/2015,48.2
08/31/2015,51.5
07/31/2015,55.76
06/30/2015,60.75
05/29/2015,67.4567
04/30/2015,69.5371
03/31/2015,67.8937
02/27/2015,73.9545
01/30/2015,67.6467
12/31/2014,70.2401
11/28/2014,67.8272
10/31/2014,65.6898
09/30/2014,68.1692
08/29/2014,62.8019
07/31/2014,61.092
06/30/2014,62.1654
05/30/2014,65.8418
04/30/2014,63.9514
03/31/2014,63.7424
02/28/2014,63.2864
01/31/2014,57.9571
12/31/2013,61.719
11/29/2013,58.3086
10/31/2013,58.1376
09/30/2013,55.6297
08/30/2013,53.7868
07/31/2013,54.8032
06/28/2013,49.8729
05/31/2013,52.9983
04/30/2013,51.7824
03/29/2013,46.7001
02/28/2013,45.5031
01/31/2013,45.0756
12/31/2012,42.7278
11/30/2012,40.9813
10/31/2012,42.2923
09/28/2012,47.7545
08/31/2012,47.2606
07/31/2012,47.2131
06/29/2012,48.0395
05/31/2012,45.8451
04/30/2012,50.7849
03/30/2012,50.2529
02/29/2012,48.3055
01/31/2012,48.3435
12/30/2011,43.4892
11/30/2011,45.3321
10/31/2011,45.6646
09/30/2011,37.9699
08/31/2011,45.8546
07/29/2011,48.847
06/30/2011,51.3454
05/31/2011,50.6329
04/29/2011,53.9483
03/31/2011,52.2193
02/28/2011,52.1244
01/31/2011,48.144
12/31/2010,47.384
11/30/2010,44.6387
10/29/2010,44.9142
09/30/2010,42.3873
08/31/2010,38.7299
07/30/2010,38.6349
06/30/2010,32.8591
05/31/2010,34.3601
04/30/2010,37.8464
03/31/2010,35.3765
02/26/2010,32.0327
01/29/2010,30.9782
12/31/2009,31.9852
11/30/2009,32.8496
10/30/2009,30.2278
09/30/2009,30.5317
08/31/2009,30.3323
07/31/2009,29.3823
06/30/2009,24.338
05/29/2009,27.0454
04/30/2009,26.5039
03/31/2009,21.2126
02/27/2009,17.8213
01/30/2009,21.8111
12/31/2008,24.034
11/28/2008,23.806
10/31/2008,30.4367
09/30/2008,38.2834
08/29/2008,42.2163
07/31/2008,41.6178
06/30/2008,40.7438
05/30/2008,45.5126
04/30/2008,46.4626
03/31/2008,44.4202
02/29/2008,44.0972
01/31/2008,42.9192
12/31/2007,41.8838
11/30/2007,43.8407
10/31/2007,47.0326
09/28/2007,47.0801
08/31/2007,46.3106
07/31/2007,44.3917
06/29/2007,48.296
05/31/2007,49.702
04/30/2007,46.7096
03/30/2007,46.9566
02/28/2007,48.1915
01/31/2007,47.0801
12/29/2006,46.2726
11/30/2006,44.5817
10/31/2006,43.5082
09/29/2006,40.6963
08/31/2006,37.9699
07/31/2006,37.6754
06/30/2006,39.5184
05/31/2006,40.4018
04/28/2006,41.8933
03/31/2006,40.0979
02/28/2006,38.2264
01/31/2006,37.191
12/30/2005,40.3733
11/30/2005,40.6108
10/31/2005,39.6039
09/30/2005,37.21
08/31/2005,37.59
07/29/2005,40.5443
06/30/2005,40.8578
05/31/2005,44.1827
04/29/2005,44.7527
03/31/2005,48.676
02/28/2005,50.6329
01/31/2005,45.1801
12/31/2004,46.5956
11/30/2004,43.0522
10/29/2004,40.7248
09/30/2004,40.6583
08/31/2004,40.1453
07/30/2004,40.7248
06/30/2004,42.1973
05/31/2004,41.0383
04/30/2004,40.8008
03/31/2004,40.1073
02/27/2004,42.8337
01/30/2004,41.7033
12/31/2003,43.5937
11/28/2003,39.3854
10/31/2003,38.3784
09/30/2003,38.0079
08/29/2003,42.5013
07/31/2003,41.7413
06/30/2003,39.5564
05/30/2003,40.0314
04/30/2003,40.4018
03/31/2003,36.9155
02/28/2003,34.8351
01/31/2003,35.975
12/31/2002,40.2783
11/29/2002,42.3873
10/31/2002,39.1859
09/30/2002,34.2651
08/30/2002,38.2929
07/31/2002,39.8129
06/28/2002,42.1783
05/31/2002,43.6982
04/30/2002,42.2733
03/29/2002,44.7907
02/28/2002,44.4962
01/31/2002,41.9598
12/31/2001,40.3828
11/30/2001,42.1213
10/31/2001,37.9889
09/28/2001,35.6425
08/31/2001,38.9199
07/31/2001,40.6773
06/29/2001,45.8261
05/31/2001,44.0782
04/30/2001,42.9287
03/30/2001,38.6634
02/28/2001,41.5038
01/31/2001,41.5228
12/29/2000,45.895
11/30/2000,40.1952
10/31/2000,43.1045
09/29/2000,38.8297
08/31/2000,42.6481
07/31/2000,43.0451
06/30/2000,41.5608
05/31/2000,46.5481
04/28/2000,45.0638
03/31/2000,50.2886
02/29/2000,47.973
01/31/2000,56.0477
12/31/1999,62.5787
11/30/1999,56.4633
10/29/1999,61.2131
09/30/1999,57.4726
08/31/1999,60.2038
07/30/1999,68.5159
06/30/1999,64.8942
05/31/1999,62.1631
04/30/1999,67.1504
03/31/1999,55.1571
02/26/1999,48.7449
01/29/1999,48.6261
12/31/1998,50.4073
11/30/1998,55.9289
10/30/1998,54.8602
09/30/1998,53.4353
08/31/1998,54.979
07/31/1998,58.8976
06/30/1998,70.9502
05/29/1998,73.3251
04/30/1998,69.169
03/31/1998,64.5973
02/27/1998,58.2445
01/30/1998,53.7915
12/31/1997,57.057
11/28/1997,57.532
10/31/1997,54.029
09/30/1997,58.482
08/29/1997,59.1944
07/31/1997,63.7068
06/30/1997,59.7288
05/30/1997,51.5948
04/30/1997,50.4073
03/31/1997,50.3479
02/28/1997,50.9417
01/31/1997,52.0697
12/31/1996,44.7075
11/29/1996,44.7669
10/31/1996,44.0544
09/30/1996,41.8577
08/30/1996,39.0078
07/31/1996,38.3547
06/28/1996,37.5828
05/31/1996,37.8797
04/30/1996,38.1172
03/29/1996,39.4234
02/29/1996,36.336
01/31/1996,36.4548
12/29/1995,33.1893
11/30/1995,31.5862
10/31/1995,29.6269
09/29/1995,32.6549
08/31/1995,31.0518
07/31/1995,31.8237
06/30/1995,32.6549
05/31/1995,32.2393
04/28/1995,31.2893
03/31/1995,28.7363
02/28/1995,26.6583
01/31/1995,25.2927
12/30/1994,26.6583
11/30/1994,25.5896
10/31/1994,28.3207
09/30/1994,27.5489
08/31/1994,28.7363
07/29/1994,28.202
06/30/1994,27.6676
05/31/1994,29.4488
04/29/1994,27.1333
03/31/1994,25.174
02/28/1994,25.2927
01/31/1994,26.6583
12/31/1993,22.9178
11/30/1993,22.6803
10/29/1993,22.6209
09/30/1993,22.0866
08/31/1993,23.0959
07/30/1993,22.2647
06/30/1993,22.3835
05/31/1993,25.0552
04/30/1993,24.7584
03/31/1993,22.9178
02/26/1993,22.0272
01/29/1993,21.7304
12/31/1992,22.3835
11/30/1992,22.8584
10/30/1992,22.9772
09/30/1992,22.3835
08/31/1992,23.4522
07/31/1992,25.4708
06/30/1992,23.9865
05/29/1992,25.0552
04/30/1992,25.7677
03/31/1992,22.6209
02/28/1992,21.9678
01/31/1992,22.0866
12/31/1991,22.146
11/29/1991,21.0773
10/31/1991,22.6209
09/30/1991,21.4335
08/30/1991,22.9178
07/31/1991,23.2147
06/28/1991,21.7897
05/31/1991,22.4428
04/30/1991,19.7711
03/29/1991,17.6336
02/28/1991,17.8711
01/31/1991,17.218
12/31/1990,17.4555
11/30/1990,17.5149
10/31/1990,15.7337
09/28/1990,16.09
08/31/1990,17.0993
07/31/1990,19.7117
06/29/1990,18.2867
05/31/1990,18.9398
04/30/1990,17.693
03/30/1990,18.2274
02/28/1990,18.643
01/31/1990,17.9899
12/29/1989,19.4742
11/30/1989,18.4649
10/31/1989,18.2076
09/29/1989,18.9596
08/31/1989,18.6628
07/31/1989,18.0097
06/30/1989,17.218
05/31/1989,17.4555
04/28/1989,17.416
03/31/1989,16.1889
02/28/1989,15.0213
01/31/1989,16.1098
12/30/1988,13.9723
11/30/1988,12.9234
10/31/1988,12.8245
09/30/1988,12.9432
08/31/1988,12.6266
07/29/1988,13.7546
06/30/1988,14.7046
05/31/1988,13.1609
04/29/1988,13.5765
03/31/1988,12.8047
02/29/1988,13.7349
01/29/1988,13.1015
12/31/1987,13.8338
