date,price
10/29/2013,13.86
10/25/2013,13.84
10/18/2013,13.83
10/11/2013,13.845
10/04/2013,13.84
09/27/2013,13.78
09/20/2013,13.88
09/13/2013,13.85
09/06/2013,13.84
08/30/2013,13.77
08/23/2013,13.81
08/16/2013,13.82
08/09/2013,13.74
08/02/2013,13.68
07/26/2013,12.94
07/19/2013,13.14
07/12/2013,13.32
07/05/2013,13.03
06/28/2013,13.325
06/21/2013,13.35
06/14/2013,13.39
06/07/2013,13.49
05/31/2013,13.355
05/24/2013,13.34
05/17/2013,13.4
05/10/2013,13.45
05/03/2013,13.31
04/26/2013,13.35
04/19/2013,13.4
04/12/2013,14.09
04/05/2013,14.22
03/29/2013,14.33
03/22/2013,14.14
03/15/2013,14.31
03/08/2013,14.16
03/01/2013,14
02/22/2013,13.92
02/15/2013,13.81
02/08/2013,13.63
02/01/2013,13.63
01/25/2013,13.16
01/18/2013,12.84
01/11/2013,10.88
01/04/2013,10.97
12/28/2012,9.97
12/21/2012,10.43
12/14/2012,10.43
12/07/2012,10.455
11/30/2012,9.64
11/23/2012,9.55
11/16/2012,8.859
11/09/2012,9.41
11/02/2012,9.15
10/26/2012,9.24
10/19/2012,9.55
10/12/2012,9.69
10/05/2012,9.66
09/28/2012,9.855
09/21/2012,10.365
09/14/2012,10.83
09/07/2012,10.64
08/31/2012,10.59
08/24/2012,11.26
08/17/2012,12.22
08/10/2012,12.41
08/03/2012,11.7
07/27/2012,12.025
07/20/2012,12.005
07/13/2012,12.32
07/06/2012,12.56
06/29/2012,12.51
06/22/2012,12.2
06/15/2012,12.3
06/08/2012,12.12
06/01/2012,12.07
05/25/2012,12.46
05/18/2012,14.74
05/11/2012,15.42
05/04/2012,15.81
04/27/2012,16.44
04/20/2012,16.16
04/13/2012,16.11
04/06/2012,16.49
03/30/2012,16.595
03/23/2012,16.475
03/16/2012,17.3
03/09/2012,16.93
03/02/2012,17.36
02/24/2012,17.43
02/17/2012,18.16
02/10/2012,17.75
02/03/2012,17.66
01/27/2012,16.74
01/20/2012,16.67
01/13/2012,15.88
01/06/2012,15.34
12/30/2011,14.63
12/23/2011,14.9
12/16/2011,15.03
12/09/2011,15.79
12/02/2011,15.7
11/25/2011,14.22
11/18/2011,14.9
11/11/2011,15.35
11/04/2011,15.36
10/28/2011,16.31
