date,price
06/23/2006,28.7328
06/16/2006,29.0585
06/09/2006,28.9401
06/02/2006,30.2129
05/26/2006,30.1044
05/19/2006,29.7491
05/12/2006,29.5025
05/05/2006,28.7032
04/28/2006,27.5883
04/21/2006,26.6608
04/14/2006,27.5093
04/07/2006,27.164
03/31/2006,27.5192
03/24/2006,27.085
03/17/2006,28.2592
03/10/2006,27.7856
03/03/2006,27.8448
02/24/2006,27.608
02/17/2006,26.5522
02/10/2006,26.3253
02/03/2006,24.6775
01/27/2006,24.7466
01/20/2006,25.378
01/13/2006,25.3583
01/06/2006,24.4111
12/30/2005,23.6513
12/23/2005,23.9473
12/16/2005,24.3716
12/09/2005,24.8551
12/02/2005,24.5492
11/25/2005,24.717
11/18/2005,24.865
11/11/2005,25.5162
11/04/2005,24.4801
10/28/2005,23.5033
10/21/2005,22.6745
10/14/2005,23.079
10/07/2005,23.7796
09/30/2005,23.8092
09/23/2005,22.9113
09/16/2005,23.7895
09/09/2005,24.7071
09/02/2005,24.4308
08/26/2005,24.9932
08/19/2005,25.6247
08/12/2005,25.4175
08/05/2005,25.1412
07/29/2005,25.2991
07/22/2005,25.4866
07/15/2005,26.0293
07/08/2005,24.6676
07/01/2005,24.7564
06/24/2005,25.6938
06/17/2005,26.345
06/10/2005,27.1541
06/03/2005,26.9568
05/27/2005,27.5093
05/20/2005,27.46
05/13/2005,26.641
05/06/2005,26.5325
04/29/2005,26.049
04/22/2005,26.937
04/15/2005,27.0061
04/08/2005,28.0224
04/01/2005,28.2
03/25/2005,27.3811
03/18/2005,27.7165
03/11/2005,27.2232
03/04/2005,28.496
02/25/2005,27.5192
02/18/2005,28.6736
02/11/2005,28.9499
02/04/2005,28.9203
01/28/2005,27.8547
01/21/2005,27.7757
01/14/2005,27.9237
01/07/2005,26.8088
12/31/2004,27.4304
12/24/2004,27.2232
12/17/2004,27.0061
12/10/2004,27.2627
12/03/2004,27.0061
11/26/2004,26.7594
11/19/2004,26.3055
11/12/2004,26.4437
11/05/2004,26.0786
10/29/2004,24.8847
10/22/2004,24.2927
10/15/2004,24.5788
10/08/2004,24.5196
10/01/2004,22.7731
09/24/2004,23.1481
09/17/2004,23.1086
09/10/2004,22.8521
09/03/2004,22.0726
08/27/2004,22.3587
08/20/2004,22.1417
08/13/2004,20.6123
08/06/2004,21.6976
07/30/2004,22.783
07/23/2004,22.6547
07/16/2004,23.1382
07/09/2004,24.2729
07/02/2004,24.934
06/25/2004,24.8452
06/18/2004,24.6874
06/11/2004,24.3913
06/04/2004,23.7401
05/28/2004,23.158
05/21/2004,22.3785
05/14/2004,22.931
05/07/2004,22.1515
04/30/2004,22.7238
04/23/2004,24.3223
04/16/2004,24.5689
04/09/2004,25.901
04/02/2004,25.605
03/26/2004,24.7663
03/19/2004,25.0524
03/12/2004,25.753
03/05/2004,26.1279
02/27/2004,26.1773
02/20/2004,26.197
02/13/2004,26.5621
02/06/2004,23.0396
01/30/2004,23.6809
01/23/2004,23.7303
01/16/2004,24.5196
01/09/2004,24.5393
01/02/2004,23.3553
12/26/2003,22.9014
12/19/2003,22.9212
12/12/2003,22.5166
12/05/2003,21.3819
11/28/2003,22.783
11/21/2003,22.2798
11/14/2003,22.7633
11/07/2003,23.0889
10/31/2003,22.339
10/24/2003,21.5102
10/17/2003,21.2931
10/10/2003,21.372
10/03/2003,20.9971
09/26/2003,19.813
09/19/2003,20.2077
09/12/2003,19.9709
09/05/2003,20.9083
08/29/2003,20.2274
08/22/2003,21.1253
08/15/2003,22.1515
08/08/2003,21.5496
08/01/2003,22.2206
07/25/2003,21.0069
07/18/2003,20.7307
07/11/2003,20.5629
07/04/2003,19.8032
06/27/2003,19.0829
06/20/2003,20.0597
06/13/2003,20.0794
06/06/2003,20.9971
05/30/2003,19.3888
05/23/2003,17.9975
05/16/2003,18.1948
05/09/2003,18.4119
05/02/2003,18.6389
04/25/2003,17.9186
04/18/2003,18.1554
04/11/2003,17.6028
04/04/2003,17.2081
03/28/2003,17.4548
03/21/2003,18.4908
03/14/2003,16.2017
03/07/2003,15.511
02/28/2003,16.8332
02/21/2003,16.7937
02/14/2003,16.5076
02/07/2003,16.1326
01/31/2003,17.2673
01/24/2003,16.8727
01/17/2003,17.5633
01/10/2003,17.9087
01/03/2003,17.1292
12/27/2002,15.7971
12/20/2002,16.2412
12/13/2002,16.3004
12/06/2002,16.9417
11/29/2002,19.5565
11/22/2002,19.2703
11/15/2002,18.2836
11/08/2002,17.4449
11/01/2002,16.8036
10/25/2002,17.741
10/18/2002,16.5273
10/11/2002,15.7873
10/04/2002,14.8499
09/27/2002,15.0374
09/20/2002,15.0374
09/13/2002,15.2939
09/06/2002,15.1558
08/30/2002,15.4715
08/23/2002,16.6062
08/16/2002,15.6491
08/09/2002,14.4552
08/02/2002,15.1065
07/26/2002,15.7873
07/19/2002,16.4188
07/12/2002,18.2047
07/05/2002,19.5269
06/28/2002,18.6487
06/21/2002,18.9941
06/14/2002,20.7504
06/07/2002,21.3622
05/31/2002,22.6054
05/24/2002,23.2468
05/17/2002,24.5196
05/10/2002,22.8422
05/03/2002,23.2862
04/26/2002,23.7796
04/19/2002,24.6183
04/12/2002,23.6809
04/05/2002,22.931
03/29/2002,22.7731
03/22/2002,23.1382
03/15/2002,23.9967
03/08/2002,23.4342
03/01/2002,23.671
02/22/2002,23.3553
02/15/2002,23.5822
02/08/2002,23.1086
02/01/2002,22.1515
01/25/2002,21.4904
01/18/2002,20.9181
01/11/2002,21.5792
01/04/2002,22.3982
12/28/2001,20.6715
12/21/2001,20.4051
12/14/2001,20.6912
12/07/2001,22.0529
11/30/2001,20.1978
11/23/2001,20.7208
11/16/2001,20.484
11/09/2001,18.6981
11/02/2001,18.6191
10/26/2001,18.4612
10/19/2001,18.2442
10/12/2001,19.3493
10/05/2001,18.9447
09/28/2001,18.3724
09/21/2001,17.6324
09/14/2001,23.2665
09/07/2001,23.7895
08/31/2001,25.0919
08/24/2001,26.2957
08/17/2001,25.309
08/10/2001,27.0357
08/03/2001,26.2463
07/27/2001,26.6706
07/20/2001,26.641
07/13/2001,27.8152
07/06/2001,27.3416
06/29/2001,28.5059
06/22/2001,28.8019
06/15/2001,29.3051
06/08/2001,31.4265
06/01/2001,31.2983
05/25/2001,32.206
05/18/2001,32.1666
05/11/2001,30.8543
05/04/2001,30.499
04/27/2001,30.5188
04/20/2001,30.9431
04/13/2001,28.7032
04/06/2001,28.1112
03/30/2001,28.2198
03/23/2001,27.4501
03/16/2001,27.1541
03/09/2001,29.3249
03/02/2001,29.5913
02/23/2001,29.8972
02/16/2001,31.5844
02/09/2001,31.5252
02/02/2001,30.3412
01/26/2001,29.4161
01/19/2001,32.2529
01/12/2001,31.1429
01/05/2001,31.0812
12/29/2000,28.5528
12/22/2000,26.086
12/15/2000,28.9845
12/08/2000,30.5262
12/01/2000,29.6011
11/24/2000,29.3545
11/17/2000,29.7862
11/10/2000,31.2662
11/03/2000,37.5564
10/27/2000,33.8563
10/20/2000,35.8914
10/13/2000,39.2215
10/06/2000,40.1466
09/29/2000,37.7415
09/22/2000,36.9398
09/15/2000,38.6665
09/08/2000,39.7149
09/01/2000,38.4815
08/25/2000,37.6181
08/18/2000,38.6048
08/11/2000,40.0849
08/04/2000,41.8733
07/28/2000,37.3714
07/21/2000,36.9398
07/14/2000,36.9398
07/07/2000,37.4948
06/30/2000,38.2965
06/23/2000,39.0982
06/16/2000,40.6399
06/09/2000,41.0099
06/02/2000,39.8999
05/26/2000,39.3449
05/19/2000,40.5166
05/12/2000,40.2661
05/05/2000,39.0365
04/28/2000,43.045
04/21/2000,41.6883
04/20/2000,41.6883
04/14/2000,38.3582
04/07/2000,40.4549
03/31/2000,40.7016
03/24/2000,40.8866
03/17/2000,36.3231
03/10/2000,34.658
03/03/2000,36.0147
02/25/2000,30.5878
02/18/2000,35.028
02/11/2000,37.3714
02/04/2000,37.6181
01/28/2000,36.2614
01/21/2000,32.3146
01/14/2000,33.1163
01/07/2000,30.7112
12/31/1999,28.8611
12/24/1999,28.7378
12/17/1999,27.8744
12/10/1999,27.6702
12/03/1999,27.8744
11/26/1999,27.1961
11/19/1999,26.3944
11/12/1999,24.7293
11/05/1999,23.9893
10/29/1999,26.1477
10/22/1999,25.716
10/15/1999,23.7426
10/08/1999,24.976
10/01/1999,25.0376
09/24/1999,25.9627
09/17/1999,27.8744
09/10/1999,27.5044
09/03/1999,27.5661
08/27/1999,28.7378
08/20/1999,29.4778
08/13/1999,26.826
08/06/1999,25.161
07/30/1999,27.1961
07/23/1999,26.456
07/16/1999,27.6277
07/09/1999,27.2577
07/02/1999,27.9361
06/25/1999,29.2928
06/18/1999,30.0945
06/11/1999,28.4911
06/04/1999,30.2178
05/28/1999,28.7378
05/21/1999,29.1078
05/14/1999,28.9845
05/07/1999,29.6011
04/30/1999,31.3279
04/23/1999,34.0413
04/16/1999,32.9313
04/09/1999,34.0413
04/02/1999,31.0812
03/26/1999,32.4996
03/19/1999,34.5963
03/12/1999,35.583
03/05/1999,35.3364
02/26/1999,34.7197
02/19/1999,33.6713
02/12/1999,34.9664
02/05/1999,33.7946
01/29/1999,32.5613
01/22/1999,33.6713
01/15/1999,35.5214
01/08/1999,32.1296
01/01/1999,29.6011
12/25/1998,30.1562
12/18/1998,30.4028
12/11/1998,31.5746
12/04/1998,30.9579
11/27/1998,31.4512
11/20/1998,28.1211
11/13/1998,28.7378
11/06/1998,29.8478
10/30/1998,26.5794
10/23/1998,27.3811
10/16/1998,25.161
10/09/1998,23.3726
10/02/1998,24.9143
09/25/1998,25.2843
09/18/1998,25.2226
09/11/1998,25.4693
09/04/1998,27.8744
08/28/1998,30.2178
08/21/1998,32.8079
08/14/1998,31.3279
08/07/1998,32.9313
07/31/1998,33.9796
07/24/1998,36.3231
07/17/1998,38.8515
07/10/1998,37.6181
07/03/1998,35.0075
06/26/1998,36.3436
06/19/1998,35.3775
06/12/1998,37.8442
06/05/1998,37.7209
05/29/1998,37.2481
05/22/1998,38.2554
05/15/1998,36.3847
05/08/1998,39.3037
05/01/1998,41.3388
04/24/1998,40.1671
04/17/1998,37.2892
04/10/1998,35.8708
04/03/1998,36.4875
03/27/1998,35.2747
03/20/1998,35.1925
03/13/1998,34.8636
03/06/1998,34.7402
02/27/1998,36.8164
02/20/1998,37.6181
02/13/1998,36.652
02/06/1998,35.7064
01/30/1998,35.1514
01/23/1998,32.4379
01/16/1998,31.6157
01/09/1998,31.5746
01/02/1998,32.7668
12/26/1997,31.2662
12/19/1997,31.5129
12/12/1997,30.7934
12/05/1997,30.9167
11/28/1997,31.2251
11/21/1997,31.1634
11/14/1997,28.5117
11/07/1997,28.3883
10/31/1997,27.0933
10/24/1997,27.0933
10/17/1997,27.1755
10/10/1997,27.525
10/03/1997,27.7511
09/26/1997,26.1477
09/19/1997,26.2916
09/12/1997,25.3665
09/05/1997,25.716
08/29/1997,25.2638
08/22/1997,25.6954
08/15/1997,25.2021
08/08/1997,26.0449
08/01/1997,26.4971
07/25/1997,25.9832
07/18/1997,24.9554
07/11/1997,25.1404
07/04/1997,25.4076
06/27/1997,26.2916
06/20/1997,27.0522
06/13/1997,27.4633
06/06/1997,26.7644
05/30/1997,26.9288
05/23/1997,27.3811
05/16/1997,26.5999
05/09/1997,27.0522
05/02/1997,26.4355
04/25/1997,25.4488
04/18/1997,25.2432
04/11/1997,23.8043
04/04/1997,24.2565
03/28/1997,24.6676
03/21/1997,24.3387
03/14/1997,24.5854
03/07/1997,24.9965
02/28/1997,24.4209
02/21/1997,24.791
02/14/1997,25.6954
02/07/1997,24.6676
01/31/1997,23.9687
01/24/1997,23.4342
01/17/1997,23.0231
01/10/1997,22.3242
01/03/1997,22.7764
12/27/1996,23.4342
12/20/1996,23.8043
12/13/1996,23.1053
12/06/1996,23.5165
