date,price
01/15/2002,0.5
12/31/2001,0.6
11/30/2001,0.26
10/31/2001,13.9
09/28/2001,27.23
08/31/2001,34.99
07/31/2001,45.35
06/29/2001,49.1
05/31/2001,52.91
04/30/2001,62.72
03/30/2001,58.1
02/28/2001,68.5
01/31/2001,80
12/29/2000,83.125
11/30/2000,64.75
10/31/2000,82.0625
09/29/2000,87.625
08/31/2000,84.875
07/31/2000,73.625
06/30/2000,64.5
05/31/2000,72.875
04/28/2000,69.6875
03/31/2000,74.875
02/29/2000,68.75
01/31/2000,67.875
12/31/1999,44.375
11/30/1999,38.0625
10/29/1999,39.9375
09/30/1999,41.0625
08/31/1999,41.875
07/30/1999,42.5938
06/30/1999,40.875
05/31/1999,35.6875
04/30/1999,37.625
03/31/1999,32.125
02/26/1999,32.5
01/29/1999,33
12/31/1998,28.5313
11/30/1998,26.25
10/30/1998,26.375
09/30/1998,26.75
08/31/1998,21.1563
07/31/1998,26.4688
06/30/1998,27.0313
05/29/1998,25.0625
04/30/1998,24.5938
03/31/1998,23.1875
02/27/1998,23.5
01/30/1998,20.7188
12/31/1997,20.7813
11/28/1997,19.3438
10/31/1997,19
09/30/1997,19.25
08/29/1997,19.25
07/31/1997,18.9375
06/30/1997,20.4063
05/30/1997,20.375
04/30/1997,18.8125
03/31/1997,19.0625
02/28/1997,19.9375
01/31/1997,20.625
12/31/1996,21.5625
11/29/1996,22.9375
10/31/1996,23.25
09/30/1996,20.375
08/30/1996,20.0625
07/31/1996,19.6875
06/28/1996,20.4375
05/31/1996,20
04/30/1996,20.125
03/29/1996,18.4375
02/29/1996,18.3125
01/31/1996,18.5
12/29/1995,19.0625
11/30/1995,18.75
10/31/1995,17.1875
09/29/1995,16.75
08/31/1995,16.8125
07/31/1995,17.375
06/30/1995,17.5625
05/31/1995,18.25
04/28/1995,17
03/31/1995,16.5
02/28/1995,16.5
01/31/1995,14.5625
12/30/1994,15.25
11/30/1994,13.5
10/31/1994,16.1875
09/30/1994,15.125
08/31/1994,15.25
07/29/1994,16.0625
06/30/1994,16.375
05/31/1994,15.25
04/29/1994,14.8125
03/31/1994,15.25
02/28/1994,15.9375
01/31/1994,16.4375
12/31/1993,14.5
11/30/1993,15.5625
10/29/1993,16.9375
09/30/1993,17.5
08/31/1993,17.125
07/30/1993,16.3125
06/30/1993,16.4688
05/31/1993,14.25
04/30/1993,14.0313
03/31/1993,15.0625
02/26/1993,14.0625
01/29/1993,12.25
12/31/1992,11.5938
11/30/1992,11.5625
10/30/1992,12.25
09/30/1992,12.25
08/31/1992,11.9063
07/31/1992,11.3438
06/30/1992,10.4688
05/29/1992,10.375
04/30/1992,9.1563
03/31/1992,9.0313
02/28/1992,8.5313
01/31/1992,7.8438
12/31/1991,8.75
11/29/1991,9.0938
10/31/1991,9.0625
09/30/1991,8.5156
08/30/1991,8.1406
07/31/1991,7.75
06/28/1991,7.2031
05/31/1991,7.5469
04/30/1991,7
03/29/1991,7.0156
02/28/1991,7.0625
01/31/1991,6.4375
12/31/1990,6.8438
11/30/1990,7.1719
10/31/1990,7.5313
09/28/1990,7.0625
08/31/1990,6.4375
07/31/1990,6.9375
06/29/1990,7.0938
05/31/1990,7.0625
04/30/1990,6.4688
03/30/1990,6.7031
02/28/1990,6.7031
01/31/1990,7.1094
12/29/1989,7.2031
11/30/1989,6.9375
10/31/1989,6.3438
09/29/1989,6.5938
08/31/1989,6.4063
07/31/1989,6.0938
06/30/1989,5.7344
05/31/1989,5.5469
04/28/1989,5.2188
03/31/1989,4.8125
02/28/1989,4.6719
01/31/1989,4.5781
12/30/1988,4.5781
11/30/1988,4.6875
10/31/1988,4.8906
09/30/1988,4.6563
08/31/1988,4.8438
07/29/1988,4.9063
06/30/1988,5.1094
05/31/1988,5.25
04/29/1988,5.2813
03/31/1988,4.5625
02/29/1988,4.7344
01/29/1988,4.6875
12/31/1987,4.8906
11/30/1987,4.3906
10/30/1987,4.3906
09/30/1987,6.1094
08/31/1987,6.3594
07/31/1987,6.1719
06/30/1987,5.7969
05/29/1987,5.8906
04/30/1987,5.9844
03/31/1987,5.8125
02/27/1987,5.5469
01/30/1987,5.6094
12/31/1986,4.9375
11/28/1986,5.1563
10/31/1986,5.0156
09/30/1986,5.8125
08/29/1986,6.2344
07/31/1986,5
06/30/1986,5.5
05/30/1986,5.1719
04/30/1986,4.6875
03/31/1986,4.6563
02/28/1986,4.8906
01/31/1986,5.2813
12/31/1985,5.625
11/29/1985,5.5938
10/31/1985,5.1406
09/30/1985,5.0625
08/30/1985,5.4375
07/31/1985,5.1406
06/28/1985,5.5
05/31/1985,6
04/30/1985,6.6563
03/29/1985,6.6094
02/28/1985,5.2813
01/31/1985,5.1563
12/31/1984,5.2813
11/30/1984,4.9531
10/31/1984,4.7031
09/28/1984,4.8594
08/31/1984,4.6406
07/31/1984,4.2813
06/29/1984,4.5469
05/31/1984,4.75
04/30/1984,5.1406
03/30/1984,5.125
02/29/1984,4.7031
01/31/1984,5.25
12/30/1983,4.9375
11/30/1983,4.8125
10/31/1983,4.7031
09/30/1983,4.9063
08/31/1983,4.8594
07/29/1983,4.6875
06/30/1983,4.7031
05/31/1983,4.125
04/29/1983,3.4844
03/31/1983,3.25
02/28/1983,3.3906
01/31/1983,3.3125
12/31/1982,3.3438
11/30/1982,3.3125
10/29/1982,3.5156
09/30/1982,3.125
08/31/1982,3.125
07/30/1982,2.7344
06/30/1982,3.375
05/31/1982,3.2656
04/30/1982,3.4063
03/31/1982,3.3125
02/26/1982,3.125
01/29/1982,3.375
12/31/1981,3.9063
11/30/1981,3.6563
10/30/1981,3.5313
09/30/1981,3.6406
08/31/1981,3.8438
07/31/1981,4.2031
06/30/1981,4.2188
05/29/1981,3.75
04/30/1981,4.3438
03/31/1981,4.4844
02/27/1981,4.5313
01/30/1981,4.5625
12/31/1980,5.4063
11/28/1980,6.0469
10/31/1980,4.0781
09/30/1980,3.9844
08/29/1980,3.9063
07/31/1980,4.25
