date,price
11/30/2015,14.33
11/27/2015,14.53
11/20/2015,14.6
11/13/2015,13.92
11/06/2015,14.52
10/30/2015,14.81
10/23/2015,15.67
10/16/2015,15.28
10/09/2015,14.97
10/02/2015,13.99
09/25/2015,13.53
09/18/2015,14.28
09/11/2015,13.71
09/04/2015,13.56
08/28/2015,13.74
08/21/2015,13.86
08/14/2015,14.78
08/07/2015,14.8
07/31/2015,14.83
07/24/2015,14.39
07/17/2015,14.69
07/10/2015,14.48
07/03/2015,14.87
06/26/2015,15.4
06/19/2015,15.11
06/12/2015,15.23
06/05/2015,14.78
05/29/2015,15.17
05/22/2015,15.27
05/15/2015,15.48
05/08/2015,15.67
05/01/2015,15.81
04/24/2015,15.77
04/17/2015,15.76
04/10/2015,16.03
04/03/2015,16.03
03/27/2015,15.98
03/20/2015,16.48
03/13/2015,16.2
03/06/2015,15.93
02/27/2015,16.34
02/20/2015,16.4
02/13/2015,16.3
02/06/2015,15.86
01/30/2015,14.71
01/23/2015,14.91
01/16/2015,15.02
01/09/2015,15.21
01/02/2015,15.36
12/26/2014,15.45
12/19/2014,15.03
12/12/2014,14.99
12/05/2014,15.7
11/28/2014,15.73
11/21/2014,15.43
11/14/2014,15.14
11/07/2014,14.17
10/31/2014,14.09
10/24/2014,13.78
10/17/2014,14.02
10/10/2014,13.79
10/03/2014,14.59
09/26/2014,16.33
09/19/2014,16.65
09/12/2014,16.59
09/05/2014,17.14
08/29/2014,17.41
08/22/2014,17.17
08/15/2014,17.31
08/08/2014,17.09
08/01/2014,16.81
07/25/2014,17.62
07/18/2014,17.72
07/11/2014,17.47
07/04/2014,17.32
06/27/2014,17.28
06/20/2014,16.67
06/13/2014,16.56
06/06/2014,17.08
05/30/2014,16.44
05/23/2014,16.02
05/16/2014,15.76
05/09/2014,15.77
05/02/2014,15.9
04/25/2014,15.78
04/18/2014,16
04/11/2014,15.63
04/04/2014,16.13
03/28/2014,15.45
03/21/2014,15.47
03/14/2014,15.08
03/07/2014,15.62
02/28/2014,15.39
02/21/2014,15.16
02/14/2014,15.24
02/07/2014,14.97
01/31/2014,14.96
01/24/2014,15.83
01/17/2014,16.52
01/10/2014,16.07
01/03/2014,15.51
12/27/2013,15.3
12/20/2013,15.42
