date,price
10/16/2015,28.98
10/15/2015,28.03
10/14/2015,27.6
10/13/2015,27.87
10/12/2015,28.09
10/09/2015,28.07
10/08/2015,28.03
10/07/2015,27.77
10/06/2015,27.29
10/05/2015,26.82
10/02/2015,25.47
10/01/2015,25.19
09/30/2015,25.22
09/29/2015,24.57
09/28/2015,24.31
09/25/2015,24.92
09/24/2015,24.91
09/23/2015,25.14
09/22/2015,25.11
09/21/2015,25.09
09/18/2015,24.8
09/17/2015,25.35
09/16/2015,25.93
09/15/2015,25.3
09/14/2015,24.77
09/11/2015,24.95
09/10/2015,24.68
09/09/2015,24.55
09/08/2015,24.96
09/04/2015,24
09/03/2015,24.51
09/02/2015,24.57
09/01/2015,23.88
08/31/2015,24.82
08/28/2015,25.16
08/27/2015,25.01
08/26/2015,24.01
08/25/2015,23.27
08/24/2015,23.87
08/21/2015,24.59
08/20/2015,25.19
08/19/2015,25.73
08/18/2015,26.07
08/17/2015,26.21
08/14/2015,26.08
08/13/2015,25.79
08/12/2015,25.86
08/11/2015,25.71
08/10/2015,26.24
08/07/2015,25.79
08/06/2015,26.03
08/05/2015,26.1
08/04/2015,25.9
08/03/2015,25.87
07/31/2015,26.1
07/30/2015,26.12
07/29/2015,26.26
07/28/2015,26.1
07/27/2015,25.95
07/24/2015,25.75
07/23/2015,26.26
07/22/2015,26.63
07/21/2015,26.85
07/20/2015,27.14
07/17/2015,27.24
07/16/2015,27.04
07/15/2015,26.77
07/14/2015,26.66
07/13/2015,26.47
07/10/2015,26.27
07/09/2015,26.02
07/08/2015,25.89
07/07/2015,26.47
07/06/2015,26.31
07/02/2015,26.78
07/01/2015,26.66
06/30/2015,26.57
06/29/2015,26.64
06/26/2015,27.09
06/25/2015,27.04
06/24/2015,27.26
06/23/2015,27.55
06/22/2015,27.42
06/19/2015,27.24
06/18/2015,27.37
06/17/2015,27.27
06/16/2015,27.22
06/15/2015,27.21
06/12/2015,27.39
06/11/2015,27.51
06/10/2015,27.63
06/09/2015,27.33
06/08/2015,27.24
06/05/2015,27.29
06/04/2015,27.26
06/03/2015,27.53
06/02/2015,27.33
06/01/2015,27.28
05/29/2015,27.27
05/28/2015,27.63
05/27/2015,27.52
05/26/2015,27.52
05/22/2015,27.68
05/21/2015,27.72
05/20/2015,27.64
05/19/2015,27.35
05/18/2015,27.31
05/15/2015,27.27
05/14/2015,27.41
05/13/2015,27.21
05/12/2015,27.03
05/11/2015,26.92
05/08/2015,27.36
05/07/2015,27.04
05/06/2015,26.81
05/05/2015,26.92
05/04/2015,27.27
05/01/2015,27.31
04/30/2015,27.08
04/29/2015,27.09
04/28/2015,27.12
04/27/2015,26.88
04/24/2015,26.8
04/23/2015,26.85
04/22/2015,26.91
04/21/2015,26.62
04/20/2015,27.02
04/17/2015,27.25
04/16/2015,27.28
04/15/2015,27.46
04/14/2015,27.73
04/13/2015,27.63
04/10/2015,28.51
04/09/2015,25.73
04/08/2015,25.01
04/07/2015,25.02
04/06/2015,25.18
04/02/2015,24.94
04/01/2015,24.84
03/31/2015,24.81
03/30/2015,25.12
03/27/2015,24.86
03/26/2015,24.8
03/25/2015,24.91
03/24/2015,25.27
03/23/2015,25.47
03/20/2015,25.4
03/19/2015,25.33
03/18/2015,25.64
03/17/2015,25.31
03/16/2015,25.45
03/13/2015,25.04
03/12/2015,25.4
03/11/2015,25.19
03/10/2015,25.17
03/09/2015,25.64
03/06/2015,25.42
03/05/2015,25.82
03/04/2015,25.66
03/03/2015,25.86
03/02/2015,26.11
02/27/2015,25.99
02/26/2015,25.89
02/25/2015,25.91
02/24/2015,25.39
02/23/2015,25.17
02/20/2015,25.21
02/19/2015,25.01
02/18/2015,25.25
02/17/2015,25.17
02/13/2015,25.15
02/12/2015,24.89
02/11/2015,24.77
02/10/2015,24.72
02/09/2015,24.64
02/06/2015,24.52
02/05/2015,24.5
02/04/2015,24.16
02/03/2015,24.47
02/02/2015,24.21
01/30/2015,23.89
01/29/2015,24.08
01/28/2015,23.84
01/27/2015,24.38
01/26/2015,24.59
01/23/2015,24.48
01/22/2015,24.28
01/21/2015,24.04
01/20/2015,23.85
01/16/2015,23.59
01/15/2015,23.58
01/14/2015,23.78
01/13/2015,23.86
01/12/2015,23.98
01/09/2015,24.03
01/08/2015,24.37
01/07/2015,24.08
01/06/2015,24.07
01/05/2015,24.6
01/02/2015,25.06
12/31/2014,25.27
12/30/2014,25.57
12/29/2014,25.7
12/26/2014,25.78
12/24/2014,25.83
12/23/2014,25.88
12/22/2014,25.71
12/19/2014,25.62
12/18/2014,25.14
12/17/2014,24.66
12/16/2014,24.49
12/15/2014,24.59
12/12/2014,24.89
12/11/2014,25.41
12/10/2014,25.27
12/09/2014,25.58
12/08/2014,25.69
12/05/2014,26.01
12/04/2014,26.09
12/03/2014,26.38
12/02/2014,26.05
12/01/2014,26.02
11/28/2014,26.49
11/26/2014,26.87
11/25/2014,26.86
11/24/2014,27
11/21/2014,26.99
11/20/2014,26.85
11/19/2014,26.92
11/18/2014,27.01
11/17/2014,26.61
11/14/2014,26.46
11/13/2014,26.42
11/12/2014,26.52
11/11/2014,26.38
11/10/2014,26.47
11/07/2014,26.41
11/06/2014,26.36
11/05/2014,25.82
11/04/2014,25.7
11/03/2014,25.7
10/31/2014,25.81
10/30/2014,25.67
10/29/2014,25.66
10/28/2014,25.88
10/27/2014,25.52
10/24/2014,25.64
10/23/2014,25.44
10/22/2014,25.19
10/21/2014,25.45
10/20/2014,25.03
10/17/2014,24.82
10/16/2014,24.25
10/15/2014,24.28
10/14/2014,24.1
10/13/2014,23.95
10/10/2014,24.27
10/09/2014,24.78
10/08/2014,25.25
10/07/2014,24.81
10/06/2014,25.22
10/03/2014,25.4
10/02/2014,25.12
10/01/2014,25.16
09/30/2014,25.62
09/29/2014,25.42
