date,price
10/16/2015,695.32
10/09/2015,671.24
10/02/2015,656.99
09/25/2015,640.15
09/18/2015,660.92
09/11/2015,655.3
09/04/2015,628.96
08/28/2015,659.69
08/21/2015,644.03
08/14/2015,689.37
08/07/2015,664.39
07/31/2015,657.5
07/24/2015,654.77
07/17/2015,699.62
07/10/2015,556.11
07/03/2015,547.34
06/26/2015,553.06
06/19/2015,557.52
06/12/2015,547.47
06/05/2015,549.53
05/29/2015,545.32
05/22/2015,554.52
05/15/2015,546.49
05/08/2015,548.95
05/01/2015,551.16
04/24/2015,573.66
04/17/2015,532.74
04/10/2015,548.54
04/03/2015,541.31
03/27/2015,557.55
03/20/2015,564.95
03/13/2015,553
03/06/2015,572.9
02/27/2015,562.63
02/20/2015,541.8
02/13/2015,551.16
02/06/2015,533.875
01/30/2015,537.55
01/23/2015,541.95
01/16/2015,510.455
01/09/2015,500.72
01/02/2015,529.55
12/26/2014,541.52
12/19/2014,520.04
12/12/2014,521.51
12/05/2014,528.08
11/28/2014,549.08
11/21/2014,545.89
11/14/2014,555.19
11/07/2014,551.82
10/31/2014,567.87
10/24/2014,548.9
10/17/2014,522.97
10/10/2014,555.19
10/03/2014,586.25
09/26/2014,587.9
09/19/2014,605.4
09/12/2014,584.9
09/05/2014,597.78
08/29/2014,582.36
08/22/2014,592.54
08/15/2014,583.71
08/08/2014,577.94
08/01/2014,573.6
07/25/2014,598.08
07/18/2014,605.11
07/11/2014,586.65
07/04/2014,593.08
06/27/2014,585.69
06/20/2014,566.52
06/13/2014,560.35
06/06/2014,566.03
05/30/2014,571.65
05/23/2014,563.8
05/16/2014,528.3
05/09/2014,526.62
05/02/2014,533.87
04/25/2014,523.1
04/18/2014,543.34
04/11/2014,537.76
04/04/2014,545.25
03/28/2014,560.618
03/21/2014,592.093
03/14/2014,586.968
03/07/2014,607.984
02/28/2014,608.414
02/21/2014,602.478
02/14/2014,601.983
02/07/2014,589.29
01/31/2014,591.057
01/24/2014,562.459
01/17/2014,575.822
01/10/2014,565.638
01/03/2014,553.035
12/27/2013,559.742
12/20/2013,550.843
12/13/2013,530.909
12/06/2013,535.453
11/29/2013,530.308
11/22/2013,516.445
11/15/2013,517.281
11/08/2013,508.507
11/01/2013,514.018
10/25/2013,508.092
10/18/2013,506.194
10/11/2013,436.417
10/04/2013,436.598
09/27/2013,438.62
09/20/2013,451.993
09/13/2013,444.965
09/06/2013,440.216
08/30/2013,423.86
08/23/2013,435.527
08/16/2013,428.869
08/09/2013,445.636
08/02/2013,453.724
07/26/2013,443.104
07/19/2013,448.733
07/12/2013,461.947
07/05/2013,447.178
06/28/2013,440.612
06/21/2013,440.892
06/14/2013,437.944
06/07/2013,440.291
05/31/2013,436.031
05/24/2013,437.083
05/17/2013,455.03
05/10/2013,440.541
05/03/2013,423.27
04/26/2013,401.098
04/19/2013,400.323
04/12/2013,395.408
04/05/2013,391.904
03/29/2013,397.479
03/22/2013,405.548
03/15/2013,407.546
03/08/2013,416.163
03/01/2013,403.486
02/22/2013,400.242
02/15/2013,396.829
02/08/2013,393.066
02/01/2013,388.176
01/25/2013,377.2
01/18/2013,352.596
01/11/2013,370.354
01/04/2013,369.343
12/28/2012,350.344
12/21/2012,358.162
12/14/2012,351.322
12/07/2012,342.436
11/30/2012,349.523
11/23/2012,334.309
11/16/2012,323.904
11/09/2012,331.836
11/02/2012,344.292
10/26/2012,337.902
10/19/2012,341.225
10/12/2012,372.736
10/05/2012,384.197
09/28/2012,377.616
09/21/2012,367.351
09/14/2012,355.184
09/07/2012,353.417
08/31/2012,342.877
08/24/2012,339.644
08/17/2012,338.898
08/10/2012,321.311
08/03/2012,320.976
07/27/2012,317.788
07/20/2012,305.706
07/13/2012,288.539
07/06/2012,293.274
06/29/2012,290.316
06/22/2012,286.017
06/15/2012,282.529
06/08/2012,290.506
06/01/2012,285.767
05/25/2012,296.052
05/18/2012,300.491
05/11/2012,302.908
05/04/2012,298.774
04/27/2012,307.788
04/20/2012,298.319
04/13/2012,312.603
04/06/2012,316.466
03/30/2012,320.931
03/23/2012,321.606
03/16/2012,312.823
03/09/2012,300.416
03/02/2012,310.926
02/24/2012,305.245
02/17/2012,302.613
02/10/2012,303.249
02/03/2012,298.454
01/27/2012,290.271
01/20/2012,293.279
01/13/2012,312.798
01/06/2012,325.325
12/30/2011,323.263
12/23/2011,316.877
12/16/2011,313.283
12/09/2011,314.014
12/02/2011,310.481
11/25/2011,281.773
11/18/2011,297.728
11/11/2011,304.47
11/04/2011,298.359
10/28/2011,300.361
10/21/2011,295.531
10/14/2011,296.127
10/07/2011,257.81
09/30/2011,257.77
09/23/2011,263.01
09/16/2011,273.605
09/09/2011,262.679
09/02/2011,262.674
08/26/2011,263.685
08/19/2011,245.698
08/12/2011,282.158
08/05/2011,289.801
07/29/2011,302.137
07/22/2011,309.415
07/15/2011,299.1
07/08/2011,266.253
07/01/2011,260.766
