date,price
12/09/2015,16.81
12/08/2015,17.58
12/07/2015,17.51
12/04/2015,18
12/03/2015,18.93
12/02/2015,20.09
12/01/2015,20.13
11/30/2015,20.4
11/27/2015,20.28
11/25/2015,20
11/24/2015,19.32
11/23/2015,18.99
11/20/2015,20.45
11/19/2015,19.93
11/18/2015,19.81
11/17/2015,20.87
11/16/2015,21.62
11/13/2015,21.16
11/12/2015,23.15
11/11/2015,25.1
11/10/2015,25.02
11/09/2015,25.92
11/06/2015,25.13
11/05/2015,24.81
11/04/2015,25.38
11/03/2015,25.02
11/02/2015,25.55
10/30/2015,25
10/29/2015,25.62
10/28/2015,30.21
10/27/2015,28.23
10/26/2015,28.79
10/23/2015,29.15
10/22/2015,28.72
10/21/2015,29.06
10/20/2015,30.31
10/19/2015,29.64
10/16/2015,28.52
10/15/2015,28.54
10/14/2015,28.09
10/13/2015,27.97
10/12/2015,28.46
10/09/2015,29.08
10/08/2015,27.6
10/07/2015,29.33
10/06/2015,30.65
10/05/2015,30.26
10/02/2015,30.44
10/01/2015,30.07
09/30/2015,31.22
09/29/2015,29.86
09/28/2015,29.67
09/25/2015,32.31
09/24/2015,33.92
09/23/2015,32.64
09/22/2015,33.31
09/21/2015,32.27
09/18/2015,35.15
09/17/2015,36.32
09/16/2015,35.73
09/15/2015,33.57
09/14/2015,32.88
09/11/2015,32.42
09/10/2015,33.88
09/09/2015,33.65
09/08/2015,37.5
09/04/2015,36.83
09/03/2015,38.65
09/02/2015,41.28
09/01/2015,43.69
08/31/2015,46.59
08/28/2015,48.18
08/27/2015,47.76
08/26/2015,46.28
08/25/2015,47.03
08/24/2015,47.86
08/21/2015,48.39
08/20/2015,50.6
08/19/2015,54.67
08/18/2015,57.49
08/17/2015,58.55
08/14/2015,58.85
08/13/2015,59.5
08/12/2015,56.91
08/11/2015,59.13
08/10/2015,64.74
08/07/2015,63.06
08/06/2015,62.88
08/05/2015,62.67
08/04/2015,62.08
08/03/2015,62.26
07/31/2015,62.1
07/30/2015,61.69
07/29/2015,61.87
07/28/2015,62.42
07/27/2015,61.27
07/24/2015,62.17
07/23/2015,63.95
07/22/2015,61.68
07/21/2015,62.04
07/20/2015,60.8
07/17/2015,56.64
07/16/2015,55.24
07/15/2015,54.5
07/14/2015,54.97
07/13/2015,52.11
07/10/2015,52.51
07/09/2015,52.04
07/08/2015,51.25
07/07/2015,52.25
07/06/2015,50.94
07/02/2015,51.75
07/01/2015,51.95
06/30/2015,52.72
06/29/2015,53.21
06/26/2015,54.13
06/25/2015,56.91
06/24/2015,57.05
06/23/2015,56.76
06/22/2015,54.92
06/19/2015,57.97
06/18/2015,58.28
06/17/2015,59
06/16/2015,58.19
06/15/2015,58.52
06/12/2015,57.45
06/11/2015,55.99
06/10/2015,57.91
06/09/2015,58.68
06/08/2015,59.4
06/05/2015,59.41
06/04/2015,58.88
06/03/2015,59.03
06/02/2015,58.4
06/01/2015,58.52
05/29/2015,55.46
05/28/2015,56.81
05/27/2015,53.28
05/26/2015,53.41
05/22/2015,54.44
05/21/2015,53.5
05/20/2015,53.88
05/19/2015,51.85
05/18/2015,51.13
05/15/2015,50.09
05/14/2015,50.62
05/13/2015,49.85
05/12/2015,49.57
05/11/2015,48.85
05/08/2015,50.21
05/07/2015,49.55
05/06/2015,48.19
05/05/2015,47.74
05/04/2015,49.74
05/01/2015,49.98
04/30/2015,50.08
04/29/2015,52.96
04/28/2015,47.02
04/27/2015,45.19
04/24/2015,44.73
04/23/2015,46.08
04/22/2015,46.25
04/21/2015,44.31
04/20/2015,44.88
04/17/2015,44.62
04/16/2015,45.46
04/15/2015,45.67
04/14/2015,44.48
04/13/2015,44.22
04/10/2015,45.25
04/09/2015,43.7
04/08/2015,43.33
04/07/2015,43.57
04/06/2015,43.55
04/02/2015,41.96
04/01/2015,40.89
03/31/2015,43.41
03/30/2015,43.58
03/27/2015,42.7
03/26/2015,43.23
03/25/2015,42.3
03/24/2015,41.83
03/23/2015,42.08
03/20/2015,40.4
03/19/2015,39.53
03/18/2015,40.67
03/17/2015,40.25
03/16/2015,39.37
03/13/2015,40.13
03/12/2015,39.7
03/11/2015,38.17
03/10/2015,38.73
03/09/2015,37.95
03/06/2015,40.13
03/05/2015,41.08
03/04/2015,43.01
03/03/2015,40.3
03/02/2015,39.93
02/27/2015,41.98
02/26/2015,44.66
02/25/2015,45.05
02/24/2015,43.88
02/23/2015,43.95
02/20/2015,45.07
02/19/2015,45.16
02/18/2015,45.21
02/17/2015,50.92
02/13/2015,45.27
02/12/2015,45.29
02/11/2015,44.77
02/10/2015,43.8
02/09/2015,44.48
02/06/2015,47.12
02/05/2015,54.37
02/04/2015,51.87
02/03/2015,54.57
02/02/2015,52.14
01/30/2015,49.75
01/29/2015,50.84
01/28/2015,51.46
01/27/2015,51.42
01/26/2015,50.41
01/23/2015,52.51
01/22/2015,48.35
01/21/2015,50.29
01/20/2015,47.34
01/16/2015,47.51
01/15/2015,48.58
01/14/2015,52.34
01/13/2015,49.87
01/12/2015,56.78
01/09/2015,60.84
01/08/2015,60.09
01/07/2015,62.45
01/06/2015,64.85
01/05/2015,66.19
01/02/2015,66.87
12/31/2014,63.22
12/30/2014,65.4
12/29/2014,64.74
12/26/2014,69.23
12/24/2014,66.41
12/23/2014,61.54
12/22/2014,58
12/19/2014,53.9
12/18/2014,57.09
12/17/2014,59.5
12/16/2014,58.27
12/15/2014,57
12/12/2014,60.52
12/11/2014,60.05
12/10/2014,62.76
12/09/2014,67.9
12/08/2014,67.65
12/05/2014,72.18
12/04/2014,71.98
12/03/2014,73.65
12/02/2014,73.89
12/01/2014,73.5
11/28/2014,77.97
11/26/2014,79.05
11/25/2014,74.71
11/24/2014,72.54
11/21/2014,70.72
11/20/2014,71.74
11/19/2014,79.09
11/18/2014,84.1
11/17/2014,81.5
11/14/2014,79.15
11/13/2014,76.47
11/12/2014,76.85
11/11/2014,75
11/10/2014,75.75
11/07/2014,79.06
11/06/2014,78.76
11/05/2014,75.89
11/04/2014,82.27
11/03/2014,84.32
10/31/2014,77.1
10/30/2014,68.25
10/29/2014,67.89
10/28/2014,69.3
10/27/2014,64.91
10/24/2014,71.91
10/23/2014,79.15
10/22/2014,80.09
10/21/2014,80.92
10/20/2014,76
10/17/2014,74.63
10/16/2014,72.69
10/15/2014,72.87
10/14/2014,75.03
10/13/2014,76.67
10/10/2014,85.05
10/09/2014,89.18
10/08/2014,89.93
10/07/2014,93.85
10/06/2014,93.79
10/03/2014,86.97
10/02/2014,85.46
10/01/2014,91.8
09/30/2014,93.7
09/29/2014,90.94
09/26/2014,82.1
09/25/2014,81.31
09/24/2014,78.46
09/23/2014,72.88
09/22/2014,68.27
09/19/2014,67.2
09/18/2014,66.33
09/17/2014,67.22
09/16/2014,65.23
09/15/2014,67.2
09/12/2014,69.18
09/11/2014,68.28
09/10/2014,68.47
09/09/2014,64.19
09/08/2014,63.52
09/05/2014,58.75
09/04/2014,53.08
09/03/2014,56.86
09/02/2014,53.94
08/29/2014,51.8
08/28/2014,48.9
08/27/2014,45.5
08/26/2014,45.29
08/25/2014,43.85
08/22/2014,43.29
08/21/2014,43.17
08/20/2014,43.89
08/19/2014,43.36
08/18/2014,41.85
08/15/2014,39.79
08/14/2014,39.49
08/13/2014,38.19
08/12/2014,38.0399
08/11/2014,38.2
08/08/2014,37.65
08/07/2014,38.7
08/06/2014,38.72
08/05/2014,38.87
08/04/2014,38.53
08/01/2014,40.97
07/31/2014,47.97
07/30/2014,46.3158
07/29/2014,44.07
07/28/2014,43.25
07/25/2014,41.98
07/24/2014,42.19
07/23/2014,41.74
07/22/2014,43.1
07/21/2014,41.58
07/18/2014,41.43
07/17/2014,40.34
07/16/2014,40.9
07/15/2014,41.63
07/14/2014,36.84
07/11/2014,38.84
07/10/2014,41.94
07/09/2014,43.3
07/08/2014,42.2
07/07/2014,43.9601
07/03/2014,41.58
07/02/2014,42.04
07/01/2014,48.7999
06/30/2014,40.55
06/27/2014,35.76
06/26/2014,31.34
06/25/2014,24
