date,price
12/09/2015,180.75
12/04/2015,189.99
11/27/2015,190.47
11/20/2015,191.47
11/13/2015,190.39
11/06/2015,199.17
10/30/2015,187.5
10/23/2015,185.5
10/16/2015,185.18
10/09/2015,179.19
10/02/2015,177.01
09/25/2015,179.83
09/18/2015,180.94
09/11/2015,185.27
09/04/2015,180.38
08/28/2015,187.75
08/21/2015,187.74
08/14/2015,202.02
08/07/2015,203.44
07/31/2015,205.07
07/24/2015,207.35
07/17/2015,212.46
07/10/2015,207.19
07/03/2015,209.2
06/26/2015,213.17
06/19/2015,213.19
06/12/2015,213.06
06/05/2015,210.45
05/29/2015,206.19
05/22/2015,207.8
05/15/2015,202.97
05/08/2015,200.5
05/01/2015,197.53
04/24/2015,197.99
04/17/2015,197.35
04/10/2015,195.64
04/03/2015,191.55
03/27/2015,188.06
03/20/2015,193.13
03/13/2015,189.34
03/06/2015,186.91
02/27/2015,189.79
02/20/2015,191.51
02/13/2015,189
02/06/2015,183.43
01/30/2015,172.41
01/23/2015,180.49
01/16/2015,177.23
01/09/2015,187.35
01/02/2015,194.41
12/26/2014,195.45
12/19/2014,193.28
12/12/2014,188.82
12/05/2014,195.45
11/28/2014,188.41
11/21/2014,189.59
11/14/2014,189.98
11/07/2014,190.71
10/31/2014,189.99
10/24/2014,183.35
10/17/2014,176.91
10/10/2014,180.38
10/03/2014,188.07
09/26/2014,185.12
09/19/2014,186.2
09/12/2014,183.17
09/05/2014,179.75
08/29/2014,179.11
08/22/2014,175.47
08/15/2014,171.9
08/08/2014,172.26
08/01/2014,170.25
07/25/2014,175.4
07/18/2014,171.47
07/11/2014,164.8
07/04/2014,169.46
06/27/2014,166.78
06/20/2014,169.84
06/13/2014,165.89
06/06/2014,166.19
05/30/2014,159.81
05/23/2014,160.16
05/16/2014,156.43
05/09/2014,157.2
05/02/2014,158.88
04/25/2014,158.24
04/18/2014,157.44
04/11/2014,152.72
04/04/2014,163.24
03/28/2014,162.3
03/21/2014,166.95
03/14/2014,165.35
03/07/2014,174.26
02/28/2014,166.45
02/21/2014,164.5
02/14/2014,163.72
02/07/2014,161.93
01/31/2014,164.12
01/24/2014,167.64
01/17/2014,176.28
01/10/2014,178.39
01/03/2014,178.15
12/27/2013,176.35
12/20/2013,175.16
12/13/2013,168.39
12/06/2013,167.21
11/29/2013,168.94
11/22/2013,168.1
11/15/2013,164.4
11/08/2013,163.17
11/01/2013,162.05
10/25/2013,162.09
10/18/2013,158.69
10/11/2013,160
10/04/2013,156.55
09/27/2013,159.85
09/20/2013,169.75
09/13/2013,164
09/06/2013,156.66
08/30/2013,152.13
08/23/2013,158.65
08/16/2013,160.66
08/09/2013,162.13
08/02/2013,167.62
07/26/2013,165.26
07/19/2013,164.36
07/12/2013,160.11
07/05/2013,153.24
06/28/2013,151.25
06/21/2013,154.25
06/14/2013,162.92
06/07/2013,166.01
05/31/2013,162.08
05/24/2013,158.72
05/17/2013,158.18
05/10/2013,149.1
05/03/2013,145.37
04/26/2013,144.11
04/19/2013,138.72
04/12/2013,149.12
04/05/2013,143.69
03/29/2013,147.15
03/22/2013,146.6
03/15/2013,154.84
03/08/2013,152.98
03/01/2013,150.53
02/22/2013,154.09
02/15/2013,154.99
02/08/2013,151.6
02/01/2013,149.9
01/25/2013,144.46
01/18/2013,144.45
01/11/2013,137.13
01/04/2013,134.51
12/28/2012,125.52
12/21/2012,128.44
12/14/2012,119.36
12/07/2012,116.57
11/30/2012,117.79
11/23/2012,120.31
11/16/2012,115.84
11/09/2012,116.15
11/02/2012,123.25
10/26/2012,119.44
10/19/2012,123.62
10/12/2012,120.2
10/05/2012,119.31
09/28/2012,113.68
09/21/2012,116.72
09/14/2012,121.36
09/07/2012,116.33
08/31/2012,105.72
08/24/2012,104.96
08/17/2012,103.6
08/10/2012,103.02
08/03/2012,100.98
07/27/2012,101.64
07/20/2012,94.16
07/13/2012,97.43
07/06/2012,95.47
06/29/2012,95.86
06/22/2012,93.63
06/15/2012,95.66
06/08/2012,94.54
06/01/2012,92.64
05/25/2012,96.7
05/18/2012,95.49
05/11/2012,102.13
05/04/2012,108.99
04/27/2012,114.41
04/20/2012,112.44
04/13/2012,115.09
04/06/2012,118
03/30/2012,124.37
03/23/2012,126.18
03/16/2012,122.93
03/09/2012,117.29
03/02/2012,119.96
02/24/2012,115.87
02/17/2012,115.91
02/10/2012,114.12
02/03/2012,117.53
01/27/2012,111.77
01/20/2012,108.74
01/13/2012,98.96
01/06/2012,93.42
12/30/2011,90.43
12/23/2011,93.79
12/16/2011,90.1
12/09/2011,101.45
12/02/2011,97.25
11/25/2011,88.75
11/18/2011,91.91
11/11/2011,101.66
11/04/2011,105.04
10/28/2011,115.86
10/21/2011,102.09
10/14/2011,96.73
10/07/2011,92.69
09/30/2011,94.55
09/23/2011,95.18
09/16/2011,107.49
09/09/2011,102.25
09/02/2011,107.06
08/26/2011,111.75
08/19/2011,111.76
08/12/2011,116.47
08/05/2011,125.18
07/29/2011,134.97
07/22/2011,135.49
07/15/2011,130.16
07/08/2011,134.08
07/01/2011,136.65
06/24/2011,130.91
06/17/2011,137.23
06/10/2011,135.92
06/03/2011,135.33
05/27/2011,138.66
05/20/2011,134.99
05/13/2011,141.46
05/06/2011,150.1
04/29/2011,151.01
04/22/2011,153.51
04/15/2011,155.13
04/08/2011,160.96
04/01/2011,160.23
03/25/2011,157.97
03/18/2011,159.96
03/11/2011,160.68
03/04/2011,161
02/25/2011,165.12
02/18/2011,168.04
02/11/2011,166.66
02/04/2011,164.83
01/28/2011,161.77
01/21/2011,166.2
01/14/2011,175
01/07/2011,170.69
12/31/2010,168.16
12/24/2010,167.6
12/17/2010,164.04
12/10/2010,168.47
12/03/2010,162.31
11/26/2010,158.22
11/19/2010,166.67
11/12/2010,165.83
11/05/2010,171.07
10/29/2010,161.13
10/22/2010,157.76
10/15/2010,150.69
10/08/2010,152.66
10/01/2010,147.7
09/24/2010,147.28
09/17/2010,150.98
09/10/2010,150.39
09/03/2010,147.29
08/27/2010,139.75
08/20/2010,148.24
08/13/2010,148.08
08/06/2010,155.18
07/30/2010,150.82
07/23/2010,147.38
07/16/2010,146.17
07/09/2010,138.06
07/02/2010,131.08
06/25/2010,139.66
06/18/2010,138.18
06/11/2010,135.64
06/04/2010,142.25
05/28/2010,144.26
