date,price
12/09/2015,37.74
12/04/2015,37.9
11/27/2015,39.13
11/20/2015,38
11/13/2015,37.39
11/06/2015,39.35
10/30/2015,38.38
10/23/2015,39.21
10/16/2015,37.81
10/09/2015,39.65
10/02/2015,36.8
09/25/2015,36.7
09/18/2015,37.38
09/11/2015,37.2
09/04/2015,36.85
08/28/2015,38.59
08/21/2015,35.69
08/14/2015,41.99
08/07/2015,39.76
07/31/2015,41.79
07/24/2015,41.72
07/17/2015,39.99
07/10/2015,41.33
07/03/2015,41.91
06/26/2015,43.12
06/19/2015,43.85
06/12/2015,45.48
06/05/2015,45.73
05/29/2015,45.4
05/22/2015,45.91
05/15/2015,46.7
05/08/2015,48.11
05/01/2015,49.11
04/24/2015,48
04/17/2015,46.89
04/10/2015,46.26
04/03/2015,43.96
03/27/2015,43.26
03/20/2015,42.82
03/13/2015,40.18
03/06/2015,42.38
02/27/2015,42.94
02/20/2015,43.36
02/13/2015,44.19
02/06/2015,43.36
01/30/2015,39.99
01/23/2015,40.99
01/16/2015,39.13
01/09/2015,39.8
01/02/2015,39.49
12/26/2014,39.73
12/19/2014,40.49
12/12/2014,37.93
12/05/2014,40.37
11/28/2014,42.2
11/21/2014,50.63
11/14/2014,55.08
11/07/2014,53.86
10/31/2014,55.14
10/24/2014,55.78
10/17/2014,52.6
10/10/2014,54.29
10/03/2014,61.86
09/26/2014,65.88
09/19/2014,66.51
09/12/2014,65.86
09/05/2014,67.45
08/29/2014,67.61
08/22/2014,67.47
08/15/2014,68.42
08/08/2014,68.31
08/01/2014,68.72
07/25/2014,73.41
07/18/2014,70.93
07/11/2014,68.99
07/04/2014,70.97
06/27/2014,70.47
06/20/2014,70.24
06/13/2014,67.58
06/06/2014,66.98
05/30/2014,64.64
05/23/2014,64.01
05/16/2014,62.85
05/09/2014,63.5
05/02/2014,63.86
04/25/2014,62.86
04/18/2014,60.9
04/11/2014,57.61
04/04/2014,59.31
03/28/2014,59.46
03/21/2014,58.06
03/14/2014,55.19
03/07/2014,56.2
02/28/2014,57
02/21/2014,55.3
02/14/2014,53.57
02/07/2014,51.97
01/31/2014,49.01
01/24/2014,48.61
01/17/2014,50.66
01/10/2014,50.52
01/03/2014,50.13
12/27/2013,51.08
12/20/2013,50.54
12/13/2013,49.39
12/06/2013,50.56
11/29/2013,52.68
11/22/2013,54.5
11/15/2013,56.23
11/08/2013,55.32
11/01/2013,53.23
10/25/2013,51.69
10/18/2013,52.47
10/11/2013,50.67
10/04/2013,49.06
09/27/2013,48.39
09/20/2013,49.34
09/13/2013,49.69
09/06/2013,49.54
08/30/2013,48
08/23/2013,48.71
08/16/2013,46.95
08/09/2013,46.03
08/02/2013,46.3
07/26/2013,45.98
07/19/2013,45.83
07/12/2013,44.64
07/05/2013,43.71
06/28/2013,41.72
06/21/2013,41.79
06/14/2013,42.93
06/07/2013,43.16
05/31/2013,41.85
05/24/2013,43.02
05/17/2013,45.25
05/10/2013,43.39
05/03/2013,42.55
04/26/2013,40.57
04/19/2013,37.21
04/12/2013,40.86
04/05/2013,38.6
03/29/2013,40.41
03/22/2013,39.16
03/15/2013,41.9
03/08/2013,42.08
03/01/2013,40.63
02/22/2013,41.11
02/15/2013,42.7
02/08/2013,41.26
02/01/2013,41.08
01/25/2013,39.72
01/18/2013,37.5
01/11/2013,36.62
01/04/2013,36.65
12/28/2012,34.01
12/21/2012,34.71
12/14/2012,33.39
12/07/2012,33.78
11/30/2012,33.35
11/23/2012,32.08
11/16/2012,30.46
11/09/2012,30.56
11/02/2012,32.11
10/26/2012,32.4
10/19/2012,34.98
10/12/2012,33.8
10/05/2012,33.42
09/28/2012,33.69
09/21/2012,35.84
09/14/2012,37.44
09/07/2012,34.24
08/31/2012,32.76
08/24/2012,34.27
08/17/2012,35.12
08/10/2012,35.19
08/03/2012,33.76
07/27/2012,33.62
07/20/2012,30.77
07/13/2012,28.8
07/06/2012,29.3
06/29/2012,28.39
06/22/2012,27.8
06/15/2012,29.45
06/08/2012,27.96
06/01/2012,29.97
05/25/2012,31.37
05/18/2012,29.93
05/11/2012,31.83
05/04/2012,32.53
04/27/2012,33.24
04/20/2012,33.29
04/13/2012,32.41
04/06/2012,32.77
03/30/2012,33.19
03/23/2012,33.42
03/16/2012,34.54
03/09/2012,34.88
03/02/2012,36.05
02/24/2012,38.51
02/17/2012,36.29
02/10/2012,36.06
02/03/2012,36.83
01/27/2012,37.1
01/20/2012,36.2
01/13/2012,33.94
01/06/2012,34.98
12/30/2011,34.51
12/23/2011,33.8
12/16/2011,31.76
12/09/2011,34.08
12/02/2011,36.58
11/25/2011,31.8
11/18/2011,35.96
11/11/2011,38.59
11/04/2011,37.16
10/28/2011,39.13
10/21/2011,33.5
10/14/2011,37.43
10/07/2011,33.32
09/30/2011,30.52
09/23/2011,31.67
09/16/2011,39.88
09/09/2011,39.66
09/02/2011,41.54
08/26/2011,41.46
08/19/2011,38.04
08/12/2011,45.48
08/05/2011,47.09
07/29/2011,54.73
07/22/2011,57.2
07/15/2011,53.08
07/08/2011,54.04
07/01/2011,51.29
06/24/2011,45.87
06/17/2011,46.02
06/10/2011,48
06/03/2011,50.28
05/27/2011,50.15
05/20/2011,47.18
05/13/2011,46
05/06/2011,46.67
04/29/2011,50.48
04/22/2011,50.48
04/15/2011,46.82
04/08/2011,48.13
04/01/2011,49.34
03/25/2011,46.04
03/18/2011,44.19
03/11/2011,44.46
03/04/2011,46.84
02/25/2011,47.03
02/18/2011,48.11
02/11/2011,44.64
02/04/2011,45.92
01/28/2011,43.88
01/21/2011,39.19
01/14/2011,39.99
01/07/2011,38.45
12/31/2010,40.83
12/24/2010,40.32
12/17/2010,39.89
12/10/2010,40.22
12/03/2010,41.15
11/26/2010,36.56
11/19/2010,38.01
11/12/2010,35.82
11/05/2010,31.92
10/29/2010,31.86
10/22/2010,34.18
10/15/2010,35.82
10/08/2010,34.73
10/01/2010,33.33
09/24/2010,32.73
09/17/2010,30.96
09/10/2010,30.88
09/03/2010,30.43
08/27/2010,29.25
08/20/2010,27.82
08/13/2010,28.1
08/06/2010,30.92
07/30/2010,29.88
07/23/2010,30.59
07/16/2010,27.51
07/09/2010,28.64
07/02/2010,25.74
06/25/2010,26.34
06/18/2010,26.98
06/11/2010,24.39
