date,price
12/09/2015,29.85
12/08/2015,30.75
12/07/2015,31.37
12/04/2015,31.13
12/03/2015,29.32
12/02/2015,30.97
12/01/2015,34.19
11/30/2015,32.78
11/27/2015,34.83
11/25/2015,26.63
11/24/2015,18.4
11/23/2015,39.5
11/20/2015,18.25
11/19/2015,10.4
11/18/2015,2.07
11/17/2015,2.17
11/16/2015,1.72
11/13/2015,0.9
11/12/2015,0.9
11/11/2015,0.9499
11/10/2015,1
11/09/2015,0.95
11/06/2015,0.92
11/05/2015,1.93
11/04/2015,1.88
11/03/2015,1.93
11/02/2015,1.87
10/30/2015,1.93
10/29/2015,1.9
10/28/2015,1.9
10/27/2015,1.85
10/26/2015,1.9
10/23/2015,2.04
10/22/2015,2.02
10/21/2015,2.03
10/20/2015,2.12
10/19/2015,2.26
10/16/2015,2.15
10/15/2015,2.14
10/14/2015,2.02
10/13/2015,2.07
10/12/2015,2.18
10/09/2015,2.3
10/08/2015,2.31
10/07/2015,2.3
10/06/2015,2.28
10/05/2015,2.24
10/02/2015,2.12
10/01/2015,1.91
09/30/2015,1.9101
09/29/2015,2.07
09/28/2015,1.93
09/25/2015,2.15
09/24/2015,2.43
09/23/2015,2.74
09/22/2015,2.64
09/21/2015,2.86
09/18/2015,3.12
09/17/2015,3.22
09/16/2015,3.39
09/15/2015,3.7
09/14/2015,3.7
09/11/2015,3.8401
09/10/2015,3.69
09/09/2015,3.7
09/08/2015,3.45
09/04/2015,4.01
09/03/2015,3.03
09/02/2015,2.04
09/01/2015,2.11
08/31/2015,2.12
08/28/2015,2.01
08/27/2015,1.97
08/26/2015,1.95
08/25/2015,1.86
08/24/2015,1.815
08/21/2015,1.82
08/20/2015,1.83
08/19/2015,1.9
08/18/2015,1.97
08/17/2015,1.99
08/14/2015,1.92
08/13/2015,1.95
08/12/2015,2
08/11/2015,1.9
08/10/2015,2.05
08/07/2015,1.87
08/06/2015,2
08/05/2015,2.03
08/04/2015,2.09
08/03/2015,2.09
07/31/2015,2.1
07/30/2015,2.16
07/29/2015,2.52
07/28/2015,2.34
07/27/2015,2.3
07/24/2015,2.5
07/23/2015,2.6
07/22/2015,2.6
07/21/2015,2.55
07/20/2015,2.75
07/17/2015,2.88
07/16/2015,2.79
07/15/2015,3
07/14/2015,3.09
07/13/2015,3.121
07/10/2015,3.68
07/09/2015,3.568
07/08/2015,3.668
07/07/2015,3.92
07/06/2015,3.84
07/02/2015,3.92
07/01/2015,3.992
06/30/2015,3.84
06/29/2015,3.8905
06/26/2015,3.76
06/25/2015,4.0975
06/24/2015,4.24
06/23/2015,4.28
06/22/2015,4.4
06/19/2015,4.1975
06/18/2015,4.3935
06/17/2015,4.32
06/16/2015,4.32
06/15/2015,4.32
06/12/2015,4.452
06/11/2015,4.3415
06/10/2015,4.424
06/09/2015,4.4
06/08/2015,4.584
06/05/2015,4.544
06/04/2015,4.64
06/03/2015,4.64
06/02/2015,4.52
06/01/2015,4.72
05/29/2015,5.056
05/28/2015,4.248
05/27/2015,4.176
05/26/2015,3.928
05/22/2015,4.256
05/21/2015,4.4145
05/20/2015,4.384
05/19/2015,3.9215
05/18/2015,3.9975
05/15/2015,3.9985
05/14/2015,3.849
05/13/2015,3.9265
05/12/2015,4
05/11/2015,4.04
05/08/2015,4
05/07/2015,4
05/06/2015,4.048
05/05/2015,4.1575
05/04/2015,4.1655
05/01/2015,3.9935
04/30/2015,3.876
04/29/2015,3.9295
04/28/2015,3.999
04/27/2015,3.968
04/24/2015,4.2495
04/23/2015,4.455
04/22/2015,4.56
