date,price
12/09/2015,45.65
12/08/2015,52.16
12/07/2015,51.79
12/04/2015,49.18
12/03/2015,49.12
12/02/2015,49
12/01/2015,49.05
11/30/2015,47.82
11/27/2015,52.5
11/25/2015,52.95
11/24/2015,52.73
11/23/2015,52.77
11/20/2015,49.28
11/19/2015,47.33
11/18/2015,45.69
11/17/2015,44.09
11/16/2015,45.24
11/13/2015,45.05
11/12/2015,48.16
11/11/2015,47.57
11/10/2015,50.08
11/09/2015,50.17
11/06/2015,51.06
11/05/2015,52.08
11/04/2015,51.68
11/03/2015,52.09
11/02/2015,51.08
10/30/2015,49.17
10/29/2015,48.79
10/28/2015,49.24
10/27/2015,48.28
10/26/2015,48.3
10/23/2015,48.49
10/22/2015,52.33
10/21/2015,52
10/20/2015,52.93
10/19/2015,53.26
10/16/2015,53.81
10/15/2015,52.52
10/14/2015,51.54
10/13/2015,51.58
10/12/2015,51.91
10/09/2015,52.75
10/08/2015,54.21
10/07/2015,54
10/06/2015,51.74
10/05/2015,51.27
10/02/2015,51.12
10/01/2015,50.28
09/30/2015,50.65
09/29/2015,49.81
09/28/2015,50.37
09/25/2015,52.58
09/24/2015,52.85
09/23/2015,53.53
09/22/2015,54.72
09/21/2015,53.98
09/18/2015,52.91
09/17/2015,53.83
09/16/2015,54.65
09/15/2015,53.37
09/14/2015,53.79
09/11/2015,54.01
09/10/2015,53.54
09/09/2015,64.05
09/08/2015,65.89
09/04/2015,65.68
09/03/2015,64.95
09/02/2015,65.36
09/01/2015,63.07
08/31/2015,64.01
08/28/2015,63.17
08/27/2015,62.64
08/26/2015,60.31
08/25/2015,58.7
08/24/2015,59.07
08/21/2015,61.95
08/20/2015,62.96
08/19/2015,65.36
08/18/2015,66.7
08/17/2015,66.37
08/14/2015,65.17
08/13/2015,64.5
08/12/2015,63.02
08/11/2015,64.45
08/10/2015,63.99
08/07/2015,62.37
08/06/2015,62.27
08/05/2015,62.69
08/04/2015,62.57
08/03/2015,61.87
07/31/2015,62.86
07/30/2015,63.07
07/29/2015,63.74
07/28/2015,63.22
07/27/2015,61.17
07/24/2015,61.24
07/23/2015,62
07/22/2015,62.86
07/21/2015,62.77
07/20/2015,63.36
07/17/2015,62.94
07/16/2015,62.78
07/15/2015,63.42
