date,price
12/31/1987,5.5
12/30/1987,5.4063
12/29/1987,5.3438
12/28/1987,5.4531
12/24/1987,5.6406
12/23/1987,5.6094
12/22/1987,5.5938
12/21/1987,5.625
12/18/1987,5.6406
12/17/1987,5.4688
12/16/1987,5.5625
12/15/1987,5.4688
12/14/1987,5.375
12/11/1987,5.2344
12/10/1987,5.3125
12/09/1987,5.5781
12/08/1987,5.5469
12/07/1987,5.3125
12/04/1987,5.1563
12/03/1987,5.0313
12/02/1987,5.3906
12/01/1987,5.2813
11/30/1987,5.1563
11/27/1987,5.4531
11/25/1987,5.5781
11/24/1987,5.7813
11/23/1987,5.7344
11/20/1987,5.625
11/19/1987,5.5156
11/18/1987,5.5625
11/17/1987,5.5
11/16/1987,5.5469
11/13/1987,5.5156
11/12/1987,5.5625
11/11/1987,5.4375
11/10/1987,5.3125
11/09/1987,5.25
11/06/1987,5.3906
11/05/1987,5.375
11/04/1987,5.2344
11/03/1987,5.375
11/02/1987,5.625
10/30/1987,5.6875
10/29/1987,5.5156
10/28/1987,5.2656
10/27/1987,5.2188
10/26/1987,5.125
10/23/1987,5.6719
10/22/1987,5.4375
10/21/1987,5.4375
10/20/1987,4.9219
10/19/1987,4.5469
10/16/1987,5.4531
10/15/1987,5.7344
10/14/1987,5.9219
10/13/1987,6.0156
10/12/1987,5.9375
10/09/1987,6.2656
10/08/1987,6.4219
10/07/1987,6.5
10/06/1987,6.2969
10/05/1987,6.6719
10/02/1987,6.7188
10/01/1987,6.6875
09/30/1987,6.75
09/29/1987,6.8281
09/28/1987,6.7969
09/25/1987,6.7344
09/24/1987,6.75
09/23/1987,6.9844
09/22/1987,6.9375
09/21/1987,6.7188
09/18/1987,6.8438
09/17/1987,6.8906
09/16/1987,6.8906
09/15/1987,7.0156
09/14/1987,7.1406
09/11/1987,7.1406
09/10/1987,7.0469
09/09/1987,6.9531
09/08/1987,6.875
09/04/1987,6.875
09/03/1987,6.9688
09/02/1987,7.0313
09/01/1987,7.1406
08/31/1987,7.2813
08/28/1987,7.2031
08/27/1987,7.375
08/26/1987,7.5
08/25/1987,7.5156
08/24/1987,7.3438
08/21/1987,7.5
08/20/1987,7.5
08/19/1987,7.4375
08/18/1987,7.5938
08/17/1987,7.6094
08/14/1987,7.4375
08/13/1987,7.4844
08/12/1987,7.375
08/11/1987,7.4375
08/10/1987,7.2188
08/07/1987,7.0781
08/06/1987,7.125
08/05/1987,6.9063
08/04/1987,6.7656
08/03/1987,6.8438
07/31/1987,6.9375
07/30/1987,6.9219
07/29/1987,6.8906
07/28/1987,6.8281
07/27/1987,6.7656
07/24/1987,6.7031
07/23/1987,6.6406
07/22/1987,6.5781
07/21/1987,6.5313
07/20/1987,6.4844
07/17/1987,6.5625
07/16/1987,6.6719
07/15/1987,6.6094
07/14/1987,6.625
07/13/1987,6.5313
07/10/1987,6.6875
07/09/1987,6.7813
07/08/1987,6.8281
07/07/1987,6.7813
07/06/1987,6.6875
07/02/1987,6.6406
07/01/1987,6.6094
06/30/1987,6.625
06/29/1987,6.7813
06/26/1987,6.75
06/25/1987,6.8906
06/24/1987,6.75
06/23/1987,6.875
06/22/1987,7.1354
06/19/1987,7.1146
06/18/1987,7.0833
