date,price
10/12/2015,0.6792
09/30/2015,0.62
08/31/2015,0.4892
07/31/2015,0.4289
06/30/2015,0.39
05/29/2015,0.4201
04/30/2015,0.415
03/31/2015,0.3689
02/27/2015,0.3809
01/30/2015,0.429
12/31/2014,0.4245
11/28/2014,0.4667
10/31/2014,0.4241
09/30/2014,0.394
08/29/2014,0.59
07/31/2014,0.59
06/30/2014,0.591
05/30/2014,0.6751
04/30/2014,0.6345
03/31/2014,0.4825
02/28/2014,0.43
01/31/2014,0.467
12/31/2013,0.5147
11/29/2013,0.45
10/31/2013,0.6715
09/30/2013,0.765
08/30/2013,0.6517
07/31/2013,0.5859
06/28/2013,0.431
05/31/2013,0.471
04/30/2013,0.4097
03/29/2013,0.378
02/28/2013,0.455
01/31/2013,0.5748
12/31/2012,0.5
11/30/2012,0.59
10/31/2012,0.632
09/28/2012,0.606
08/31/2012,0.6899
07/31/2012,0.6301
06/29/2012,0.511
05/31/2012,0.4201
04/30/2012,0.54
03/30/2012,0.62
02/29/2012,0.554
01/31/2012,0.65
12/30/2011,0.51
11/30/2011,0.5899
10/31/2011,0.833
09/30/2011,0.605
08/31/2011,0.8
07/29/2011,1.16
06/30/2011,1.42
05/31/2011,1.82
04/29/2011,1.97
03/31/2011,2.19
02/28/2011,1.79
01/31/2011,0.869
12/31/2010,1.02
11/30/2010,0.74
10/29/2010,0.4398
09/30/2010,0.44
08/31/2010,0.395
07/30/2010,0.45
06/30/2010,0.412
05/31/2010,0.375
04/30/2010,0.4619
03/31/2010,0.48
02/26/2010,0.48
01/29/2010,0.3505
12/31/2009,0.35
11/30/2009,0.41
10/30/2009,0.44
09/30/2009,0.3898
08/31/2009,0.35
07/31/2009,0.262
06/30/2009,0.261
05/29/2009,0.41
04/30/2009,0.27
03/31/2009,0.3105
02/27/2009,0.2199
01/30/2009,0.37
12/31/2008,0.3
11/28/2008,0.3
10/31/2008,0.3599
09/30/2008,0.4799
08/29/2008,0.73
07/31/2008,0.57
06/30/2008,0.59
05/30/2008,0.731
04/30/2008,0.64
03/31/2008,0.62
02/29/2008,0.69
01/31/2008,0.87
12/31/2007,1.17
11/30/2007,1.21
10/31/2007,1.39
09/28/2007,1.26
08/31/2007,1.01
07/31/2007,1.28
06/29/2007,1.3
05/31/2007,1.17
04/30/2007,0.8
03/30/2007,0.83
02/28/2007,0.74
01/31/2007,0.63
12/29/2006,0.58
11/30/2006,0.66
10/31/2006,0.48
09/29/2006,0.53
08/31/2006,0.38
07/31/2006,0.4
06/30/2006,0.42
05/31/2006,0.45
04/28/2006,0.52
03/31/2006,0.56
02/28/2006,0.56
01/31/2006,0.69
12/30/2005,0.74
11/30/2005,0.89
10/31/2005,0.65
09/30/2005,0.68
08/31/2005,0.79
07/29/2005,1.07
06/30/2005,1.11
05/31/2005,1.62
04/29/2005,1.3
03/31/2005,1.62
02/28/2005,1.38
01/31/2005,1.02
12/31/2004,0.84
11/30/2004,0.81
10/29/2004,0.56
09/30/2004,0.49
08/31/2004,0.49
07/30/2004,0.46
06/30/2004,0.59
05/31/2004,0.62
04/30/2004,0.66
03/31/2004,0.72
02/27/2004,0.77
01/30/2004,1.1
12/31/2003,1.03
11/28/2003,1.04
10/31/2003,1.25
09/30/2003,0.77
08/29/2003,0.69
07/31/2003,0.61
06/30/2003,0.66
05/30/2003,0.78
04/30/2003,0.69
03/31/2003,0.63
02/28/2003,0.62
01/31/2003,0.63
12/31/2002,0.44
11/29/2002,0.95
10/31/2002,0.91
09/30/2002,0.9
08/30/2002,0.94
07/31/2002,0.9
06/28/2002,1.02
05/31/2002,1.02
04/30/2002,0.9
03/29/2002,1.07
02/28/2002,1.09
01/31/2002,0.95
12/31/2001,1.35
11/30/2001,1.28
10/31/2001,1.42
09/28/2001,1.28
08/31/2001,1.65
07/31/2001,1.14
06/29/2001,0.8
05/31/2001,0.45
04/30/2001,0.52
03/30/2001,0.5
02/28/2001,0.7
01/31/2001,0.95
12/29/2000,0.6875
11/30/2000,0.8125
10/31/2000,1
09/29/2000,1.0625
08/31/2000,1
07/31/2000,1.0625
06/30/2000,1.125
05/31/2000,1.25
04/28/2000,1.5
03/31/2000,2.0625
02/29/2000,2.625
01/31/2000,2.625
12/31/1999,2.875
11/30/1999,2.6875
10/29/1999,2.5
09/30/1999,2.75
