date,price
10/12/2015,113.02
10/09/2015,113.33
10/08/2015,114.93
10/07/2015,108.1
10/06/2015,108.33
10/05/2015,111.25
10/02/2015,106.11
10/01/2015,105.98
09/30/2015,103.26
09/29/2015,98.35
09/28/2015,99.47
09/25/2015,102.24
09/24/2015,103.76
09/23/2015,98.07
09/22/2015,98.47
09/21/2015,100.3
09/18/2015,102.62
09/17/2015,104.21
09/16/2015,104.08
09/15/2015,99.16
09/14/2015,95.69
09/11/2015,97.51
09/10/2015,99.48
09/09/2015,99.18
09/08/2015,94.95
09/04/2015,98.79
09/03/2015,101.06
09/02/2015,105.44
09/01/2015,105.79
08/31/2015,115.03
08/28/2015,117.63
08/27/2015,117.66
08/26/2015,110.13
08/25/2015,101.52
08/24/2015,96.88
08/21/2015,103.96
08/20/2015,112.49
08/19/2015,122.06
08/18/2015,124.05
08/17/2015,125.36
08/14/2015,123.39
08/13/2015,123.73
08/12/2015,120.51
08/11/2015,122.74
08/10/2015,123.03
08/07/2015,123.52
08/06/2015,126.45
08/05/2015,123.71
08/04/2015,121.15
08/03/2015,112.56
07/31/2015,114.31
07/30/2015,111.56
07/29/2015,107.08
07/28/2015,106.9
07/27/2015,106.43
07/24/2015,109.34
07/23/2015,110.1
07/22/2015,111.5
07/21/2015,112.51
07/20/2015,110.55
07/17/2015,114.77
07/16/2015,115.81
07/15/2015,98.13
07/14/2015,100.371
07/13/2015,101.087
07/10/2015,97.229
07/09/2015,95.727
07/08/2015,93.507
07/07/2015,94.091
07/06/2015,94.571
07/02/2015,94.044
07/01/2015,93.636
06/30/2015,93.849
06/29/2015,92.231
06/26/2015,93.089
06/25/2015,94.891
06/24/2015,96.944
06/23/2015,97.313
06/22/2015,96.414
06/19/2015,93.871
06/18/2015,94.743
06/17/2015,94.271
06/16/2015,95.273
06/15/2015,93.431
06/12/2015,94.419
06/11/2015,95.094
06/10/2015,95.871
06/09/2015,92.45
06/08/2015,89.604
06/05/2015,90.46
06/04/2015,89.349
06/03/2015,88.809
06/02/2015,89.13
06/01/2015,89.003
05/29/2015,89.151
05/28/2015,89.507
05/27/2015,89.857
05/26/2015,87.993
05/22/2015,88.839
05/21/2015,89.003
05/20/2015,88.79
05/19/2015,88.069
05/18/2015,88.267
05/15/2015,87.607
05/14/2015,83.836
05/13/2015,82.873
05/12/2015,83.377
05/11/2015,84.278
05/08/2015,82.086
05/07/2015,80.749
05/06/2015,80.077
05/05/2015,80.793
05/04/2015,79.271
05/01/2015,79.576
04/30/2015,79.5
04/29/2015,80.407
04/28/2015,80.437
04/27/2015,80.869
04/24/2015,79.771
04/23/2015,79.866
04/22/2015,79.669
04/21/2015,80.063
04/20/2015,81.056
04/17/2015,81.65
04/16/2015,80.293
04/15/2015,67.923
04/14/2015,68.387
04/13/2015,67.811
04/10/2015,64.939
04/09/2015,62.786
04/08/2015,63.05
04/07/2015,60.494
04/06/2015,60.33
04/02/2015,59.154
04/01/2015,59.017
03/31/2015,59.527
03/30/2015,60.367
03/27/2015,59.253
03/26/2015,59.751
03/25/2015,60.25
03/24/2015,62.611
03/23/2015,60.714
03/20/2015,61.185
03/19/2015,60.744
03/18/2015,60.446
03/17/2015,59.789
03/16/2015,60.281
03/13/2015,62.629
03/12/2015,64.046
03/11/2015,62.884
03/10/2015,62.151
03/09/2015,63.661
03/06/2015,64.874
03/05/2015,66.807
03/04/2015,67.11
03/03/2015,67.816
03/02/2015,68.607
02/27/2015,67.844
02/26/2015,69.004
02/25/2015,68.333
02/24/2015,67.84
02/23/2015,67.406
02/20/2015,68.314
02/19/2015,67.8
02/18/2015,67.866
02/17/2015,67.137
02/13/2015,66.586
02/12/2015,65.247
02/11/2015,64.984
02/10/2015,64.85
02/09/2015,63.295
02/06/2015,63.48
02/05/2015,64.13
02/04/2015,64.101
