date,price
10/12/2015,2014.67
09/30/2015,1920.03
08/31/2015,1972.18
07/31/2015,2103.84
06/30/2015,2063.11
05/29/2015,2107.39
04/30/2015,2085.51
03/31/2015,2067.89
02/27/2015,2104.5
01/30/2015,1994.99
12/31/2014,2058.9
11/28/2014,2067.56
10/31/2014,2018.05
09/30/2014,1972.29
08/29/2014,2003.37
07/31/2014,1930.67
06/30/2014,1960.23
05/30/2014,1923.57
04/30/2014,1883.95
03/31/2014,1872.34
02/28/2014,1859.45
01/31/2014,1782.59
12/31/2013,1848.36
11/29/2013,1805.81
10/31/2013,1756.54
09/30/2013,1681.55
08/30/2013,1632.97
07/31/2013,1685.73
06/28/2013,1606.28
05/31/2013,1630.74
04/30/2013,1597.57
03/29/2013,1569.19
02/28/2013,1514.68
01/31/2013,1498.11
12/31/2012,1426.19
11/30/2012,1416.18
10/31/2012,1412.16
09/28/2012,1440.67
08/31/2012,1406.58
07/31/2012,1379.32
06/29/2012,1362.16
05/31/2012,1310.33
04/30/2012,1397.91
03/30/2012,1408.47
02/29/2012,1365.68
01/31/2012,1312.41
12/30/2011,1257.6
11/30/2011,1246.96
10/31/2011,1253.3
09/30/2011,1131.42
08/31/2011,1218.89
07/29/2011,1292.28
06/30/2011,1320.64
05/31/2011,1345.2
04/29/2011,1363.61
03/31/2011,1325.83
02/28/2011,1327.22
01/31/2011,1286.12
12/31/2010,1257.64
11/30/2010,1180.55
10/29/2010,1183.26
09/30/2010,1141.2
08/31/2010,1049.33
07/30/2010,1101.6
06/30/2010,1030.71
05/31/2010,1089.41
04/30/2010,1186.69
03/31/2010,1169.43
02/26/2010,1104.49
01/29/2010,1073.87
12/31/2009,1115.1
11/30/2009,1095.63
10/30/2009,1036.19
09/30/2009,1057.08
08/31/2009,1020.62
07/31/2009,987.48
06/30/2009,919.32
05/29/2009,919.14
04/30/2009,872.81
03/31/2009,797.87
02/27/2009,735.09
01/30/2009,825.88
12/31/2008,903.25
11/28/2008,896.24
10/31/2008,968.75
09/30/2008,1166.36
08/29/2008,1282.83
07/31/2008,1267.38
06/30/2008,1280
05/30/2008,1400.38
04/30/2008,1385.59
03/31/2008,1322.7
02/29/2008,1330.63
01/31/2008,1378.55
12/31/2007,1468.36
11/30/2007,1481.14
10/31/2007,1549.38
09/28/2007,1526.75
08/31/2007,1473.99
07/31/2007,1455.27
06/29/2007,1503.35
05/31/2007,1530.62
04/30/2007,1482.37
03/30/2007,1420.86
02/28/2007,1406.82
01/31/2007,1438.24
12/29/2006,1418.3
11/30/2006,1400.63
10/31/2006,1377.94
09/29/2006,1335.85
08/31/2006,1303.82
07/31/2006,1276.66
06/30/2006,1270.2
05/31/2006,1270.09
04/28/2006,1310.61
03/31/2006,1294.83
02/28/2006,1280.66
01/31/2006,1280.08
12/30/2005,1248.29
11/30/2005,1249.48
10/31/2005,1207.01
09/30/2005,1228.81
08/31/2005,1220.33
07/29/2005,1234.18
06/30/2005,1191.33
05/31/2005,1191.5
04/29/2005,1156.85
03/31/2005,1180.59
02/28/2005,1203.6
01/31/2005,1181.27
12/31/2004,1211.92
11/30/2004,1173.82
10/29/2004,1130.2
09/30/2004,1114.58
08/31/2004,1104.24
07/30/2004,1101.72
06/30/2004,1140.84
05/31/2004,1120.68
04/30/2004,1107.3
03/31/2004,1126.21
02/27/2004,1144.94
01/30/2004,1131.13
12/31/2003,1111.92
11/28/2003,1058.2
10/31/2003,1050.71
09/30/2003,995.97
08/29/2003,1008.01
07/31/2003,990.31
06/30/2003,974.5
05/30/2003,963.59
04/30/2003,916.92
03/31/2003,848.18
