date,price
12/09/2015,21.63
12/08/2015,21.39
12/07/2015,20.44
12/04/2015,18.99
12/03/2015,18.36
12/02/2015,18.33
12/01/2015,18.42
11/30/2015,18.34
11/27/2015,18.65
11/25/2015,18.55
11/24/2015,18.65
11/23/2015,18.27
11/20/2015,17.97
11/19/2015,17.68
11/18/2015,17.7
11/17/2015,17.32
11/16/2015,17.49
11/13/2015,17.14
11/12/2015,17.61
11/11/2015,17.61
11/10/2015,17.91
11/09/2015,17.65
11/06/2015,18.17
11/05/2015,17.375
11/04/2015,17.64
11/03/2015,17.95
11/02/2015,17.91
10/30/2015,17.86
10/29/2015,18.19
10/28/2015,18.13
10/27/2015,17.695
10/26/2015,17.76
10/23/2015,17.95
10/22/2015,18.18
10/21/2015,18.33
10/20/2015,18.7
10/19/2015,18.78
10/16/2015,18.63
10/15/2015,18.74
10/14/2015,18.56
10/13/2015,18.58
10/12/2015,18.43
10/09/2015,18.18
10/08/2015,18.13
10/07/2015,17.64
10/06/2015,17.52
10/05/2015,17.81
10/02/2015,16.6
10/01/2015,16.63
09/30/2015,16.87
09/29/2015,16.84
09/28/2015,16.86
09/25/2015,17.56
09/24/2015,17.64
09/23/2015,17.55
09/22/2015,17.4
09/21/2015,17.4
09/18/2015,17.66
09/17/2015,18.4
09/16/2015,18.73
09/15/2015,18.41
09/14/2015,18.97
09/11/2015,18.78
09/10/2015,18.88
09/09/2015,18.74
09/08/2015,18.6
09/04/2015,18.16
09/03/2015,18.33
09/02/2015,18.34
09/01/2015,18.38
08/31/2015,18.08
08/28/2015,18.03
08/27/2015,16.22
08/26/2015,15.945
08/25/2015,15.38
08/24/2015,15.51
08/21/2015,16.49
08/20/2015,16.48
08/19/2015,16.71
08/18/2015,16.99
08/17/2015,17.29
08/14/2015,17.07
08/13/2015,16.97
08/12/2015,16.9
08/11/2015,16.72
08/10/2015,16.6
08/07/2015,16.41
08/06/2015,16.51
08/05/2015,16.64
08/04/2015,15.79
08/03/2015,15.57
07/31/2015,16.22
07/30/2015,16.07
07/29/2015,16
07/28/2015,16.08
07/27/2015,15.84
07/24/2015,15.81
07/23/2015,16.27
07/22/2015,16.42
07/21/2015,16.35
07/20/2015,16.48
07/17/2015,16.35
07/16/2015,16.77
07/15/2015,16.41
07/14/2015,16.52
07/13/2015,16.53
07/10/2015,16.44
07/09/2015,16.26
07/08/2015,16.45
07/07/2015,16.58
07/06/2015,16.51
07/02/2015,16.48
07/01/2015,16.66
06/30/2015,16.59
06/29/2015,16.48
06/26/2015,16.8
06/25/2015,16.71
06/24/2015,16.73
06/23/2015,16.77
06/22/2015,16.77
06/19/2015,16.18
06/18/2015,16.1
06/17/2015,15.78
06/16/2015,15.98
06/15/2015,15.77
06/12/2015,15.59
06/11/2015,15.38
06/10/2015,15.32
06/09/2015,15.16
06/08/2015,15.2
06/05/2015,15.34
06/04/2015,15.09
06/03/2015,15.28
06/02/2015,15.12
06/01/2015,14.85
05/29/2015,14.71
05/28/2015,14.75
05/27/2015,14.93
05/26/2015,14.88
05/22/2015,15.2
05/21/2015,15.38
05/20/2015,15.14
05/19/2015,15.37
05/18/2015,15.45
05/15/2015,15.42
05/14/2015,15.13
05/13/2015,15.03
05/12/2015,15.05
05/11/2015,15.03
05/08/2015,14.95
05/07/2015,14.96
05/06/2015,14.92
05/05/2015,14.88
05/04/2015,15.19
05/01/2015,14.96
04/30/2015,14.865
04/29/2015,14.9
04/28/2015,14.96
04/27/2015,14.94
04/24/2015,15.01
04/23/2015,14.91
04/22/2015,14.68
04/21/2015,14.8
04/20/2015,15.03
04/17/2015,15.21
04/16/2015,15.01
04/15/2015,14.97
04/14/2015,13
04/13/2015,12.82
04/10/2015,12.88
04/09/2015,12.84
04/08/2015,12.95
04/07/2015,13.03
04/06/2015,12.93
