date,price
10/12/2015,217.89
10/09/2015,220.69
10/08/2015,226.72
10/07/2015,231.96
10/06/2015,241.46
10/05/2015,246.15
10/02/2015,247.57
10/01/2015,239.88
09/30/2015,248.4
09/29/2015,246.65
09/28/2015,248.43
09/25/2015,256.91
09/24/2015,263.12
09/23/2015,261.06
09/22/2015,260.94
09/21/2015,264.2
09/18/2015,260.62
09/17/2015,262.07
09/16/2015,262.25
09/15/2015,253.57
09/14/2015,253.19
09/11/2015,250.24
09/10/2015,248.48
09/09/2015,248.91
09/08/2015,248.17
09/04/2015,241.93
09/03/2015,245.57
09/02/2015,247.69
09/01/2015,238.63
08/31/2015,249.06
08/28/2015,248.48
08/27/2015,242.99
08/26/2015,224.84
08/25/2015,220.03
08/24/2015,218.87
08/21/2015,230.77
08/20/2015,242.18
08/19/2015,255.25
08/18/2015,260.72
08/17/2015,254.99
08/14/2015,243.15
08/13/2015,242.51
08/12/2015,238.17
08/11/2015,237.37
08/10/2015,241.14
08/07/2015,242.51
08/06/2015,246.13
08/05/2015,270.13
08/04/2015,266.28
08/03/2015,259.99
07/31/2015,266.15
07/30/2015,266.79
07/29/2015,263.82
07/28/2015,264.82
07/27/2015,253.01
07/24/2015,265.41
07/23/2015,267.2
07/22/2015,267.87
07/21/2015,266.77
07/20/2015,282.26
07/17/2015,274.66
07/16/2015,266.68
07/15/2015,263.14
07/14/2015,265.65
07/13/2015,262.16
07/10/2015,259.15
07/09/2015,257.92
07/08/2015,254.96
07/07/2015,267.88
07/06/2015,279.72
07/02/2015,280.02
07/01/2015,269.15
06/30/2015,268.26
06/29/2015,262.02
06/26/2015,267.09
06/25/2015,268.79
06/24/2015,265.17
06/23/2015,267.67
06/22/2015,259.79
06/19/2015,262.51
06/18/2015,261.89
06/17/2015,260.41
06/16/2015,253.12
06/15/2015,250.38
06/12/2015,250.69
06/11/2015,251.41
06/10/2015,250.7
06/09/2015,256
06/08/2015,256.29
06/05/2015,249.14
06/04/2015,245.92
06/03/2015,248.99
06/02/2015,248.35
06/01/2015,249.45
05/29/2015,250.8
05/28/2015,251.45
05/27/2015,247.43
05/26/2015,247.455
05/22/2015,247.73
05/21/2015,245.62
05/20/2015,244.35
05/19/2015,247.14
05/18/2015,248.75
05/15/2015,248.84
05/14/2015,244.1
05/13/2015,243.18
05/12/2015,244.74
05/11/2015,239.49
05/08/2015,236.61
05/07/2015,236.8
05/06/2015,230.43
05/05/2015,232.95
05/04/2015,230.51
05/01/2015,226.03
04/30/2015,226.05
04/29/2015,232.45
04/28/2015,230.48
04/27/2015,231.55
04/24/2015,218.425
04/23/2015,218.6
04/22/2015,219.44
04/21/2015,209.41
04/20/2015,205.27
04/17/2015,206.79
04/16/2015,206.7
04/15/2015,207.83
04/14/2015,207.46
04/13/2015,209.78
04/10/2015,210.9
04/09/2015,210.09
04/08/2015,207.67
04/07/2015,203.25
04/06/2015,203.1
04/02/2015,191
04/01/2015,187.59
03/31/2015,188.77
03/30/2015,190.57
03/27/2015,185
03/26/2015,190.405
03/25/2015,194.3
03/24/2015,201.72
03/23/2015,199.63
03/20/2015,198.08
03/19/2015,195.65
03/18/2015,200.71
03/17/2015,194.73
03/16/2015,195.7
03/13/2015,188.68
03/12/2015,191.07
03/11/2015,193.74
03/10/2015,190.32
03/09/2015,190.88
03/06/2015,193.88
03/05/2015,200.63
03/04/2015,202.435
03/03/2015,199.56
03/02/2015,197.325
02/27/2015,203.34
02/26/2015,207.19
02/25/2015,203.76
02/24/2015,204.11
02/23/2015,207.335
02/20/2015,217.11
02/19/2015,211.705
02/18/2015,204.46
02/17/2015,204.35
02/13/2015,203.77
02/12/2015,202.88
02/11/2015,212.8
02/10/2015,216.29
02/09/2015,217.48
02/06/2015,217.36
02/05/2015,220.99
02/04/2015,218.55
02/03/2015,218.36
02/02/2015,210.94
01/30/2015,203.6
01/29/2015,205.2
01/28/2015,199.37
01/27/2015,205.98
01/26/2015,206.55
01/23/2015,201.29
01/22/2015,201.62
01/21/2015,196.57
01/20/2015,191.93
01/16/2015,193.07
01/15/2015,191.87
01/14/2015,192.69
01/13/2015,204.25
01/12/2015,202.21
01/09/2015,206.66
01/08/2015,210.615
01/07/2015,210.95
01/06/2015,211.28
01/05/2015,210.09
01/02/2015,219.31
12/31/2014,222.41
12/30/2014,222.23
12/29/2014,225.71
12/26/2014,227.82
12/24/2014,222.26
12/23/2014,220.97
12/22/2014,222.6
12/19/2014,219.29
12/18/2014,218.26
12/17/2014,205.82
12/16/2014,197.81
12/15/2014,204.04
12/12/2014,207
12/11/2014,208.88
12/10/2014,209.84
12/09/2014,216.89
12/08/2014,214.36
12/05/2014,223.71
12/04/2014,228.28
12/03/2014,229.3
12/02/2014,231.43
12/01/2014,231.64
11/28/2014,244.52
11/26/2014,248.44
11/25/2014,248.09
11/24/2014,246.72
11/21/2014,242.78
11/20/2014,248.71
11/19/2014,247.74
11/18/2014,257.7
11/17/2014,253.98
11/14/2014,258.68
11/13/2014,251.7
11/12/2014,249.1
11/11/2014,251.08
11/10/2014,241.93
11/07/2014,240.2
11/06/2014,241.22
11/05/2014,230.97
11/04/2014,238.93
11/03/2014,242.59
10/31/2014,241.7
10/30/2014,238.66
10/29/2014,238.1
10/28/2014,242.77
10/27/2014,221.67
10/24/2014,235.24
10/23/2014,235.29
10/22/2014,231.1
10/21/2014,235.34
10/20/2014,230.47
10/17/2014,227.48
10/16/2014,226.35
10/15/2014,229.7
10/14/2014,227.06
10/13/2014,224.59
10/10/2014,236.91
10/09/2014,257.01
10/08/2014,259.28
10/07/2014,259.57
10/06/2014,260.62
10/03/2014,255.21
10/02/2014,251.42
10/01/2014,240.24
09/30/2014,242.68
09/29/2014,245.26
09/26/2014,246.6
09/25/2014,246.95
09/24/2014,252.14
09/23/2014,250.41
09/22/2014,250.03
09/19/2014,259.32
09/18/2014,263.82
09/17/2014,261.38
09/16/2014,260.74
09/15/2014,253.86
09/12/2014,279.2
09/11/2014,280.31
09/10/2014,281.1
09/09/2014,278.48
09/08/2014,282.11
09/05/2014,277.39
09/04/2014,286.04
09/03/2014,281.19
09/02/2014,284.12
08/29/2014,269.7
08/28/2014,263.86
08/27/2014,263.25
08/26/2014,261.74
08/25/2014,262.55
08/22/2014,256.78
08/21/2014,254.34
08/20/2014,255.71
08/19/2014,256.76
08/18/2014,259.94
08/15/2014,262.01
08/14/2014,261.38
08/13/2014,260.31
08/12/2014,259.96
08/11/2014,259.32
08/08/2014,248.13
08/07/2014,252.39
08/06/2014,248.93
08/05/2014,238.49
08/04/2014,238.52
08/01/2014,233.27
07/31/2014,223.3
07/30/2014,228.92
07/29/2014,225.01
07/28/2014,224.82
07/25/2014,223.57
07/24/2014,223.54
07/23/2014,222.49
07/22/2014,219.58
07/21/2014,220.54
07/18/2014,220.02
07/17/2014,215.4
07/16/2014,217.16
07/15/2014,219.58
07/14/2014,226.7
07/11/2014,218.13
07/10/2014,219.46
07/09/2014,223.06
07/08/2014,219.07
07/07/2014,222.66
07/03/2014,229.25
07/02/2014,229.425
07/01/2014,239.72
06/30/2014,240.06
06/27/2014,239.06
06/26/2014,235.6
06/25/2014,236.891
06/24/2014,232.5
06/23/2014,237.22
06/20/2014,229.59
06/19/2014,227.79
06/18/2014,227.12
06/17/2014,231.67
06/16/2014,224.61
06/13/2014,206.42
06/12/2014,203.52
06/11/2014,204.47
06/10/2014,202.3
06/09/2014,205.31
06/06/2014,208.171
06/05/2014,206.9
06/04/2014,203.99
06/03/2014,204.94
06/02/2014,204.7
05/30/2014,207.77
05/29/2014,210.24
05/28/2014,210.24
05/27/2014,211.56
05/23/2014,207.3
05/22/2014,204.88
05/21/2014,199.45
05/20/2014,195.3
05/19/2014,196.09
05/16/2014,191.56
05/15/2014,188.59
05/14/2014,190.62
05/13/2014,190.16
05/12/2014,184.67
05/09/2014,182.26
05/08/2014,178.59
05/07/2014,201.35
05/06/2014,207.28
05/05/2014,216.61
05/02/2014,210.91
05/01/2014,207.73
04/30/2014,207.89
04/29/2014,206.92
04/28/2014,198.51
04/25/2014,199.85
04/24/2014,207.86
04/23/2014,207.99
04/22/2014,218.64
04/21/2014,204.38
04/17/2014,198.12
04/16/2014,199.11
04/15/2014,193.91
04/14/2014,198.09
04/11/2014,203.78
04/10/2014,204.19
04/09/2014,216.93
04/08/2014,215.46
04/07/2014,207.52
04/04/2014,212.225
04/03/2014,225.4
04/02/2014,230.29
04/01/2014,216.97
03/31/2014,208.45
03/28/2014,212.37
03/27/2014,207.32
03/26/2014,212.96
03/25/2014,220.44
03/24/2014,220.17
03/21/2014,228.89
03/20/2014,234.91
03/19/2014,235.84
03/18/2014,240.04
03/17/2014,233.98
03/14/2014,230.97
03/13/2014,237.79
03/12/2014,241.49
03/11/2014,234.41
03/10/2014,238.84
03/07/2014,246.21
03/06/2014,252.94
03/05/2014,252.66
03/04/2014,254.84
03/03/2014,250.56
02/28/2014,244.81
02/27/2014,252.54
02/26/2014,253
02/25/2014,248
02/24/2014,217.65
02/21/2014,209.6
02/20/2014,209.97
02/19/2014,193.64
02/18/2014,203.7
02/14/2014,198.23
02/13/2014,199.63
02/12/2014,195.32
02/11/2014,196.62
02/10/2014,196.56
02/07/2014,186.53
02/06/2014,178.38
02/05/2014,174.42
02/04/2014,178.73
02/03/2014,177.11
01/31/2014,181.41
01/30/2014,182.84
01/29/2014,175.23
01/28/2014,178.38
01/27/2014,169.62
01/24/2014,174.6
01/23/2014,181.5
01/22/2014,178.56
01/21/2014,176.68
01/17/2014,170.01
01/16/2014,170.97
01/15/2014,164.13
01/14/2014,161.27
01/13/2014,139.34
01/10/2014,145.72
01/09/2014,147.53
01/08/2014,151.28
01/07/2014,149.36
01/06/2014,147
01/03/2014,149.56
01/02/2014,150.1
12/31/2013,150.429
12/30/2013,152.44
12/27/2013,151.12
12/26/2013,155.5
12/24/2013,151.41
12/23/2013,143.55
12/20/2013,143.24
12/19/2013,140.72
12/18/2013,147.98
12/17/2013,152.46
12/16/2013,147.94
12/13/2013,147.654
12/12/2013,147.47
12/11/2013,139.65
12/10/2013,142.19
12/09/2013,141.6
12/06/2013,137.36
12/05/2013,140.48
12/04/2013,138.95
12/03/2013,144.7
12/02/2013,124.17
11/29/2013,127.28
11/27/2013,126.94
11/26/2013,120.5
11/25/2013,120.84
11/22/2013,121.38
11/21/2013,122.1
11/20/2013,121.11
11/19/2013,126.09
11/18/2013,121.58
11/15/2013,135.45
11/14/2013,137.6
11/13/2013,138.7
11/12/2013,137.8
11/11/2013,144.698
11/08/2013,137.95
11/07/2013,139.772
11/06/2013,151.16
11/05/2013,176.81
11/04/2013,175.2
11/01/2013,162.17
10/31/2013,159.94
10/30/2013,159.22
10/29/2013,164.47
10/28/2013,162.86
10/25/2013,169.66
10/24/2013,173.15
10/23/2013,164.5
10/22/2013,171.54
10/21/2013,172.6
10/18/2013,183.4
10/17/2013,182.802
10/16/2013,183.56
10/15/2013,183.94
10/14/2013,179.72
10/11/2013,178.7
10/10/2013,172.93
10/09/2013,168.78
10/08/2013,174.73
10/07/2013,183.07
10/04/2013,180.98
10/03/2013,173.31
10/02/2013,180.95
10/01/2013,193
09/30/2013,193.37
09/27/2013,190.9
09/26/2013,188.64
09/25/2013,185.238
09/24/2013,182.33
09/23/2013,181.11
09/20/2013,183.39
09/19/2013,177.92
09/18/2013,166.218
09/17/2013,166.23
09/16/2013,166.58
09/13/2013,165.54
09/12/2013,164.93
09/11/2013,163.52
09/10/2013,166.37
09/09/2013,160.7
09/06/2013,166.97
09/05/2013,169.93
09/04/2013,170.622
09/03/2013,168.94
08/30/2013,169
08/29/2013,166.06
08/28/2013,166.45
08/27/2013,167.01
08/26/2013,164.22
08/23/2013,161.839
08/22/2013,157.1
08/21/2013,147.86
08/20/2013,149.58
08/19/2013,144.9
08/16/2013,142
08/15/2013,139.67
08/14/2013,139.36
08/13/2013,145.43
08/12/2013,147.38
08/09/2013,153
08/08/2013,153.48
08/07/2013,134.23
08/06/2013,142.15
08/05/2013,144.68
08/02/2013,138
08/01/2013,135.55
07/31/2013,134.28
07/30/2013,131.74
07/29/2013,134.62
07/26/2013,129.39
07/25/2013,124.07
07/24/2013,121.7
07/23/2013,122.74
07/22/2013,122.43
07/19/2013,119.68
07/18/2013,119.03
07/17/2013,120.25
07/16/2013,109.05
07/15/2013,127.26
07/12/2013,129.9
07/11/2013,125.61
07/10/2013,122.27
07/09/2013,123.45
07/08/2013,121.61
07/05/2013,120.09
07/03/2013,115.24
07/02/2013,117.82
07/01/2013,117.179
06/28/2013,107.36
06/27/2013,109.25
06/26/2013,105.72
06/25/2013,102.4
06/24/2013,101.49
06/21/2013,99.55
06/20/2013,100.65
06/19/2013,104.68
06/18/2013,103.39
06/17/2013,102.2
06/14/2013,100.3
06/13/2013,98.18
06/12/2013,97.73
06/11/2013,94.47
06/10/2013,100.05
06/07/2013,102.04
06/06/2013,97.35
06/05/2013,95.37
06/04/2013,94.84
06/03/2013,92.59
05/31/2013,97.76
05/30/2013,104.95
05/29/2013,104.629
05/28/2013,110.334
05/24/2013,97.08
05/23/2013,92.73
05/22/2013,87.24
05/21/2013,87.59
05/20/2013,89.94
05/17/2013,91.5
05/16/2013,92.248
05/15/2013,84.842
05/14/2013,83.24
05/13/2013,87.8
05/10/2013,76.764
05/09/2013,69.4
05/08/2013,55.786
05/07/2013,55.51
05/06/2013,59.5
05/03/2013,54.55
05/02/2013,54.11
05/01/2013,53.28
04/30/2013,53.99
04/29/2013,54.94
04/26/2013,51.2
04/25/2013,52
04/24/2013,50.43
04/23/2013,51.01
04/22/2013,50.19
04/19/2013,47.83
04/18/2013,46.97
04/17/2013,45.45
04/16/2013,45.59
04/15/2013,43.3
04/12/2013,43.75
04/11/2013,43.59
04/10/2013,41.86
04/09/2013,40.5
04/08/2013,41.83
04/05/2013,41.37
04/04/2013,42.01
04/03/2013,41.1
04/02/2013,44.34
04/01/2013,43.93
03/28/2013,37.89
03/27/2013,38.16
03/26/2013,37.86
03/25/2013,37.53
03/22/2013,36.62
03/21/2013,36.01
03/20/2013,35.95
03/19/2013,35.08
03/18/2013,35.15
03/15/2013,35.29
03/14/2013,36.85
03/13/2013,38.98
03/12/2013,39.12
03/11/2013,39.1
03/08/2013,38.47
03/07/2013,38.23
03/06/2013,37.69
03/05/2013,36.65
03/04/2013,35.58
03/01/2013,34.65
02/28/2013,34.83
02/27/2013,35.1
02/26/2013,34.43
02/25/2013,34.38
02/22/2013,36.11
02/21/2013,35.16
02/20/2013,38.54
02/19/2013,39.28
02/15/2013,37.04
02/14/2013,38.3
02/13/2013,38.45
02/12/2013,37.89
02/11/2013,38.42
02/08/2013,39.24
02/07/2013,39.48
02/06/2013,39.17
02/05/2013,38.13
02/04/2013,37.74
02/01/2013,38.3
01/31/2013,37.51
01/30/2013,37.52
01/29/2013,37.95
01/28/2013,38.03
01/25/2013,36.98
01/24/2013,36.99
01/23/2013,36
01/22/2013,35.19
01/18/2013,34.52
01/17/2013,34.38
01/16/2013,34.1
01/15/2013,33.9
01/14/2013,33.26
01/11/2013,32.91
01/10/2013,33.53
01/09/2013,33.64
01/08/2013,33.68
01/07/2013,34.34
01/04/2013,34.4
01/03/2013,34.77
01/02/2013,35.36
12/31/2012,33.87
12/28/2012,33.22
12/27/2012,33.69
12/26/2012,33.59
12/24/2012,34.28
12/21/2012,34
12/20/2012,34.43
12/19/2012,34.61
12/18/2012,34.59
12/17/2012,34.4
12/14/2012,33.81
12/13/2012,33.61
12/12/2012,35.26
12/11/2012,35.28
12/10/2012,34.57
12/07/2012,34.17
12/06/2012,33.9
12/05/2012,33.71
12/04/2012,33.9
