date,price
11/30/2015,81.66
11/27/2015,81.23
11/20/2015,79.79
11/13/2015,78.1
11/06/2015,84.47
10/30/2015,82.74
10/23/2015,82.98
10/16/2015,82.48
10/09/2015,79.26
10/02/2015,75.88
09/25/2015,73.23
09/18/2015,72.68
09/11/2015,72.69
09/04/2015,72.46
08/28/2015,75.07
08/21/2015,72.13
08/14/2015,78.36
08/07/2015,76.83
07/31/2015,79.21
07/24/2015,79.94
07/17/2015,82.61
07/10/2015,82.22
07/03/2015,83.14
06/26/2015,83.86
06/19/2015,85.21
06/12/2015,84.02
06/05/2015,84.28
05/29/2015,85.2
05/22/2015,86.52
05/15/2015,87.35
05/08/2015,88.99
05/01/2015,88.85
04/24/2015,86.97
04/17/2015,86.93
04/10/2015,85.56
04/03/2015,84.3
03/27/2015,83.58
03/20/2015,84.54
03/13/2015,83.87
03/06/2015,85.63
02/27/2015,88.54
02/20/2015,89.92
02/13/2015,93.37
02/06/2015,91.5
01/30/2015,87.42
01/23/2015,90.89
01/16/2015,91.12
01/09/2015,92.1
01/02/2015,92.83
12/26/2014,93.21
12/19/2014,93.64
12/12/2014,86.6
12/05/2014,93.82
11/28/2014,90.54
11/21/2014,96.81
11/14/2014,95.09
11/07/2014,96.59
10/31/2014,96.71
10/24/2014,94.49
10/17/2014,91.21
10/10/2014,91.6
10/03/2014,93.92
09/26/2014,95.43
09/19/2014,97.12
09/12/2014,95.78
09/05/2014,99.26
08/29/2014,99.46
08/22/2014,98.5
08/15/2014,99.03
08/08/2014,99.74
08/01/2014,98.8
07/25/2014,103.18
07/18/2014,102.73
07/11/2014,101.74
07/04/2014,102.59
06/27/2014,101.21
06/20/2014,103.83
06/13/2014,102.65
06/06/2014,101.6
05/30/2014,100.53
05/23/2014,101.32
05/16/2014,100.74
05/09/2014,101.95
05/02/2014,102.01
04/25/2014,100.41
04/18/2014,100.42
04/11/2014,96.72
04/04/2014,97.36
03/28/2014,97.7
03/21/2014,94.31
03/14/2014,93.47
03/07/2014,94.99
02/28/2014,96.27
02/21/2014,95.03
02/14/2014,94.11
02/07/2014,90.58
01/31/2014,92.16
01/24/2014,94.85
01/17/2014,99.16
01/10/2014,100.52
01/03/2014,99.51
12/27/2013,101.51
12/20/2013,98.68
12/13/2013,95.31
12/06/2013,95.65
11/29/2013,93.48
11/22/2013,95.01
11/15/2013,95.27
11/08/2013,92.73
11/01/2013,89.82
10/25/2013,87.97
10/18/2013,87.55
10/11/2013,86.95
10/04/2013,86.32
09/27/2013,86.9
09/20/2013,88.66
09/13/2013,88.4
09/06/2013,87.25
08/30/2013,87.16
08/23/2013,87.52
08/16/2013,87.91
08/09/2013,90.72
08/02/2013,91.95
07/26/2013,94.79
07/19/2013,95.17
