date,price
12/09/2015,33.514
12/04/2015,34.91
11/27/2015,32.94
11/20/2015,33.11
11/13/2015,32.19
11/06/2015,34.2
10/30/2015,35.62
10/23/2015,33.17
10/16/2015,33.37
10/09/2015,32.52
10/02/2015,30.71
09/25/2015,29.13
09/18/2015,30.74
09/11/2015,31.43
09/04/2015,31.58
08/28/2015,33.14
08/21/2015,32.93
08/14/2015,36.24
08/07/2015,36.67
07/31/2015,36.67
07/24/2015,38.85
07/17/2015,39.68
07/10/2015,37.92
07/03/2015,39.38
06/26/2015,40.06
06/19/2015,40.51
06/12/2015,40.525
06/05/2015,42.81
05/29/2015,42.935
05/22/2015,43.485
05/15/2015,44.75
05/08/2015,44.09
05/01/2015,42.51
04/24/2015,44.52
04/17/2015,44.45
04/10/2015,45.18
04/03/2015,44.15
03/27/2015,45.1
03/20/2015,45.035
03/13/2015,42.87
03/06/2015,43.44
02/27/2015,44.28
02/20/2015,44.11
02/13/2015,44.42
02/06/2015,42.94
01/30/2015,43.99
01/23/2015,48.95
01/16/2015,46.47
01/09/2015,49.72
01/02/2015,50.17
12/26/2014,50.86
12/19/2014,50.88
12/12/2014,50.24
12/05/2014,50.99
11/28/2014,51.74
11/21/2014,51.04
11/14/2014,51.75
11/07/2014,48.55
10/31/2014,46.05
10/24/2014,43.5
10/17/2014,38.45
10/10/2014,39.6
10/03/2014,41.03
09/26/2014,40.66
09/19/2014,40.93
09/12/2014,42.88
09/05/2014,39.59
08/29/2014,38.51
08/22/2014,38.01
08/15/2014,36.47
08/08/2014,35.91
08/01/2014,35.62
07/25/2014,36.12
07/18/2014,33.33
07/11/2014,35.43
07/04/2014,36.14
06/27/2014,34.25
06/20/2014,34.05
06/13/2014,36.94
06/06/2014,35.92
05/30/2014,34.65
05/23/2014,35.02
05/16/2014,33.41
05/09/2014,33.76
05/02/2014,36.87
04/25/2014,34.48
04/18/2014,36.38
04/11/2014,32.8684
04/04/2014,34.26
03/28/2014,35.9
03/21/2014,37.94
03/14/2014,37.6
03/07/2014,38.6999
02/28/2014,38.67
02/21/2014,37.29
02/14/2014,38.23
02/07/2014,37.23
01/31/2014,36.008
01/24/2014,37.91
01/17/2014,40.01
01/10/2014,41.23
01/03/2014,40.12
12/27/2013,40.49
12/20/2013,40.12
12/13/2013,39.73
12/06/2013,38.86
11/29/2013,36.98
11/22/2013,36.49
11/15/2013,35.47
11/08/2013,33.12
11/01/2013,33.181
10/25/2013,32.25
10/18/2013,33.431
10/11/2013,34.15
10/04/2013,34.89
09/27/2013,33.55
09/20/2013,30.925
09/13/2013,29.26
09/06/2013,28.17
08/30/2013,27.12
08/23/2013,27.99
08/16/2013,27.32
08/09/2013,27.68
08/02/2013,27.65
07/26/2013,28.11
07/19/2013,29.11
07/12/2013,27.23
07/05/2013,25.68
06/28/2013,25.13
06/21/2013,25.19
06/14/2013,26.28
06/07/2013,27.04
05/31/2013,26.3
05/24/2013,26.33
05/17/2013,26.52
05/10/2013,26.83
05/03/2013,25.07
04/26/2013,24.68
04/19/2013,23.47
04/12/2013,24.69
04/05/2013,23.3
03/29/2013,23.529
03/22/2013,23.26
03/15/2013,22.07
03/08/2013,22.9
03/01/2013,21.94
02/22/2013,21.22
02/15/2013,21.015
02/08/2013,20.5
02/01/2013,19.76
01/25/2013,20.37
01/18/2013,20.02
01/11/2013,19.29
01/04/2013,19.86
12/28/2012,19.5
12/21/2012,19.35
12/14/2012,19.64
12/07/2012,19.2
11/30/2012,18.77
11/23/2012,18.57
11/16/2012,17.86
11/09/2012,17.26
11/02/2012,17.11
10/26/2012,16.79
10/19/2012,15.84
10/12/2012,15.88
10/05/2012,16.09
09/28/2012,15.975
09/21/2012,15.735
09/14/2012,15.77
09/07/2012,15.22
08/31/2012,14.65
08/24/2012,14.92
08/17/2012,15.03
08/10/2012,15.15
08/03/2012,15.97
07/27/2012,16.11
07/20/2012,15.915
07/13/2012,15.74
07/06/2012,15.78
06/29/2012,15.83
06/22/2012,15.61
06/15/2012,15.36
06/08/2012,15.65
06/01/2012,14.92
05/25/2012,15.36
05/18/2012,15.42
05/11/2012,15.19
05/04/2012,15.15
04/27/2012,15.57
04/20/2012,15.6
04/13/2012,14.87
04/06/2012,15.065
03/30/2012,15.22
03/23/2012,15.385
03/16/2012,15.18
03/09/2012,14.63
03/02/2012,14.72
02/24/2012,14.89
02/17/2012,15.01
02/10/2012,16.14
02/03/2012,15.92
01/27/2012,15.74
01/20/2012,15.96
01/13/2012,15.48
01/06/2012,15.515
12/30/2011,16.13
12/23/2011,16.19
12/16/2011,14.96
12/09/2011,15.94
12/02/2011,16.05
11/25/2011,15.1
11/18/2011,15.38
11/11/2011,16.27
11/04/2011,15.24
10/28/2011,16.56
10/21/2011,16.12
10/14/2011,15.91
10/07/2011,15.47
09/30/2011,13.17
09/23/2011,14.71
09/16/2011,14.97
09/09/2011,14.48
09/02/2011,12.87
08/26/2011,12.74
08/19/2011,12.92
08/12/2011,13.585
08/05/2011,11.74
07/29/2011,13.1
07/22/2011,13.98
07/15/2011,14.69
07/08/2011,15.61
07/01/2011,15.45
06/24/2011,14.885
06/17/2011,14.695
06/10/2011,15.2
06/03/2011,15.68
05/27/2011,16.02
05/20/2011,16.3
05/13/2011,16.55
05/06/2011,18.65
04/29/2011,17.7
04/22/2011,16.85
04/15/2011,16.62
04/08/2011,16.77
04/01/2011,16.84
03/25/2011,16.96
03/18/2011,16.03
03/11/2011,17.42
03/04/2011,17.0825
02/25/2011,16.5
02/18/2011,17.66
02/11/2011,16.85
02/04/2011,16.785
01/28/2011,15.83
01/21/2011,15.965
01/14/2011,16.81
