date,price
10/16/2015,2.46
10/15/2015,2.51
10/14/2015,2.47
10/13/2015,2.47
10/12/2015,2.47
10/09/2015,2.47
10/08/2015,2.46
10/07/2015,2.41
10/06/2015,2.4
10/05/2015,2.38
10/02/2015,2.36
10/01/2015,2.27
09/30/2015,2.28
09/29/2015,2.21
09/28/2015,2.3
09/25/2015,2.34
09/24/2015,2.38
09/23/2015,2.39
09/22/2015,2.42
09/21/2015,2.5
09/18/2015,2.52
09/17/2015,2.49
09/16/2015,2.51
09/15/2015,2.52
09/14/2015,2.49
09/11/2015,2.47
09/10/2015,2.47
09/09/2015,2.51
09/08/2015,2.5
09/04/2015,2.5
09/03/2015,2.54
09/02/2015,2.5
09/01/2015,2.5
08/31/2015,2.53
08/28/2015,2.52
08/27/2015,2.42
08/26/2015,2.43
08/25/2015,2.44
08/24/2015,2.37
08/21/2015,2.44
08/20/2015,2.52
08/19/2015,2.58
08/18/2015,2.62
08/17/2015,2.65
08/14/2015,2.7
08/13/2015,2.7
08/12/2015,2.75
08/11/2015,2.67
08/10/2015,2.67
08/07/2015,2.64
08/06/2015,2.45
08/05/2015,2.51
08/04/2015,2.49
08/03/2015,2.49
07/31/2015,2.48
07/30/2015,2.47
07/29/2015,2.51
07/28/2015,2.48
07/27/2015,2.54
07/24/2015,2.62
07/23/2015,2.67
07/22/2015,2.66
07/21/2015,2.69
07/20/2015,2.65
07/17/2015,2.71
07/16/2015,2.75
07/15/2015,2.7
07/14/2015,2.75
07/13/2015,2.67
07/10/2015,2.65
07/09/2015,2.65
07/08/2015,2.74
07/07/2015,2.84
07/06/2015,2.805
07/02/2015,2.84
07/01/2015,2.84
06/30/2015,2.86
06/29/2015,2.88
06/26/2015,2.94
06/25/2015,2.99
06/24/2015,2.98
06/23/2015,2.96
06/22/2015,2.98
06/19/2015,2.99
06/18/2015,2.99
06/17/2015,2.96
06/16/2015,2.95
06/15/2015,2.99
06/12/2015,3.04
06/11/2015,2.99
06/10/2015,3.01
06/09/2015,2.98
06/08/2015,2.99
06/05/2015,3.06
06/04/2015,3.02
06/03/2015,3.04
06/02/2015,2.98
06/01/2015,2.94
05/29/2015,2.95
05/28/2015,2.94
05/27/2015,2.86
05/26/2015,2.85
05/22/2015,2.93
05/21/2015,2.97
05/20/2015,2.96
05/19/2015,3
05/18/2015,2.97
05/15/2015,3.05
05/14/2015,3.05
05/13/2015,3.01
05/12/2015,2.93
05/11/2015,2.9
05/08/2015,2.86
05/07/2015,2.8
05/06/2015,2.61
05/05/2015,2.5
05/04/2015,2.49
05/01/2015,2.47
04/30/2015,2.45
04/29/2015,2.45
04/28/2015,2.45
04/27/2015,2.465
04/24/2015,2.52
04/23/2015,2.53
04/22/2015,2.51
04/21/2015,2.49
04/20/2015,2.44
04/17/2015,2.45
04/16/2015,2.46
04/15/2015,2.46
04/14/2015,2.44
04/13/2015,2.47
04/10/2015,2.49
04/09/2015,2.38
04/08/2015,2.9
04/07/2015,2.8
04/06/2015,2.77
04/02/2015,2.78
04/01/2015,2.79
03/31/2015,2.85
03/30/2015,2.78
03/27/2015,2.77
03/26/2015,2.72
03/25/2015,2.77
03/24/2015,2.81
03/23/2015,2.76
03/20/2015,2.7
03/19/2015,2.65
03/18/2015,2.62
03/17/2015,2.62
03/16/2015,2.57
03/13/2015,2.59
03/12/2015,2.68
03/11/2015,2.61
03/10/2015,2.55
03/09/2015,2.54
03/06/2015,2.54
03/05/2015,2.41
03/04/2015,2.39
03/03/2015,2.35
03/02/2015,2.32
02/27/2015,2.3
02/26/2015,2.31
02/25/2015,2.33
02/24/2015,2.32
02/23/2015,2.32
02/20/2015,2.32
02/19/2015,2.32
02/18/2015,2.31
02/17/2015,2.32
02/13/2015,2.24
02/12/2015,2.66
02/11/2015,2.81
02/10/2015,2.8
02/09/2015,2.75
02/06/2015,2.74
02/05/2015,2.64
02/04/2015,2.58
02/03/2015,2.59
02/02/2015,2.57
01/30/2015,2.56
01/29/2015,2.58
01/28/2015,2.58
01/27/2015,2.66
01/26/2015,2.67
01/23/2015,2.73
01/22/2015,2.62
01/21/2015,2.59
01/20/2015,2.63
01/16/2015,2.61
01/15/2015,2.59
01/14/2015,2.6
01/13/2015,2.56
01/12/2015,2.62
01/09/2015,2.64
01/08/2015,2.58
01/07/2015,2.68
01/06/2015,2.7
01/05/2015,2.71
01/02/2015,2.73
12/31/2014,2.66
12/30/2014,2.72
12/29/2014,2.74
12/26/2014,2.67
12/24/2014,2.71
12/23/2014,2.72
12/22/2014,2.81
12/19/2014,2.695
12/18/2014,2.44
12/17/2014,2.39
12/16/2014,2.32
12/15/2014,2.44
12/12/2014,2.5
12/11/2014,2.47
12/10/2014,2.51
12/09/2014,2.56
12/08/2014,2.48
12/05/2014,2.51
12/04/2014,2.53
12/03/2014,2.535
12/02/2014,2.48
12/01/2014,2.51
11/28/2014,2.6
11/26/2014,2.63
11/25/2014,2.64
11/24/2014,2.68
11/21/2014,2.69
11/20/2014,2.69
11/19/2014,2.69
11/18/2014,2.71
11/17/2014,2.75
11/14/2014,2.77
11/13/2014,2.73
11/12/2014,2.81
11/11/2014,2.75
11/10/2014,2.48
11/07/2014,2.43
11/06/2014,2.36
11/05/2014,2.35
11/04/2014,2.43
11/03/2014,2.56
10/31/2014,2.55
10/30/2014,2.4
10/29/2014,2.34
10/28/2014,2.395
10/27/2014,2.38
10/24/2014,2.37
10/23/2014,2.37
10/22/2014,2.34
10/21/2014,2.43
10/20/2014,2.29
10/17/2014,2.29
10/16/2014,2.29
10/15/2014,2.28
10/14/2014,2.27
10/13/2014,2.28
10/10/2014,2.37
10/09/2014,2.4
10/08/2014,2.56
10/07/2014,2.56
10/06/2014,2.55
10/03/2014,2.62
10/02/2014,2.62
10/01/2014,2.69
09/30/2014,2.7
09/29/2014,2.79
09/26/2014,2.83
09/25/2014,2.955
09/24/2014,3.01
09/23/2014,3
09/22/2014,3.05
09/19/2014,3.06
09/18/2014,3.08
09/17/2014,3.15
09/16/2014,3.02
09/15/2014,2.9
09/12/2014,2.92
09/11/2014,2.94
09/10/2014,2.99
09/09/2014,2.95
09/08/2014,3.02
09/05/2014,3.08
09/04/2014,3.05
09/03/2014,3.01
09/02/2014,3.01
08/29/2014,2.895
08/28/2014,2.88
08/27/2014,2.88
08/26/2014,2.95
08/25/2014,3.01
08/22/2014,3.08
08/21/2014,3.06
08/20/2014,3.12
08/19/2014,3.11
08/18/2014,3.08
08/15/2014,2.91
08/14/2014,2.85
08/13/2014,2.83
08/12/2014,2.86
08/11/2014,2.845
08/08/2014,2.88
08/07/2014,2.92
08/06/2014,2.79
08/05/2014,2.85
08/04/2014,2.835
08/01/2014,2.87
07/31/2014,2.92
07/30/2014,2.92
07/29/2014,2.925
07/28/2014,3.02
07/25/2014,3
07/24/2014,3.04
07/23/2014,3.06
07/22/2014,3.0399
07/21/2014,3.1
07/18/2014,3.05
07/17/2014,3.08
07/16/2014,3.02
07/15/2014,3.1
07/14/2014,3.18
07/11/2014,3.24
07/10/2014,3.12
07/09/2014,3.01
07/08/2014,3.04
07/07/2014,3.15
07/03/2014,3.19
07/02/2014,3.2
07/01/2014,3.23
06/30/2014,3.21
06/27/2014,3.23
06/26/2014,3.19
06/25/2014,3.1
06/24/2014,3.06
06/23/2014,3.12
06/20/2014,3.04
06/19/2014,3.06
06/18/2014,3.11
06/17/2014,3.13
06/16/2014,3.08
06/13/2014,3.1
06/12/2014,3.1
06/11/2014,3.18
06/10/2014,3.2
06/09/2014,3
06/06/2014,2.975
06/05/2014,2.97
06/04/2014,3.27
06/03/2014,3.31
06/02/2014,3.39
05/30/2014,3.45
05/29/2014,3.41
05/28/2014,3.44
05/27/2014,3.41
05/23/2014,3.28
05/22/2014,3.3
05/21/2014,3.39
05/20/2014,3.35
05/19/2014,3.5
05/16/2014,3.35
05/15/2014,3.36
05/14/2014,3.515
05/13/2014,3.66
05/12/2014,3.59
05/09/2014,3.48
05/08/2014,3.54
05/07/2014,3.56
05/06/2014,3.71
05/05/2014,3.84
05/02/2014,3.86
05/01/2014,3.9
04/30/2014,4.05
04/29/2014,3.95
04/28/2014,3.9
04/25/2014,4.08
04/24/2014,4.35
04/23/2014,4.42
04/22/2014,4.56
04/21/2014,4.47
04/17/2014,4.289
04/16/2014,4.11
04/15/2014,4.01
04/14/2014,4.01
04/11/2014,4.07
04/10/2014,4.07
04/09/2014,4.37
04/08/2014,4.3
04/07/2014,4.19
04/04/2014,4.2
04/03/2014,4.15
04/02/2014,4.32
04/01/2014,4.38
03/31/2014,4.3
03/28/2014,4.42
03/27/2014,4.47
03/26/2014,4.64
03/25/2014,4.84
03/24/2014,4.7
03/21/2014,4.95
03/20/2014,5.08
03/19/2014,5.14
03/18/2014,5.35
03/17/2014,5.34
03/14/2014,5.46
03/13/2014,5.52
03/12/2014,5.79
03/11/2014,5.65
03/10/2014,5.53
03/07/2014,5.58
03/06/2014,5.51
03/05/2014,5.69
03/04/2014,5.65
03/03/2014,5.24
02/28/2014,5.06
02/27/2014,5.21
02/26/2014,5.24
02/25/2014,5.08
02/24/2014,5
02/21/2014,5
02/20/2014,5.09
02/19/2014,5.07
02/18/2014,5.15
02/14/2014,4.87
02/13/2014,4.76
02/12/2014,4.8
02/11/2014,4.63
02/10/2014,4.56
02/07/2014,4.53
02/06/2014,4.47
02/05/2014,4.46
02/04/2014,4.59
02/03/2014,4.49
01/31/2014,4.4
01/30/2014,3.56
01/29/2014,3.42
01/28/2014,3.39
01/27/2014,3.42
01/24/2014,3.5
01/23/2014,3.56
01/22/2014,3.63
01/21/2014,3.63
01/17/2014,3.55
01/16/2014,3.54
01/15/2014,4.03
01/14/2014,4.06
01/13/2014,4.03
01/10/2014,4.11
01/09/2014,4.12
01/08/2014,4.18
01/07/2014,4.145
01/06/2014,4.04
01/03/2014,3.97
01/02/2014,3.95
12/31/2013,3.8
12/30/2013,3.88
12/27/2013,3.95
12/26/2013,4.07
12/24/2013,4.11
12/23/2013,4.08
12/20/2013,4
12/19/2013,4.06
12/18/2013,4.1
12/17/2013,4.14
12/16/2013,4.1
12/13/2013,4.11
12/12/2013,4.14
12/11/2013,4.05
12/10/2013,4.13
12/09/2013,3.99
12/06/2013,3.99
12/05/2013,4.01
12/04/2013,4.07
12/03/2013,4.09
12/02/2013,4.29
11/29/2013,4.35
11/27/2013,4.41
11/26/2013,4.46
11/25/2013,4.5
11/22/2013,4.38
11/21/2013,4.37
11/20/2013,4.27
11/19/2013,3.99
11/18/2013,3.839
11/15/2013,4.02
11/14/2013,3.91
11/13/2013,3.81
11/12/2013,3.51
11/11/2013,3.43
11/08/2013,3.46
11/07/2013,3.46
11/06/2013,3.705
11/05/2013,3.8
11/04/2013,3.735
11/01/2013,3.58
10/31/2013,3.581
10/30/2013,3.59
10/29/2013,3.69
10/28/2013,3.78
10/25/2013,3.729
10/24/2013,3.535
10/23/2013,3.545
10/22/2013,3.64
10/21/2013,3.69
10/18/2013,3.67
